number,value,datetime_start,datetime_complete,duration,params_kd_dropout,params_kd_lamb,params_kd_lr,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay,params_prune_mlp,params_prune_rate,state
45,0.832,51:09.0,52:43.5,0 days 00:01:34.541440,,0.2,0.001176551,0.995,,,TRUE,0.2,0.25,0.174316709,TRUE,0.7,COMPLETE
36,0.831666667,36:07.4,37:37.0,0 days 00:01:29.564934,0.75,0.3,0.004362564,0.995,batch,FALSE,FALSE,0.15,,0.00991346,FALSE,0.7,COMPLETE
17,0.831333333,05:11.7,06:55.4,0 days 00:01:43.672657,0.6,0.2,0.009564832,0.8,batch,TRUE,FALSE,0.05,,0.006726685,FALSE,0.6,COMPLETE
25,0.831333333,18:29.8,19:59.9,0 days 00:01:30.060251,0.8,0.1,0.001486968,0.8,batch,TRUE,FALSE,0.05,,0.018316899,FALSE,0.7,COMPLETE
21,0.829666667,11:57.5,13:34.0,0 days 00:01:36.549918,0.8,0.2,0.006682272,0.8,batch,TRUE,FALSE,0.05,,0.010712053,FALSE,0.7,COMPLETE
40,0.829333333,42:23.3,44:19.2,0 days 00:01:55.853704,,0.2,0.007234558,0.995,,,TRUE,0.1,0.5,0.170204688,TRUE,0.5,COMPLETE
5,0.829,46:06.1,47:33.9,0 days 00:01:27.785083,0.7,0.1,9.55E-05,0.995,batch,FALSE,FALSE,0.15,,0.005464027,FALSE,0.7,COMPLETE
18,0.828666667,06:55.4,08:28.5,0 days 00:01:33.050352,0.8,0.2,0.008873837,0.8,batch,TRUE,FALSE,0.05,,0.006924091,FALSE,0.7,COMPLETE
41,0.828666667,44:19.2,46:02.3,0 days 00:01:43.066021,,0.2,0.00699267,0.995,,,TRUE,0.1,0.5,0.166420756,TRUE,0.5,COMPLETE
22,0.828,13:34.1,15:09.2,0 days 00:01:35.130456,0.75,0.2,0.009347449,0.8,batch,TRUE,FALSE,0.05,,0.013604228,FALSE,0.7,COMPLETE
26,0.827333333,19:59.9,21:35.7,0 days 00:01:35.762260,0.8,0.5,0.001549873,0.8,batch,TRUE,TRUE,0.05,0.3,0.017625949,FALSE,0.6,COMPLETE
31,0.827333333,28:00.4,29:34.6,0 days 00:01:34.281229,0.7,0.1,0.000153931,0.995,batch,TRUE,FALSE,0.1,,0.004403844,FALSE,0.7,COMPLETE
32,0.826666667,29:34.7,31:08.8,0 days 00:01:34.063562,0.8,0.1,0.009906726,0.9,batch,TRUE,FALSE,0.15,,0.023418589,FALSE,0.7,COMPLETE
37,0.826,37:37.0,39:09.9,0 days 00:01:32.815330,,0.3,0.004631698,0.8,,,TRUE,0,0.1,0.011533767,TRUE,0.7,COMPLETE
43,0.826,47:46.5,49:27.4,0 days 00:01:40.887557,,0.3,0.006932559,0.995,,,TRUE,0.1,0.5,0.023500061,TRUE,0.5,COMPLETE
19,0.825666667,08:28.5,10:27.6,0 days 00:01:59.026659,0.65,0.8,0.000109266,0.99,layer,TRUE,FALSE,0.15,,0.007231712,FALSE,0.6,COMPLETE
29,0.824666667,24:55.8,26:34.8,0 days 00:01:39.022945,,0.5,0.001489593,0.8,,,TRUE,0.05,0.2,0.315619097,TRUE,0.7,COMPLETE
44,0.824666667,49:27.4,51:08.9,0 days 00:01:41.477249,,0.1,0.00228485,0.995,,,TRUE,0.05,0.4,0.510796688,TRUE,0.5,COMPLETE
33,0.824333333,31:08.8,32:45.9,0 days 00:01:37.129534,0.7,0.1,0.005506607,0.99,batch,TRUE,FALSE,0.05,,0.053925509,FALSE,0.7,COMPLETE
39,0.824,40:50.1,42:23.3,0 days 00:01:33.190244,0.2,0.3,0.002653257,0.995,layer,TRUE,FALSE,0.15,,0.038964341,FALSE,0.7,COMPLETE
47,0.824,54:20.1,55:55.3,0 days 00:01:35.171400,0.8,0.1,0.000639077,0.995,batch,TRUE,FALSE,0.2,,0.002188093,FALSE,0.7,COMPLETE
46,0.824,52:43.6,54:20.1,0 days 00:01:36.514699,,0.3,0.001207769,0.99,,,FALSE,0.25,,0.061731935,TRUE,0.7,COMPLETE
