number,value,datetime_start,datetime_complete,duration,params_kd_dropout,params_kd_lamb,params_kd_lr,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay,params_prune_mlp,params_prune_rate,state
26,0.802333333,05:36.0,07:36.3,0 days 00:02:00.343929,0.15,0.7,0.008373733,0.99,batch,TRUE,TRUE,0.05,0.2,0.002440774,FALSE,0.7,COMPLETE
31,0.800333333,15:51.6,17:48.5,0 days 00:01:56.877647,0.2,0.7,0.002801735,0.99,batch,FALSE,TRUE,0.1,0.15,0.001056012,FALSE,0.7,COMPLETE
35,0.799666667,23:41.7,26:00.4,0 days 00:02:18.750974,0.5,0.7,0.005340893,0.8,batch,TRUE,FALSE,0.2,,0.000210849,FALSE,0.6,COMPLETE
1,0.797333333,01:31.8,04:37.8,0 days 00:03:06.011829,,0.8,0.000146272,0.995,,,TRUE,0.15,0.05,0.006875284,TRUE,0.6,COMPLETE
11,0.796333333,29:21.5,32:28.6,0 days 00:03:07.117154,,0.9,0.002403603,0.99,,,TRUE,0.05,0,0.006311237,TRUE,0.7,COMPLETE
12,0.795666667,32:28.7,34:42.4,0 days 00:02:13.705226,,0.7,0.003694617,0.99,,,TRUE,0.1,0.1,0.001288342,TRUE,0.7,COMPLETE
10,0.795333333,26:07.8,29:21.4,0 days 00:03:13.670459,,0.9,0.001955217,0.99,,,TRUE,0.05,0,0.009219135,TRUE,0.7,COMPLETE
32,0.795333333,17:48.6,19:47.1,0 days 00:01:58.522600,0.2,0.7,0.002501676,0.99,batch,FALSE,TRUE,0.1,0.15,0.005712372,FALSE,0.7,COMPLETE
48,0.793333333,55:16.6,58:14.5,0 days 00:02:57.986133,,0.8,0.000252711,0.8,,,TRUE,0.2,0.2,0.002153873,TRUE,0.7,COMPLETE
23,0.793,58:10.7,00:38.3,0 days 00:02:27.555630,,0.8,0.001641451,0.99,,,TRUE,0.1,0.05,0.00143377,TRUE,0.7,COMPLETE
40,0.792666667,35:39.9,38:29.3,0 days 00:02:49.386033,0.3,0.6,0.006485249,0.8,batch,TRUE,FALSE,0.25,,0.000286578,FALSE,0.6,COMPLETE
20,0.792333333,50:45.6,53:16.9,0 days 00:02:31.340588,,0.9,0.000845638,0.995,,,TRUE,0.15,0.3,0.072410208,TRUE,0.7,COMPLETE
30,0.791333333,13:44.0,15:51.6,0 days 00:02:07.596858,0.55,0.9,0.000208803,0.99,batch,TRUE,TRUE,0.05,0.25,0.013723526,FALSE,0.6,COMPLETE
19,0.791,48:12.3,50:45.5,0 days 00:02:33.260396,,0.6,0.002427952,0.9,,,TRUE,0.1,0,0.003763811,TRUE,0.6,COMPLETE
33,0.791,19:47.1,21:44.7,0 days 00:01:57.584427,0.25,0.8,0.005791409,0.99,batch,FALSE,TRUE,0.05,0.2,0.002898294,FALSE,0.7,COMPLETE
3,0.790666667,07:14.1,09:44.9,0 days 00:02:30.867192,0.4,0.8,0.000742983,0.8,layer,FALSE,FALSE,0.15,,0.174656873,FALSE,0.6,COMPLETE
28,0.790666667,09:41.0,11:37.4,0 days 00:01:56.361042,0.1,0.6,0.001076041,0.9,batch,TRUE,TRUE,0,0.5,0.047456435,FALSE,0.7,COMPLETE
47,0.790666667,52:49.2,55:16.5,0 days 00:02:27.351911,0.2,0.9,0.000910851,0.99,batch,FALSE,TRUE,0.25,0.05,0.000335123,FALSE,0.6,COMPLETE
46,0.789333333,50:26.6,52:49.1,0 days 00:02:22.512889,0.4,0.7,0.002900846,0.995,batch,TRUE,TRUE,0.1,0,0.006993612,FALSE,0.7,COMPLETE
41,0.789,38:29.3,41:17.8,0 days 00:02:48.477020,0.15,0.7,0.002779308,0.9,batch,TRUE,FALSE,0.15,,0.002201818,FALSE,0.7,COMPLETE
24,0.788666667,00:38.3,03:01.8,0 days 00:02:23.526963,,0.6,0.003960398,0.99,,,TRUE,0,0.15,0.000163512,TRUE,0.7,COMPLETE
18,0.788333333,46:06.7,48:12.2,0 days 00:02:05.524328,,0.8,0.000615024,0.995,,,TRUE,0.2,0.1,0.027930446,TRUE,0.5,COMPLETE
34,0.788333333,21:44.8,23:41.6,0 days 00:01:56.867833,0.2,0.8,0.009283497,0.99,batch,FALSE,TRUE,0.15,0.05,0.000837945,FALSE,0.7,COMPLETE
25,0.787,03:01.9,05:35.9,0 days 00:02:34.027092,,0.9,0.000105915,0.99,,,TRUE,0.15,0.05,0.010405316,TRUE,0.6,COMPLETE
42,0.786666667,41:17.8,43:53.6,0 days 00:02:35.821492,0.45,0.8,0.001632426,0.995,batch,FALSE,FALSE,0.15,,0.005913283,FALSE,0.6,COMPLETE
15,0.785333333,39:10.2,41:25.2,0 days 00:02:14.989390,,0.7,0.006380041,0.99,,,TRUE,0.05,0.15,0.001637456,TRUE,0.6,COMPLETE
27,0.785333333,07:36.3,09:41.0,0 days 00:02:04.640599,0.1,0.8,0.008749516,0.995,batch,TRUE,TRUE,0.05,0.2,0.004584289,FALSE,0.6,COMPLETE
43,0.785,43:53.7,46:17.9,0 days 00:02:24.239767,0.15,0.9,0.004727923,0.99,layer,TRUE,TRUE,0.1,0.15,0.000825915,FALSE,0.6,COMPLETE
21,0.783333333,53:17.0,55:44.0,0 days 00:02:27.062315,,0.7,0.004227035,0.99,,,TRUE,0.1,0.1,0.001217009,TRUE,0.7,COMPLETE
22,0.782666667,55:44.1,58:10.7,0 days 00:02:26.621541,,0.7,0.003696492,0.99,,,TRUE,0.05,0.1,0.000434487,TRUE,0.7,COMPLETE
7,0.780333333,18:10.1,21:19.4,0 days 00:03:09.328044,,0.3,0.000340928,0.995,,,TRUE,0,0.05,0.175454506,TRUE,0.7,COMPLETE
29,0.78,11:37.4,13:44.0,0 days 00:02:06.542108,0.25,0.4,0.000509802,0.995,layer,TRUE,FALSE,0.2,,0.002773252,FALSE,0.6,COMPLETE
37,0.778333333,28:26.2,30:52.5,0 days 00:02:26.265925,0.6,0.7,8.04E-05,0.8,batch,TRUE,FALSE,0.3,,0.000205926,FALSE,0.6,COMPLETE
2,0.777,04:37.9,07:14.0,0 days 00:02:36.132774,0.35,0.3,2.89E-05,0.8,batch,TRUE,TRUE,0.25,0.45,7.55E-05,FALSE,0.6,COMPLETE
49,0.776333333,58:14.6,01:06.4,0 days 00:02:51.847464,,0.6,0.00011741,0.9,,,FALSE,0.05,,0.000948217,TRUE,0.7,COMPLETE
9,0.775666667,23:35.4,26:07.7,0 days 00:02:32.365190,,0.2,0.000165036,0.8,,,TRUE,0,0.25,0.000429781,TRUE,0.5,COMPLETE
