number,value,datetime_start,datetime_complete,duration,params_kd_dropout,params_kd_lamb,params_kd_lr,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay,params_prune_mlp,params_prune_rate,state
31,0.810387093,57:17.1,00:31.2,0 days 00:03:14.153232,,0.6,0.001044933,0.995,,,FALSE,0.05,,0.000171612,TRUE,0.5,COMPLETE
44,0.809645972,38:43.7,41:52.3,0 days 00:03:08.616202,,0.6,0.001705555,0.99,,,FALSE,0,,9.14E-05,TRUE,0.5,COMPLETE
30,0.809189898,54:03.6,57:17.0,0 days 00:03:13.430832,,0.6,0.001154051,0.995,,,FALSE,0.05,,0.000213699,TRUE,0.5,COMPLETE
41,0.808847842,28:46.9,32:06.4,0 days 00:03:19.532749,,0.6,0.001038989,0.995,,,FALSE,0.05,,7.13E-05,TRUE,0.5,COMPLETE
40,0.808790833,25:25.7,28:46.8,0 days 00:03:21.105733,,0.6,0.000859465,0.995,,,FALSE,0.05,,7.57E-05,TRUE,0.5,COMPLETE
42,0.808676814,32:06.4,35:27.1,0 days 00:03:20.621001,,0.6,0.001595124,0.995,,,FALSE,0.05,,7.70E-05,TRUE,0.5,COMPLETE
34,0.808163731,06:50.4,10:03.9,0 days 00:03:13.452349,,0.5,0.000507133,0.995,,,FALSE,0.1,,0.000190523,TRUE,0.5,COMPLETE
33,0.808106721,03:37.1,06:50.4,0 days 00:03:13.323099,,0.5,0.000928433,0.995,,,FALSE,0.1,,0.000240665,TRUE,0.5,COMPLETE
43,0.807764666,35:27.1,38:43.6,0 days 00:03:16.552847,,0.7,0.001381549,0.995,,,FALSE,0.05,,5.97E-05,TRUE,0.5,COMPLETE
35,0.807707656,10:03.9,13:16.8,0 days 00:03:12.878861,,0.5,0.000544343,0.995,,,FALSE,0.1,,0.00017876,TRUE,0.5,COMPLETE
24,0.80742261,36:35.3,39:35.3,0 days 00:03:00.010254,,0.7,0.000790675,0.995,,,FALSE,0.1,,0.001066588,TRUE,0.6,COMPLETE
18,0.805997378,18:56.3,21:58.0,0 days 00:03:01.780664,,0.5,0.002993163,0.995,,,FALSE,0.05,,0.000439391,TRUE,0.6,COMPLETE
45,0.805997378,41:52.3,44:36.2,0 days 00:02:43.903839,0.5,0.8,0.000954227,0.99,batch,TRUE,FALSE,0,,3.80E-05,FALSE,0.5,COMPLETE
22,0.805655322,30:41.2,33:37.3,0 days 00:02:56.052962,,0.6,0.002229559,0.995,,,FALSE,0.05,,0.000628591,TRUE,0.6,COMPLETE
38,0.805655322,19:31.1,22:38.7,0 days 00:03:07.538702,,0.4,0.000393833,0.8,,,FALSE,0,,0.00023469,TRUE,0.5,COMPLETE
46,0.805541303,44:36.3,47:42.0,0 days 00:03:05.748257,,0.6,0.005260013,0.99,,,FALSE,0,,1.68E-05,TRUE,0.5,COMPLETE
36,0.805142238,13:16.9,16:14.1,0 days 00:02:57.250010,0.7,0.4,0.001173504,0.995,batch,FALSE,FALSE,0.1,,4.89E-05,FALSE,0.5,COMPLETE
28,0.804629155,48:40.4,51:40.4,0 days 00:03:00.016388,,0.8,0.002113385,0.99,,,FALSE,0.1,,0.000587366,TRUE,0.6,COMPLETE
10,0.804287099,54:32.8,57:36.8,0 days 00:03:04.046860,,0.1,0.000787478,0.9,,,TRUE,0.15,0,2.39E-05,TRUE,0.7,COMPLETE
48,0.804059062,50:48.4,54:00.8,0 days 00:03:12.395288,,0.9,0.001675113,0.99,,,FALSE,0.05,,0.00010387,TRUE,0.5,COMPLETE
21,0.804002052,27:42.2,30:41.2,0 days 00:02:58.937075,,0.4,0.003302815,0.995,,,FALSE,0.05,,0.000449738,TRUE,0.6,COMPLETE
17,0.803945043,15:55.3,18:56.2,0 days 00:03:00.877274,,0.4,0.004058475,0.995,,,TRUE,0.2,0.3,0.000343457,TRUE,0.6,COMPLETE
16,0.803659997,12:57.6,15:55.3,0 days 00:02:57.723908,,0.3,0.003398915,0.9,,,TRUE,0.2,0.3,0.000105735,TRUE,0.6,COMPLETE
39,0.803260932,22:38.7,25:25.7,0 days 00:02:46.956473,0.4,0.5,0.000223324,0.995,layer,FALSE,FALSE,0.1,,3.14E-05,FALSE,0.5,COMPLETE
32,0.802975885,00:31.3,03:37.1,0 days 00:03:05.796923,,0.7,0.001224904,0.995,,,FALSE,0,,5.54E-05,TRUE,0.5,COMPLETE
47,0.801607662,47:42.1,50:48.4,0 days 00:03:06.289983,,0.7,0.000673817,0.99,,,FALSE,0,,3.07E-05,TRUE,0.5,COMPLETE
37,0.800695513,16:14.1,19:31.1,0 days 00:03:16.970263,,0.6,0.000137021,0.99,,,FALSE,0.05,,0.000165346,TRUE,0.5,COMPLETE
14,0.799669346,06:53.0,09:57.4,0 days 00:03:04.334820,,0.2,0.00032187,0.9,,,TRUE,0.15,0.1,9.79E-05,TRUE,0.6,COMPLETE
19,0.798301123,21:58.1,24:48.9,0 days 00:02:50.843498,,0.5,0.002587146,0.995,,,FALSE,0,,0.00034032,TRUE,0.6,COMPLETE
