number,value,datetime_start,datetime_complete,duration,params_kd_dropout,params_kd_lamb,params_kd_lr,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay,params_prune_mlp,params_prune_rate,state
12,0.81061513,27:56.0,30:51.6,0 days 00:02:55.601518,,0.3,0.001382535,0.8,,,FALSE,0.25,,0.000105451,TRUE,0.7,COMPLETE
15,0.810387093,36:29.9,39:14.2,0 days 00:02:44.281138,,0.4,0.002421784,0.8,,,FALSE,0.25,,0.000207955,TRUE,0.7,COMPLETE
23,0.809931019,59:19.9,02:27.8,0 days 00:03:07.881438,,0.2,0.001185925,0.8,,,FALSE,0.3,,0.000168364,TRUE,0.7,COMPLETE
48,0.809531954,02:59.8,05:24.8,0 days 00:02:24.960341,0.7,0.2,0.000423315,0.8,batch,FALSE,FALSE,0.2,,0.000841001,FALSE,0.7,COMPLETE
31,0.809360926,20:26.8,22:45.6,0 days 00:02:18.833454,0.8,0.1,0.000461447,0.8,batch,FALSE,FALSE,0.2,,0.000356784,FALSE,0.7,COMPLETE
41,0.809132889,45:56.6,48:27.1,0 days 00:02:30.434221,0.8,0.1,0.000587103,0.8,batch,FALSE,FALSE,0.2,,0.000394276,FALSE,0.7,COMPLETE
26,0.80901887,08:01.7,10:18.6,0 days 00:02:16.884141,0.8,0.1,0.000482774,0.8,batch,FALSE,FALSE,0.2,,0.000310141,FALSE,0.7,COMPLETE
34,0.808277749,27:46.6,30:17.5,0 days 00:02:30.915984,0.75,0.1,0.005500066,0.8,batch,FALSE,FALSE,0.2,,7.30E-05,FALSE,0.7,COMPLETE
14,0.807821675,33:41.6,36:29.9,0 days 00:02:48.264422,,0.4,0.002082369,0.8,,,FALSE,0.25,,0.000160416,TRUE,0.7,COMPLETE
28,0.807764666,12:56.1,15:35.6,0 days 00:02:39.462684,,0.2,0.003355591,0.995,,,FALSE,0.25,,0.00011918,TRUE,0.7,COMPLETE
32,0.807707656,22:45.7,25:15.2,0 days 00:02:29.579315,0.6,0.1,0.000394036,0.8,batch,FALSE,FALSE,0.2,,0.000586335,FALSE,0.7,COMPLETE
44,0.80742261,53:10.7,55:33.0,0 days 00:02:22.313664,0.65,0.2,0.00055701,0.8,batch,FALSE,FALSE,0.25,,0.00010655,FALSE,0.7,COMPLETE
13,0.807365601,30:51.6,33:41.6,0 days 00:02:49.936898,,0.3,0.00122862,0.8,,,FALSE,0.25,,1.13E-05,TRUE,0.7,COMPLETE
47,0.807308591,00:13.2,02:59.8,0 days 00:02:46.594300,,0.3,0.000977425,0.995,,,FALSE,0.25,,0.000180477,TRUE,0.5,COMPLETE
42,0.807137563,48:27.1,50:49.9,0 days 00:02:22.826514,0.7,0.1,0.00065895,0.8,batch,FALSE,FALSE,0.2,,0.000623346,FALSE,0.7,COMPLETE
21,0.806966536,53:24.2,56:16.1,0 days 00:02:51.976900,,0.4,0.003054839,0.8,,,FALSE,0.25,,0.000162416,TRUE,0.7,COMPLETE
10,0.806681489,22:22.8,25:08.3,0 days 00:02:45.436168,,0.3,0.000668543,0.8,,,FALSE,0.3,,1.68E-05,TRUE,0.7,COMPLETE
22,0.80656747,56:16.2,59:19.9,0 days 00:03:03.699730,,0.5,0.001811599,0.8,,,FALSE,0.25,,4.08E-05,TRUE,0.7,COMPLETE
16,0.805997378,39:14.2,41:53.6,0 days 00:02:39.398895,,0.2,0.002198202,0.8,,,FALSE,0.25,,0.000353381,TRUE,0.7,COMPLETE
33,0.805313266,25:15.3,27:46.6,0 days 00:02:31.284776,0.6,0.2,0.000231085,0.8,batch,FALSE,FALSE,0.25,,0.002084589,FALSE,0.7,COMPLETE
18,0.805256257,44:45.2,47:45.3,0 days 00:03:00.079464,,0.4,0.001706029,0.8,,,FALSE,0.25,,6.64E-05,TRUE,0.7,COMPLETE
43,0.805199247,50:50.0,53:10.7,0 days 00:02:20.733653,0.8,0.1,0.000906853,0.8,batch,FALSE,FALSE,0.15,,0.001687852,FALSE,0.7,COMPLETE
4,0.803089904,07:25.1,10:05.2,0 days 00:02:40.134793,,0.3,0.004676446,0.99,,,TRUE,0.15,0.05,9.04E-05,TRUE,0.5,COMPLETE
20,0.803089904,50:31.7,53:24.1,0 days 00:02:52.475964,,0.4,0.000644008,0.9,,,FALSE,0.2,,0.000512328,TRUE,0.7,COMPLETE
11,0.802234764,25:08.3,27:56.0,0 days 00:02:47.659779,,0.3,0.001079221,0.8,,,FALSE,0.3,,1.67E-05,TRUE,0.7,COMPLETE
39,0.80012542,40:06.9,43:05.8,0 days 00:02:58.952381,,0.5,0.004407112,0.9,,,TRUE,0.1,0.25,0.000323262,TRUE,0.7,COMPLETE
36,0.799783365,32:36.2,34:59.4,0 days 00:02:23.194310,0.25,0.6,0.002567345,0.995,batch,FALSE,FALSE,0.1,,0.001134928,FALSE,0.7,COMPLETE
25,0.79858617,05:15.5,08:01.7,0 days 00:02:46.204932,,0.2,0.000156306,0.8,,,FALSE,0.3,,3.39E-05,TRUE,0.7,COMPLETE
9,0.797560002,20:01.9,22:22.8,0 days 00:02:20.835826,0.4,0.6,0.000471551,0.8,layer,TRUE,TRUE,0.2,0.4,0.00112981,FALSE,0.5,COMPLETE
2,0.794367482,01:58.4,04:39.9,0 days 00:02:41.421016,,0.5,0.00024201,0.995,,,TRUE,0.2,0.1,6.21E-05,TRUE,0.5,COMPLETE
37,0.791973092,34:59.4,37:40.9,0 days 00:02:41.450199,,0.9,0.001386887,0.8,,,TRUE,0.15,0.3,0.000113506,TRUE,0.7,COMPLETE
24,0.78969272,02:27.9,05:15.5,0 days 00:02:47.600808,,0.2,0.000944056,0.8,,,FALSE,0.3,,0.003287694,TRUE,0.6,COMPLETE
30,0.787184311,17:47.3,20:26.8,0 days 00:02:39.417074,,0.4,0.000778403,0.8,,,FALSE,0.3,,3.21E-05,TRUE,0.6,COMPLETE
38,0.786842255,37:40.9,40:06.9,0 days 00:02:25.953590,0.5,0.3,0.000187086,0.99,batch,FALSE,FALSE,0.2,,4.46E-05,FALSE,0.6,COMPLETE
0,0.782908614,57:15.7,59:37.4,0 days 00:02:21.615104,0.4,0.1,0.000125119,0.99,layer,TRUE,TRUE,0.3,0.05,0.003531496,FALSE,0.6,COMPLETE
17,0.780172168,41:53.7,44:45.2,0 days 00:02:51.523752,,0.5,0.000303883,0.8,,,FALSE,0.2,,0.000222177,TRUE,0.6,COMPLETE
40,0.776295536,43:05.9,45:56.6,0 days 00:02:50.695212,,0.2,0.000331119,0.8,,,FALSE,0.3,,0.006597649,TRUE,0.6,COMPLETE
3,0.774813295,04:39.9,07:25.0,0 days 00:02:45.133150,,0.7,0.000106709,0.9,,,TRUE,0.05,0.05,0.001769328,TRUE,0.7,COMPLETE
49,0.771905821,05:24.8,08:07.7,0 days 00:02:42.898303,,0.3,0.000285371,0.9,,,FALSE,0.25,,0.040799617,TRUE,0.7,COMPLETE
27,0.769454421,10:18.7,12:56.1,0 days 00:02:37.395446,,0.3,5.52E-05,0.8,,,FALSE,0.3,,0.00117331,TRUE,0.6,COMPLETE
8,0.756114247,17:41.3,20:01.9,0 days 00:02:20.646215,0.7,0.7,2.66E-05,0.9,batch,TRUE,TRUE,0.15,0.2,0.000688569,FALSE,0.5,COMPLETE
1,0.745282481,59:37.4,01:58.4,0 days 00:02:21.014081,0.2,0.6,0.006956169,0.99,layer,TRUE,FALSE,0.1,,0.009063494,FALSE,0.6,COMPLETE
35,0.731144177,30:17.6,32:36.2,0 days 00:02:18.586024,0.6,0.3,0.000109747,0.99,,FALSE,TRUE,0.25,0.5,0.000243879,FALSE,0.7,COMPLETE
46,0.721281569,57:56.7,00:13.1,0 days 00:02:16.450825,0.5,0.8,7.13E-05,0.8,,FALSE,TRUE,0.15,0.45,2.14E-05,FALSE,0.7,COMPLETE
6,0.666780685,12:45.9,15:23.3,0 days 00:02:37.451867,,0.7,0.006734617,0.995,,,FALSE,0.05,,0.03533406,TRUE,0.6,COMPLETE
7,0.647226498,15:23.3,17:41.2,0 days 00:02:17.885136,0.45,0.1,0.003647257,0.99,,TRUE,FALSE,0.15,,0.014866445,FALSE,0.5,COMPLETE
29,0.637705946,15:35.6,17:47.3,0 days 00:02:11.712301,0.1,0.1,0.001335001,0.9,,FALSE,FALSE,0.3,,0.00604543,FALSE,0.6,COMPLETE
45,0.629040534,55:33.1,57:56.6,0 days 00:02:23.543570,0.8,0.1,0.001432637,0.99,layer,FALSE,FALSE,0.2,,0.87334934,FALSE,0.7,COMPLETE
19,0.577504133,47:45.4,50:31.6,0 days 00:02:46.261129,,0.2,0.00998397,0.995,,,FALSE,0,,0.122501201,TRUE,0.7,COMPLETE
5,0.382247306,10:05.3,12:45.8,0 days 00:02:40.562300,,0.9,1.90E-05,0.99,,,TRUE,0.1,0.05,0.631041815,TRUE,0.6,COMPLETE
