number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_power,params_imp_type,params_norm,params_num_layers,params_prune_type,params_residual,state
25,0.732333333,11:07.7,12:03.4,0 days 00:00:55.714463,0.7,9,fpgm,,2,group,TRUE,COMPLETE
21,0.731666667,07:32.1,08:28.1,0 days 00:00:55.997733,0.7,9,fpgm,,2,group,TRUE,COMPLETE
31,0.731666667,17:03.0,17:59.0,0 days 00:00:56.031762,0.7,9,fpgm,,2,group,TRUE,COMPLETE
41,0.731666667,27:11.2,28:07.6,0 days 00:00:56.346437,0.7,9,fpgm,,2,group,TRUE,COMPLETE
62,0.731666667,46:34.4,47:28.3,0 days 00:00:53.868490,0.7,9,fpgm,,2,group,TRUE,COMPLETE
81,0.731666667,04:58.9,05:55.3,0 days 00:00:56.431816,0.7,9,fpgm,,2,group,TRUE,COMPLETE
26,0.731333333,12:03.4,12:58.5,0 days 00:00:55.069776,0.7,9,fpgm,,2,group,TRUE,COMPLETE
51,0.731333333,36:35.2,37:31.9,0 days 00:00:56.692167,0.7,9,fpgm,,2,group,TRUE,COMPLETE
53,0.731333333,38:28.6,39:25.6,0 days 00:00:56.952416,0.7,9,fpgm,,2,group,TRUE,COMPLETE
61,0.731333333,45:40.4,46:34.4,0 days 00:00:54.000262,0.7,9,fpgm,,2,group,TRUE,COMPLETE
64,0.731333333,48:23.0,49:17.2,0 days 00:00:54.202506,0.7,9,fpgm,,2,group,TRUE,COMPLETE
71,0.731333333,54:54.7,55:49.7,0 days 00:00:55.022081,0.7,9,fpgm,,2,group,TRUE,COMPLETE
73,0.731333333,57:32.6,58:29.1,0 days 00:00:56.490114,0.7,9,fpgm,,2,group,TRUE,COMPLETE
82,0.731333333,05:55.4,06:51.8,0 days 00:00:56.415443,0.7,9,fpgm,,2,group,TRUE,COMPLETE
84,0.731333333,07:48.1,08:44.5,0 days 00:00:56.351859,0.7,9,fpgm,,2,group,TRUE,COMPLETE
91,0.731333333,14:09.7,15:05.5,0 days 00:00:55.827556,0.7,9,fpgm,,2,group,TRUE,COMPLETE
92,0.731333333,15:05.5,16:01.4,0 days 00:00:55.862614,0.7,9,fpgm,,2,group,TRUE,COMPLETE
94,0.731333333,16:57.6,17:53.5,0 days 00:00:55.909263,0.7,9,fpgm,,2,group,TRUE,COMPLETE
97,0.731333333,19:32.6,20:28.5,0 days 00:00:55.938758,0.7,9,lamp,,2,group,TRUE,COMPLETE
19,0.731,06:00.9,06:56.8,0 days 00:00:55.898768,0.7,9,fpgm,,2,group,TRUE,COMPLETE
32,0.731,17:59.1,18:55.6,0 days 00:00:56.549785,0.7,9,fpgm,,2,group,TRUE,COMPLETE
52,0.731,37:31.9,38:28.6,0 days 00:00:56.679453,0.7,9,fpgm,,2,group,TRUE,COMPLETE
67,0.731,51:19.5,52:15.1,0 days 00:00:55.592064,0.7,9,fpgm,,2,group,TRUE,COMPLETE
69,0.731,52:51.2,53:46.5,0 days 00:00:55.267144,0.7,9,fpgm,,2,bnscale,TRUE,COMPLETE
83,0.731,06:51.8,07:48.1,0 days 00:00:56.322010,0.7,9,fpgm,,2,group,TRUE,COMPLETE
93,0.731,16:01.4,16:57.6,0 days 00:00:56.154370,0.7,9,fpgm,,2,group,TRUE,COMPLETE
22,0.729333333,08:28.1,09:23.3,0 days 00:00:55.211224,0.5,9,fpgm,,2,group,TRUE,COMPLETE
56,0.729333333,41:19.0,42:14.9,0 days 00:00:55.895888,0.6,9,fpgm,,2,group,TRUE,COMPLETE
75,0.729333333,59:25.3,00:21.8,0 days 00:00:56.427900,0.6,9,fpgm,,2,group,TRUE,COMPLETE
