number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_power,params_imp_type,params_norm,params_num_layers,params_prune_type,params_residual,state
62,0.697,51:53.3,52:25.3,0 days 00:00:32.069216,0.7,8,lamp,layer,2,bnscale,TRUE,COMPLETE
71,0.697,57:50.9,58:23.0,0 days 00:00:32.137382,0.7,8,lamp,layer,2,bnscale,TRUE,COMPLETE
74,0.696666667,59:26.9,59:58.1,0 days 00:00:31.178433,0.6,8,lamp,layer,2,bnscale,TRUE,COMPLETE
15,0.696333333,26:16.5,26:47.3,0 days 00:00:30.748761,0.4,8,group,layer,2,group,TRUE,COMPLETE
22,0.696333333,30:29.3,31:01.2,0 days 00:00:31.879353,0.4,8,group,layer,2,group,TRUE,COMPLETE
43,0.695333333,40:42.1,41:14.1,0 days 00:00:32.042107,0.7,8,lamp,layer,2,group,TRUE,COMPLETE
44,0.695333333,41:14.2,41:46.2,0 days 00:00:32.054305,0.7,8,lamp,layer,2,group,TRUE,COMPLETE
55,0.695333333,47:31.4,48:01.5,0 days 00:00:30.072257,0.7,8,lamp,layer,2,bnscale,TRUE,COMPLETE
81,0.695333333,02:49.1,03:20.3,0 days 00:00:31.224170,0.7,8,lamp,layer,2,bnscale,TRUE,COMPLETE
49,0.694666667,44:12.9,44:44.3,0 days 00:00:31.434137,0.7,8,lamp,layer,2,bnscale,TRUE,COMPLETE
51,0.694666667,45:16.0,45:48.1,0 days 00:00:32.129722,0.7,8,lamp,layer,2,bnscale,TRUE,COMPLETE
52,0.694666667,45:48.1,46:20.3,0 days 00:00:32.204884,0.7,8,lamp,layer,2,bnscale,TRUE,COMPLETE
53,0.694666667,46:20.4,46:51.3,0 days 00:00:30.977732,0.7,8,lamp,layer,2,bnscale,TRUE,COMPLETE
61,0.694666667,51:21.4,51:53.2,0 days 00:00:31.852020,0.7,8,lamp,layer,2,bnscale,TRUE,COMPLETE
63,0.694666667,52:25.4,52:57.1,0 days 00:00:31.760547,0.7,8,lamp,layer,2,bnscale,TRUE,COMPLETE
72,0.694666667,58:23.0,58:55.1,0 days 00:00:32.085586,0.7,8,lamp,layer,2,bnscale,TRUE,COMPLETE
82,0.694666667,03:20.4,03:51.7,0 days 00:00:31.387271,0.7,8,lamp,layer,2,bnscale,TRUE,COMPLETE
84,0.694666667,04:23.9,04:56.0,0 days 00:00:32.119483,0.7,8,lamp,layer,2,bnscale,TRUE,COMPLETE
85,0.694666667,04:56.0,05:27.9,0 days 00:00:31.871356,0.7,8,lamp,layer,2,group,TRUE,COMPLETE
87,0.694666667,05:59.2,06:30.8,0 days 00:00:31.515309,0.6,8,group,layer,2,group,TRUE,COMPLETE
