number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_power,params_imp_type,params_norm,params_num_layers,params_prune_type,params_residual,state
163,0.931055374,44:59.4,50:37.6,0 days 00:05:38.238834,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
189,0.931055374,14:49.0,20:29.7,0 days 00:05:40.628944,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
59,0.930934206,24:14.6,31:56.7,0 days 00:07:42.049402,0.7,8,group,batch,3,group,FALSE,COMPLETE
184,0.930934206,43:31.4,49:11.9,0 days 00:05:40.476828,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
146,0.930570702,08:03.6,13:41.6,0 days 00:05:38.043743,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
191,0.930570702,26:10.3,31:50.6,0 days 00:05:40.368967,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
148,0.930449534,19:19.3,24:56.6,0 days 00:05:37.246601,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
155,0.930449534,58:49.1,04:28.9,0 days 00:05:39.762593,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
192,0.930449534,31:50.6,37:31.2,0 days 00:05:40.601449,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
71,0.930207197,00:44.1,08:35.9,0 days 00:07:51.848438,0.7,8,group,batch,3,base,FALSE,COMPLETE
92,0.930207197,55:51.4,02:57.8,0 days 00:07:06.418627,0.7,8,group,batch,3,group,FALSE,COMPLETE
143,0.930207197,51:03.9,56:43.9,0 days 00:05:39.991241,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
154,0.930207197,53:09.5,58:49.1,0 days 00:05:39.576166,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
162,0.930207197,39:21.1,44:59.4,0 days 00:05:38.295482,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
175,0.930207197,52:41.6,58:21.8,0 days 00:05:40.177803,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
190,0.930207197,20:29.7,26:10.2,0 days 00:05:40.536160,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
193,0.930207197,37:31.3,43:11.8,0 days 00:05:40.494024,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
194,0.930207197,43:11.8,48:52.3,0 days 00:05:40.488096,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
130,0.930086029,36:41.9,42:22.6,0 days 00:05:40.718742,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
181,0.930086029,26:30.4,32:10.9,0 days 00:05:40.540712,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
63,0.929964861,55:05.5,02:19.9,0 days 00:07:14.416511,0.7,8,group,batch,3,group,FALSE,COMPLETE
136,0.929964861,10:44.2,16:24.3,0 days 00:05:40.102666,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
166,0.929964861,01:53.7,07:32.2,0 days 00:05:38.502560,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
167,0.929964861,07:32.2,13:10.1,0 days 00:05:37.940346,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
188,0.929964861,09:08.3,14:49.0,0 days 00:05:40.723474,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
46,0.929843693,25:56.3,35:12.2,0 days 00:09:15.943011,0.6,8,group,batch,4,group,FALSE,COMPLETE
62,0.929843693,47:08.7,55:05.5,0 days 00:07:56.817142,0.7,8,group,batch,3,group,FALSE,COMPLETE
150,0.929843693,30:34.0,36:11.2,0 days 00:05:37.265720,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
164,0.929843693,50:37.7,56:16.0,0 days 00:05:38.368223,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
93,0.929722525,02:57.8,10:26.7,0 days 00:07:28.899648,0.7,8,group,batch,3,group,FALSE,COMPLETE
186,0.929722525,54:52.1,00:31.9,0 days 00:05:39.851451,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
58,0.929601357,16:21.4,24:14.6,0 days 00:07:53.240175,0.7,8,group,batch,3,group,FALSE,COMPLETE
142,0.929601357,45:24.3,51:03.8,0 days 00:05:39.528893,0.8,8,lamp,batch,3,group,FALSE,COMPLETE
