number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_power,params_imp_type,params_norm,params_num_layers,params_prune_type,params_residual,state
75,0.941596995,04:04.8,06:09.6,0 days 00:02:04.762555,0.6,8,fpgm,layer,2,base,FALSE,COMPLETE
94,0.941354659,43:27.3,45:31.1,0 days 00:02:03.815770,0.6,8,fpgm,layer,2,bnscale,FALSE,COMPLETE
89,0.940991155,33:25.7,35:25.9,0 days 00:02:00.250158,0.6,8,fpgm,layer,2,bnscale,FALSE,COMPLETE
81,0.940142978,17:38.6,19:42.1,0 days 00:02:03.451042,0.6,8,fpgm,layer,2,base,FALSE,COMPLETE
82,0.940142978,19:42.1,21:39.2,0 days 00:01:57.102320,0.6,8,fpgm,layer,2,base,FALSE,COMPLETE
95,0.940142978,45:31.1,47:34.6,0 days 00:02:03.510725,0.6,8,fpgm,layer,2,bnscale,FALSE,COMPLETE
62,0.94002181,38:23.8,40:23.6,0 days 00:01:59.795710,0.5,8,fpgm,layer,2,base,FALSE,COMPLETE
66,0.94002181,46:17.7,48:15.6,0 days 00:01:57.977501,0.6,8,fpgm,layer,2,base,FALSE,COMPLETE
64,0.939658306,42:21.7,44:19.8,0 days 00:01:58.026601,0.6,8,fpgm,layer,2,base,FALSE,COMPLETE
69,0.939658306,52:17.1,54:15.6,0 days 00:01:58.533370,0.7,8,fpgm,layer,2,base,FALSE,COMPLETE
72,0.939537138,58:06.8,00:05.1,0 days 00:01:58.319619,0.6,8,fpgm,layer,2,base,FALSE,COMPLETE
65,0.939294802,44:19.8,46:17.6,0 days 00:01:57.874867,0.7,8,fpgm,layer,2,base,FALSE,COMPLETE
74,0.939052466,02:04.9,04:04.8,0 days 00:01:59.860897,0.6,8,fpgm,layer,2,base,FALSE,COMPLETE
91,0.939052466,37:21.7,39:21.8,0 days 00:02:00.047390,0.6,8,fpgm,layer,2,bnscale,FALSE,COMPLETE
42,0.93881013,55:40.6,57:41.0,0 days 00:02:00.428178,0.4,8,fpgm,layer,2,base,TRUE,COMPLETE
78,0.93881013,10:59.2,13:02.2,0 days 00:02:03.006822,0.6,8,fpgm,layer,2,base,FALSE,COMPLETE
97,0.93881013,49:13.8,51:17.4,0 days 00:02:03.644007,0.5,8,fpgm,layer,2,bnscale,FALSE,COMPLETE
92,0.938688962,39:21.8,41:23.4,0 days 00:02:01.633298,0.6,8,fpgm,layer,2,bnscale,FALSE,COMPLETE
58,0.938567794,30:20.8,32:19.0,0 days 00:01:58.243948,0.5,8,fpgm,layer,2,base,FALSE,COMPLETE
61,0.938567794,36:24.0,38:23.8,0 days 00:01:59.809407,0.5,8,fpgm,layer,2,base,FALSE,COMPLETE
63,0.938446625,40:23.6,42:21.7,0 days 00:01:58.085393,0.5,8,fpgm,layer,2,base,FALSE,COMPLETE
71,0.938446625,56:07.1,58:06.8,0 days 00:01:59.660294,0.7,8,fpgm,layer,2,base,FALSE,COMPLETE
32,0.938325457,33:29.6,35:28.0,0 days 00:01:58.393939,0.4,8,lamp,layer,2,base,TRUE,COMPLETE
84,0.938204289,23:35.5,25:31.6,0 days 00:01:56.147117,0.6,8,fpgm,layer,2,base,FALSE,COMPLETE
18,0.938083121,04:24.2,06:26.5,0 days 00:02:02.288571,0.4,8,lamp,layer,2,base,TRUE,COMPLETE
99,0.938083121,53:46.2,55:49.2,0 days 00:02:03.014284,0.5,8,fpgm,layer,2,bnscale,FALSE,COMPLETE
41,0.937961953,53:40.3,55:40.6,0 days 00:02:00.209282,0.3,8,fpgm,layer,2,base,TRUE,COMPLETE
23,0.937234945,14:55.9,16:55.0,0 days 00:01:59.099125,0.4,8,lamp,layer,2,base,TRUE,COMPLETE
51,0.937234945,16:16.3,18:18.0,0 days 00:02:01.736357,0.3,8,fpgm,layer,2,base,TRUE,COMPLETE
52,0.937234945,18:18.1,20:18.2,0 days 00:02:00.189660,0.3,8,fpgm,layer,2,base,TRUE,COMPLETE
54,0.937234945,22:18.6,24:18.7,0 days 00:02:00.137607,0.4,8,fpgm,layer,2,base,TRUE,COMPLETE
35,0.937113777,39:29.4,41:32.0,0 days 00:02:02.590419,0.3,8,fpgm,layer,2,base,TRUE,COMPLETE
21,0.936992609,10:30.7,12:31.6,0 days 00:02:00.869086,0.3,8,lamp,layer,2,base,TRUE,COMPLETE
43,0.936871441,57:41.0,59:41.3,0 days 00:02:00.258308,0.4,8,fpgm,layer,2,base,TRUE,COMPLETE
93,0.936507937,41:23.4,43:27.2,0 days 00:02:03.789487,0.7,8,fpgm,layer,2,bnscale,FALSE,COMPLETE
15,0.936144432,58:43.8,00:44.9,0 days 00:02:01.124473,0.1,8,lamp,layer,2,base,FALSE,COMPLETE
13,0.936023264,54:14.5,56:17.9,0 days 00:02:03.396039,0.2,8,lamp,layer,2,group,FALSE,COMPLETE
83,0.935902096,21:39.2,23:35.4,0 days 00:01:56.201729,0.7,8,fpgm,layer,2,base,FALSE,COMPLETE
26,0.935780928,20:43.5,23:09.0,0 days 00:02:25.489227,0.4,9,lamp,layer,2,base,TRUE,COMPLETE
49,0.93565976,10:55.7,13:21.2,0 days 00:02:25.518936,0.3,9,fpgm,layer,2,base,TRUE,COMPLETE
19,0.935538592,06:26.5,08:53.5,0 days 00:02:26.982469,0.4,9,lamp,layer,2,base,TRUE,COMPLETE
55,0.935538592,24:18.7,26:43.4,0 days 00:02:24.637142,0.3,8,fpgm,layer,3,group,TRUE,COMPLETE
31,0.935417424,31:30.0,33:29.6,0 days 00:01:59.562872,0.1,8,lamp,layer,2,base,TRUE,COMPLETE
37,0.935296256,43:07.6,45:15.4,0 days 00:02:07.708157,0.3,7,fpgm,layer,3,bnscale,TRUE,COMPLETE
53,0.935296256,20:18.3,22:18.5,0 days 00:02:00.275925,0.2,8,fpgm,layer,2,base,TRUE,COMPLETE
22,0.935175088,12:31.6,14:55.9,0 days 00:02:24.310420,0.3,8,lamp,layer,3,base,TRUE,COMPLETE
12,0.934811584,52:11.1,54:14.5,0 days 00:02:03.326468,0.2,8,lamp,layer,2,group,FALSE,COMPLETE
38,0.933236399,45:15.4,47:15.8,0 days 00:02:00.448369,0.5,8,fpgm,batch,2,base,TRUE,COMPLETE
44,0.932994063,59:41.3,02:05.9,0 days 00:02:24.614015,0.5,8,fpgm,layer,3,base,TRUE,COMPLETE
14,0.932872895,56:17.9,58:43.8,0 days 00:02:25.872705,0.4,9,lamp,layer,2,bnscale,FALSE,COMPLETE
57,0.932872895,28:20.6,30:20.8,0 days 00:02:00.179303,0.2,8,lamp,layer,2,base,TRUE,COMPLETE
45,0.93190355,02:05.9,04:02.2,0 days 00:01:56.292643,0.5,7,fpgm,batch,2,bnscale,TRUE,COMPLETE
79,0.93190355,13:02.2,15:33.7,0 days 00:02:31.478331,0.6,8,fpgm,layer,3,group,FALSE,COMPLETE
