number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_power,params_imp_type,params_norm,params_num_layers,params_prune_type,params_residual,state
64,0.843,16:39.8,17:26.0,0 days 00:00:46.138991,0.6,8,fpgm,,3,base,TRUE,COMPLETE
54,0.842333333,08:52.8,09:38.1,0 days 00:00:45.258662,0.6,8,lamp,,3,base,TRUE,COMPLETE
24,0.841,43:50.0,44:38.1,0 days 00:00:48.124448,0.6,8,fpgm,,3,base,TRUE,COMPLETE
61,0.841,14:20.7,15:07.2,0 days 00:00:46.497629,0.6,8,fpgm,,3,base,TRUE,COMPLETE
74,0.840666667,24:50.4,25:36.0,0 days 00:00:45.635733,0.6,8,fpgm,,3,base,TRUE,COMPLETE
76,0.840666667,26:28.7,27:11.5,0 days 00:00:42.828075,0.6,8,group,,3,base,TRUE,COMPLETE
72,0.840333333,23:17.7,24:00.1,0 days 00:00:42.440073,0.6,8,fpgm,,3,base,TRUE,COMPLETE
91,0.839666667,38:00.3,38:49.0,0 days 00:00:48.673594,0.6,8,fpgm,,3,base,TRUE,COMPLETE
31,0.839333333,50:36.4,51:21.4,0 days 00:00:44.995653,0.6,8,fpgm,,3,base,TRUE,COMPLETE
32,0.839333333,51:21.4,52:07.7,0 days 00:00:46.235466,0.6,8,fpgm,,3,base,TRUE,COMPLETE
73,0.839,24:00.2,24:50.3,0 days 00:00:50.171709,0.6,8,fpgm,,3,base,TRUE,COMPLETE
83,0.839,31:37.8,32:21.1,0 days 00:00:43.224043,0.6,8,fpgm,,3,base,TRUE,COMPLETE
84,0.839,32:21.1,33:03.5,0 days 00:00:42.411216,0.6,8,fpgm,,3,base,TRUE,COMPLETE
51,0.838666667,06:32.1,07:20.5,0 days 00:00:48.383928,0.6,8,fpgm,,3,base,TRUE,COMPLETE
1,0.838,24:29.4,25:15.7,0 days 00:00:46.232571,0.7,8,fpgm,,3,group,TRUE,COMPLETE
85,0.838,33:03.5,33:47.7,0 days 00:00:44.178174,0.7,8,fpgm,,3,bnscale,TRUE,COMPLETE
26,0.837666667,45:34.5,46:20.4,0 days 00:00:45.938792,0.6,8,fpgm,,3,base,TRUE,COMPLETE
62,0.837333333,15:07.2,15:53.4,0 days 00:00:46.179724,0.6,8,fpgm,,3,base,TRUE,COMPLETE
81,0.837333333,30:10.8,30:55.2,0 days 00:00:44.446732,0.6,8,fpgm,,3,base,TRUE,COMPLETE
33,0.837,52:07.7,52:57.0,0 days 00:00:49.300965,0.6,8,fpgm,,3,base,TRUE,COMPLETE
92,0.837,38:49.0,39:37.4,0 days 00:00:48.420222,0.6,8,fpgm,,3,base,TRUE,COMPLETE
23,0.837,43:06.1,43:50.0,0 days 00:00:43.891854,0.6,8,fpgm,,3,base,TRUE,COMPLETE
53,0.836333333,08:06.0,08:52.8,0 days 00:00:46.784170,0.7,8,fpgm,,3,base,TRUE,COMPLETE
95,0.836333333,41:14.9,42:03.7,0 days 00:00:48.754729,0.6,8,fpgm,,3,base,TRUE,COMPLETE
82,0.836,30:55.2,31:37.8,0 days 00:00:42.589994,0.6,8,group,,3,base,TRUE,COMPLETE
93,0.836,39:37.5,40:27.5,0 days 00:00:50.017640,0.6,8,fpgm,,3,base,TRUE,COMPLETE
