number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_power,params_imp_type,params_norm,params_num_layers,params_prune_type,params_residual,state
92,0.843,12:39.0,13:11.0,0 days 00:00:31.999311,0.4,9,group,layer,2,bnscale,TRUE,COMPLETE
96,0.843,14:47.5,15:19.7,0 days 00:00:32.280706,0.4,9,group,layer,2,bnscale,TRUE,COMPLETE
74,0.842333333,02:00.2,02:31.7,0 days 00:00:31.503545,0.7,9,group,layer,2,base,TRUE,COMPLETE
64,0.842,56:55.8,57:27.9,0 days 00:00:32.102262,0.4,9,group,layer,2,base,TRUE,COMPLETE
78,0.842,03:52.8,04:34.2,0 days 00:00:41.417744,0.2,9,group,layer,3,bnscale,FALSE,COMPLETE
91,0.841666667,12:06.8,12:38.9,0 days 00:00:32.111352,0.4,9,group,layer,2,bnscale,TRUE,COMPLETE
95,0.841666667,14:15.2,14:47.4,0 days 00:00:32.201997,0.4,9,group,layer,2,bnscale,TRUE,COMPLETE
97,0.841666667,15:19.8,15:52.1,0 days 00:00:32.369517,0.4,9,group,layer,2,bnscale,TRUE,COMPLETE
93,0.841333333,13:11.0,13:42.9,0 days 00:00:31.906850,0.4,9,group,layer,2,bnscale,TRUE,COMPLETE
94,0.841333333,13:42.9,14:15.2,0 days 00:00:32.314468,0.4,9,group,layer,2,bnscale,TRUE,COMPLETE
86,0.840333333,09:02.1,09:34.0,0 days 00:00:31.883288,0.5,9,group,layer,2,bnscale,TRUE,COMPLETE
99,0.84,16:13.1,16:45.2,0 days 00:00:32.156525,0.4,9,group,layer,2,bnscale,TRUE,COMPLETE
15,0.839666667,32:17.3,32:43.5,0 days 00:00:26.120553,0.5,9,group,layer,2,bnscale,TRUE,COMPLETE
21,0.839666667,35:10.4,35:36.2,0 days 00:00:25.823332,0.5,9,group,layer,2,bnscale,TRUE,COMPLETE
33,0.838666667,40:48.0,41:13.4,0 days 00:00:25.354590,0.3,9,group,layer,2,bnscale,TRUE,COMPLETE
35,0.838666667,41:32.5,41:56.6,0 days 00:00:24.097647,0.3,9,group,layer,2,base,TRUE,COMPLETE
40,0.838666667,44:40.4,45:04.9,0 days 00:00:24.500931,0.3,9,group,layer,2,base,TRUE,COMPLETE
41,0.838666667,45:04.9,45:28.7,0 days 00:00:23.737339,0.3,9,group,layer,2,base,TRUE,COMPLETE
51,0.838666667,49:46.8,50:18.2,0 days 00:00:31.410200,0.3,9,group,layer,2,base,TRUE,COMPLETE
52,0.838666667,50:18.3,50:49.5,0 days 00:00:31.241220,0.3,9,group,layer,2,base,TRUE,COMPLETE
55,0.838666667,51:37.6,52:09.4,0 days 00:00:31.815991,0.2,9,group,layer,2,bnscale,TRUE,COMPLETE
61,0.838666667,55:20.0,55:51.8,0 days 00:00:31.823740,0.3,9,group,layer,2,base,TRUE,COMPLETE
62,0.838666667,55:51.9,56:23.5,0 days 00:00:31.642283,0.3,9,group,layer,2,base,TRUE,COMPLETE
63,0.838666667,56:23.5,56:55.8,0 days 00:00:32.265403,0.2,9,group,layer,2,base,TRUE,COMPLETE
71,0.838666667,00:24.2,00:56.2,0 days 00:00:31.939231,0.3,9,group,layer,2,base,TRUE,COMPLETE
72,0.838666667,00:56.2,01:28.3,0 days 00:00:32.105394,0.3,9,group,layer,2,base,TRUE,COMPLETE
73,0.838666667,01:28.3,02:00.2,0 days 00:00:31.867674,0.3,9,group,layer,2,base,TRUE,COMPLETE
42,0.838333333,45:28.7,45:55.9,0 days 00:00:27.242171,0.2,9,group,layer,2,base,TRUE,COMPLETE
75,0.838,02:31.7,03:03.5,0 days 00:00:31.784276,0.7,9,group,layer,2,base,TRUE,COMPLETE
65,0.837333333,57:27.9,57:59.9,0 days 00:00:31.933362,0.5,9,group,layer,2,group,TRUE,COMPLETE
22,0.837,35:36.2,36:05.5,0 days 00:00:29.322424,0.5,9,group,layer,2,bnscale,TRUE,COMPLETE
24,0.837,36:28.3,37:00.1,0 days 00:00:31.865669,0.4,9,group,layer,3,bnscale,TRUE,COMPLETE
26,0.836666667,37:21.4,37:44.6,0 days 00:00:23.183938,0.5,9,group,layer,2,bnscale,FALSE,COMPLETE
45,0.836333333,46:44.6,47:20.2,0 days 00:00:35.623338,0.1,9,group,layer,3,base,TRUE,COMPLETE
17,0.836,33:09.7,33:35.5,0 days 00:00:25.830662,0.5,9,group,layer,2,bnscale,TRUE,COMPLETE
54,0.835666667,51:07.8,51:37.5,0 days 00:00:29.699300,0.4,9,fpgm,layer,2,base,TRUE,COMPLETE
31,0.835333333,39:40.7,40:16.4,0 days 00:00:35.768152,0.4,9,group,layer,3,bnscale,TRUE,COMPLETE
56,0.835333333,52:09.4,52:51.7,0 days 00:00:42.258105,0.4,9,group,layer,3,base,FALSE,COMPLETE
83,0.835,07:05.1,07:46.7,0 days 00:00:41.618208,0.2,9,group,layer,3,group,FALSE,COMPLETE
88,0.835,10:25.6,10:57.2,0 days 00:00:31.636670,0.5,9,fpgm,layer,2,bnscale,TRUE,COMPLETE
82,0.832333333,06:35.4,07:05.1,0 days 00:00:29.736343,0.2,9,group,layer,2,bnscale,FALSE,COMPLETE
46,0.832,47:20.2,47:46.2,0 days 00:00:26.006419,0.3,8,lamp,layer,2,base,TRUE,COMPLETE
81,0.832,06:04.3,06:35.3,0 days 00:00:31.048278,0.2,9,group,layer,2,bnscale,FALSE,COMPLETE
13,0.831333333,31:29.1,31:54.1,0 days 00:00:24.995046,0.5,7,fpgm,layer,2,bnscale,TRUE,COMPLETE
25,0.831,37:00.2,37:21.4,0 days 00:00:21.244189,0.6,8,group,layer,2,bnscale,TRUE,COMPLETE
32,0.829,40:16.5,40:48.0,0 days 00:00:31.564302,0.5,9,group,layer,3,bnscale,TRUE,COMPLETE
11,0.826666667,30:30.0,31:03.8,0 days 00:00:33.844723,0.5,7,fpgm,layer,2,bnscale,TRUE,COMPLETE
67,0.826,58:19.9,58:48.6,0 days 00:00:28.789417,0.4,8,group,layer,2,base,TRUE,COMPLETE
