number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_power,params_imp_type,params_norm,params_num_layers,params_prune_type,params_residual,state
41,0.957106507,22:58.9,45:18.7,0 days 00:22:19.816797,0.6,9,fpgm,batch,2,group,TRUE,COMPLETE
51,0.956470374,38:05.0,57:33.0,0 days 00:19:28.034269,0.5,8,fpgm,batch,2,base,TRUE,COMPLETE
92,0.956470374,58:00.2,17:29.5,0 days 00:19:29.281313,0.5,8,fpgm,batch,2,base,TRUE,COMPLETE
98,0.956470374,55:44.5,15:13.4,0 days 00:19:28.959535,0.5,8,fpgm,batch,2,base,TRUE,COMPLETE
52,0.956288622,57:33.1,17:01.3,0 days 00:19:28.216938,0.5,8,fpgm,batch,2,base,TRUE,COMPLETE
61,0.956197746,50:36.3,10:04.6,0 days 00:19:28.295531,0.5,8,fpgm,batch,2,base,TRUE,COMPLETE
62,0.956197746,10:04.6,29:32.5,0 days 00:19:27.914101,0.5,8,fpgm,batch,2,base,TRUE,COMPLETE
71,0.956197746,04:50.6,24:17.6,0 days 00:19:26.957943,0.5,8,fpgm,batch,2,base,TRUE,COMPLETE
81,0.956197746,18:51.2,38:20.0,0 days 00:19:28.801034,0.5,8,fpgm,batch,2,base,TRUE,COMPLETE
94,0.956197746,36:58.6,56:27.4,0 days 00:19:28.738226,0.5,8,fpgm,batch,2,base,TRUE,COMPLETE
37,0.95610687,05:22.1,24:51.0,0 days 00:19:28.934824,0.5,8,fpgm,batch,2,group,TRUE,COMPLETE
49,0.95610687,56:38.3,16:06.4,0 days 00:19:28.117045,0.5,8,fpgm,batch,2,base,TRUE,COMPLETE
53,0.95610687,17:01.3,36:30.1,0 days 00:19:28.824781,0.5,8,fpgm,batch,2,base,TRUE,COMPLETE
58,0.95610687,53:13.4,12:42.2,0 days 00:19:28.767903,0.5,8,fpgm,batch,2,base,TRUE,COMPLETE
63,0.95610687,29:32.5,49:00.9,0 days 00:19:28.329702,0.5,8,fpgm,batch,2,base,TRUE,COMPLETE
70,0.95610687,45:17.5,04:50.6,0 days 00:19:33.075768,0.5,8,fpgm,batch,2,base,TRUE,COMPLETE
80,0.95610687,59:23.4,18:51.2,0 days 00:19:27.731014,0.5,8,fpgm,batch,2,base,TRUE,COMPLETE
84,0.95610687,17:16.6,36:45.6,0 days 00:19:28.976746,0.5,8,fpgm,batch,2,base,TRUE,COMPLETE
91,0.95610687,38:32.6,58:00.2,0 days 00:19:27.574779,0.5,8,fpgm,batch,2,base,TRUE,COMPLETE
93,0.95610687,17:29.5,36:58.6,0 days 00:19:29.124794,0.5,8,fpgm,batch,2,base,TRUE,COMPLETE
64,0.956015994,49:00.9,08:29.6,0 days 00:19:28.757166,0.6,8,fpgm,batch,2,base,TRUE,COMPLETE
72,0.956015994,24:17.7,43:45.6,0 days 00:19:27.909558,0.5,8,fpgm,batch,2,base,TRUE,COMPLETE
76,0.956015994,42:55.8,02:23.3,0 days 00:19:27.546775,0.5,8,fpgm,batch,2,bnscale,TRUE,COMPLETE
82,0.956015994,38:20.0,57:48.1,0 days 00:19:28.056812,0.5,8,fpgm,batch,2,base,TRUE,COMPLETE
69,0.955925118,25:41.5,45:17.5,0 days 00:19:35.951602,0.6,8,fpgm,batch,2,base,TRUE,COMPLETE
95,0.955925118,56:27.4,15:56.4,0 days 00:19:28.972027,0.6,8,fpgm,batch,2,base,TRUE,COMPLETE
42,0.955834242,45:18.7,04:48.1,0 days 00:19:29.359798,0.6,8,fpgm,batch,2,group,TRUE,COMPLETE
99,0.955834242,15:13.4,34:42.2,0 days 00:19:28.722918,0.6,8,fpgm,batch,2,base,TRUE,COMPLETE
89,0.955743366,01:17.5,20:46.5,0 days 00:19:28.955170,0.6,8,fpgm,batch,2,base,TRUE,COMPLETE
83,0.955470738,57:48.1,17:16.6,0 days 00:19:28.483710,0.6,8,fpgm,batch,2,base,TRUE,COMPLETE
33,0.955288986,34:04.3,56:23.1,0 days 00:22:18.809775,0.6,9,fpgm,layer,2,group,FALSE,COMPLETE
86,0.95519811,59:21.4,18:50.3,0 days 00:19:28.879677,0.4,8,fpgm,batch,2,base,TRUE,COMPLETE
13,0.955107234,16:47.9,39:05.4,0 days 00:22:17.538407,0.2,9,lamp,layer,2,base,FALSE,COMPLETE
32,0.955107234,11:45.4,34:04.3,0 days 00:22:18.828164,0.5,9,lamp,layer,2,group,FALSE,COMPLETE
67,0.955107234,48:22.6,07:58.4,0 days 00:19:35.790095,0.4,8,fpgm,batch,2,base,TRUE,COMPLETE
19,0.954925482,30:29.7,52:51.5,0 days 00:22:21.889517,0.4,9,lamp,layer,2,group,FALSE,COMPLETE
73,0.954925482,43:45.6,03:14.2,0 days 00:19:28.639004,0.4,8,fpgm,batch,2,base,TRUE,COMPLETE
31,0.954834606,49:23.6,11:45.4,0 days 00:22:21.838852,0.4,9,lamp,layer,2,group,FALSE,COMPLETE
21,0.95474373,12:22.7,34:44.9,0 days 00:22:22.292479,0.4,9,lamp,layer,2,group,FALSE,COMPLETE
23,0.954561977,58:37.3,20:59.2,0 days 00:22:21.896173,0.4,9,lamp,layer,2,group,FALSE,COMPLETE
14,0.954471101,39:05.5,01:23.6,0 days 00:22:18.169198,0.1,9,lamp,layer,2,base,FALSE,COMPLETE
20,0.954471101,52:51.6,12:22.6,0 days 00:19:31.068292,0.5,8,lamp,layer,2,group,FALSE,COMPLETE
26,0.954471101,06:45.9,27:36.2,0 days 00:20:50.359683,0.4,9,lamp,layer,1,group,TRUE,COMPLETE
57,0.954198473,33:43.2,53:13.4,0 days 00:19:30.240745,0.3,8,group,batch,2,base,TRUE,COMPLETE
10,0.953925845,14:22.4,35:11.0,0 days 00:20:48.647133,0.3,9,lamp,layer,1,base,FALSE,COMPLETE
11,0.953925845,35:11.1,55:59.3,0 days 00:20:48.242894,0.3,9,lamp,layer,1,base,FALSE,COMPLETE
12,0.953925845,55:59.3,16:47.9,0 days 00:20:48.560466,0.3,9,lamp,layer,1,base,FALSE,COMPLETE
35,0.953834969,20:13.0,38:50.8,0 days 00:18:37.798262,0.6,8,fpgm,layer,1,bnscale,FALSE,COMPLETE
27,0.953744093,27:36.2,47:04.0,0 days 00:19:27.813212,0.2,8,lamp,layer,2,group,FALSE,COMPLETE
45,0.953653217,42:45.7,01:19.3,0 days 00:18:33.614121,0.7,8,fpgm,batch,1,group,TRUE,COMPLETE
22,0.953562341,34:45.0,58:37.3,0 days 00:23:52.359996,0.4,9,lamp,layer,3,group,FALSE,COMPLETE
44,0.953471465,23:24.7,42:45.7,0 days 00:19:21.033267,0.7,8,fpgm,batch,2,group,TRUE,COMPLETE
16,0.953289713,25:16.2,44:48.4,0 days 00:19:32.132037,0.1,8,lamp,layer,2,group,FALSE,COMPLETE
56,0.952562704,15:05.0,33:43.2,0 days 00:18:38.146046,0.5,8,fpgm,batch,1,base,TRUE,COMPLETE
43,0.952471828,04:48.1,23:24.7,0 days 00:18:36.573559,0.6,8,fpgm,batch,1,group,TRUE,COMPLETE
48,0.9521992,38:00.0,56:38.2,0 days 00:18:38.290940,0.7,8,fpgm,batch,1,group,TRUE,COMPLETE
77,0.952017448,02:23.3,20:59.0,0 days 00:18:35.633827,0.6,8,group,batch,1,base,TRUE,COMPLETE
87,0.952017448,18:50.3,37:28.6,0 days 00:18:38.252235,0.5,8,fpgm,batch,1,base,TRUE,COMPLETE
88,0.951926572,37:28.6,01:17.5,0 days 00:23:48.882706,0.5,9,fpgm,batch,3,base,TRUE,COMPLETE
15,0.95174482,01:23.6,25:16.2,0 days 00:23:52.584535,0.1,9,lamp,layer,3,base,FALSE,COMPLETE
97,0.95174482,37:06.0,55:44.4,0 days 00:18:38.392093,0.4,8,group,batch,1,bnscale,TRUE,COMPLETE
34,0.951381316,56:23.1,20:13.0,0 days 00:23:49.846440,0.6,9,fpgm,layer,3,group,TRUE,COMPLETE
68,0.951017812,07:58.4,25:41.5,0 days 00:17:43.060588,0.3,7,fpgm,batch,1,base,TRUE,COMPLETE
28,0.950563431,47:04.1,10:52.2,0 days 00:23:48.137642,0.6,9,lamp,batch,3,group,FALSE,COMPLETE
25,0.950472555,46:23.2,06:45.8,0 days 00:20:22.626217,0.2,8,lamp,layer,3,group,FALSE,COMPLETE
60,0.950381679,33:00.9,50:36.3,0 days 00:17:35.326373,0.4,7,fpgm,batch,1,base,TRUE,COMPLETE
9,0.950109051,56:47.6,14:22.4,0 days 00:17:34.736141,0.8,7,group,batch,1,base,FALSE,COMPLETE
18,0.949382043,10:08.1,30:29.6,0 days 00:20:21.561381,0.2,8,lamp,layer,3,base,TRUE,COMPLETE
59,0.949109415,12:42.2,33:00.9,0 days 00:20:18.690303,0.5,8,fpgm,batch,3,base,TRUE,COMPLETE
78,0.948564158,20:59.0,41:13.3,0 days 00:20:14.326199,0.4,8,fpgm,batch,3,base,TRUE,COMPLETE
38,0.948200654,24:51.0,45:10.1,0 days 00:20:19.016731,0.5,8,fpgm,batch,3,bnscale,TRUE,COMPLETE
74,0.948109778,03:14.2,22:37.4,0 days 00:19:23.195656,0.5,8,fpgm,,2,base,TRUE,COMPLETE
79,0.947746274,41:13.3,59:23.4,0 days 00:18:10.079788,0.4,7,fpgm,batch,2,base,TRUE,COMPLETE
54,0.947473646,36:30.1,56:49.5,0 days 00:20:19.383222,0.5,8,fpgm,batch,3,base,TRUE,COMPLETE
65,0.947201018,08:29.7,27:55.6,0 days 00:19:25.946449,0.4,8,fpgm,,2,base,TRUE,COMPLETE
0,0.94692839,48:52.5,06:29.8,0 days 00:17:37.280450,0,6,fpgm,,2,bnscale,FALSE,COMPLETE
55,0.946837514,56:49.5,15:05.0,0 days 00:18:15.457031,0.5,7,fpgm,batch,2,base,TRUE,COMPLETE
66,0.946201381,27:55.6,48:22.6,0 days 00:20:26.984822,0.5,8,group,batch,3,base,TRUE,COMPLETE
17,0.945928753,44:48.4,10:08.1,0 days 00:25:19.667364,0,9,lamp,layer,4,base,FALSE,COMPLETE
4,0.945292621,16:39.9,36:03.3,0 days 00:19:23.369687,0.8,8,group,,2,bnscale,TRUE,COMPLETE
75,0.944565613,22:37.5,42:55.7,0 days 00:20:18.293666,0.6,8,fpgm,batch,3,base,TRUE,COMPLETE
24,0.944202108,20:59.3,46:23.2,0 days 00:25:23.932126,0.5,9,lamp,layer,4,group,FALSE,COMPLETE
29,0.94392948,10:52.2,28:37.3,0 days 00:17:45.082128,0,6,fpgm,layer,2,bnscale,FALSE,COMPLETE
39,0.941475827,45:10.1,03:25.3,0 days 00:18:15.233716,0.7,7,fpgm,batch,2,group,TRUE,COMPLETE
5,0.939294802,36:03.3,54:48.5,0 days 00:18:45.210950,0.1,7,group,,3,base,FALSE,COMPLETE
3,0.938931298,53:49.6,16:39.9,0 days 00:22:50.301694,0.3,8,group,layer,6,group,TRUE,COMPLETE
30,0.938749546,28:37.3,49:23.6,0 days 00:20:46.240617,0.4,9,lamp,,1,group,FALSE,COMPLETE
96,0.93865867,15:56.4,37:06.0,0 days 00:21:09.622472,0.5,8,fpgm,batch,4,group,TRUE,COMPLETE
6,0.937204653,54:48.6,15:55.5,0 days 00:21:06.909502,0.6,8,fpgm,batch,4,group,FALSE,COMPLETE
47,0.934932752,19:05.3,37:59.9,0 days 00:18:54.613850,0.6,7,group,batch,3,base,TRUE,COMPLETE
90,0.933842239,20:46.5,38:32.6,0 days 00:17:46.101607,0.4,6,fpgm,batch,2,base,TRUE,COMPLETE
50,0.928844057,16:06.4,38:05.0,0 days 00:21:58.591000,0.8,8,fpgm,batch,5,group,TRUE,COMPLETE
46,0.928389676,01:19.4,19:05.3,0 days 00:17:45.933447,0.6,6,fpgm,batch,2,base,TRUE,COMPLETE
36,0.92784442,38:50.8,05:22.1,0 days 00:26:31.276683,0.7,9,fpgm,,5,group,FALSE,COMPLETE
2,0.927662668,27:20.1,53:49.6,0 days 00:26:29.539981,0.7,9,group,,5,bnscale,FALSE,COMPLETE
40,0.925754271,03:25.3,22:58.9,0 days 00:19:33.524724,0.5,7,fpgm,batch,4,bnscale,TRUE,COMPLETE
1,0.924118502,06:29.8,27:20.0,0 days 00:20:50.240221,0.7,7,fpgm,batch,6,base,TRUE,COMPLETE
7,0.919029444,15:55.5,36:12.4,0 days 00:20:16.924677,0.5,6,group,batch,6,bnscale,FALSE,COMPLETE
85,0.918484188,36:45.6,59:21.4,0 days 00:22:35.835967,0.6,8,fpgm,,6,bnscale,TRUE,COMPLETE
8,0.804889131,36:12.4,56:47.6,0 days 00:20:35.178381,0.8,7,fpgm,,6,base,TRUE,COMPLETE
