number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_power,params_imp_type,params_norm,params_num_layers,params_prune_type,params_residual,state
47,0.947473646,56:00.8,03:39.4,0 days 00:07:38.581598,0.2,9,lamp,layer,1,base,TRUE,COMPLETE
57,0.947473646,15:33.4,23:12.2,0 days 00:07:38.828971,0.2,9,group,layer,1,base,TRUE,COMPLETE
67,0.947473646,35:28.9,43:07.2,0 days 00:07:38.266445,0.2,9,group,layer,1,group,TRUE,COMPLETE
81,0.947473646,24:24.7,32:01.5,0 days 00:07:36.865074,0.2,9,group,layer,1,base,TRUE,COMPLETE
84,0.947473646,47:18.0,54:56.2,0 days 00:07:38.240446,0.2,9,group,layer,1,base,TRUE,COMPLETE
97,0.947473646,28:26.7,36:05.0,0 days 00:07:38.275510,0.2,9,group,layer,1,base,TRUE,COMPLETE
51,0.94738277,27:42.8,35:21.5,0 days 00:07:38.642924,0.2,9,group,layer,1,base,TRUE,COMPLETE
52,0.94738277,35:21.5,43:00.0,0 days 00:07:38.487363,0.2,9,group,layer,1,base,TRUE,COMPLETE
53,0.94738277,43:00.0,50:38.7,0 days 00:07:38.740852,0.2,9,group,layer,1,base,TRUE,COMPLETE
59,0.94738277,30:50.0,38:28.1,0 days 00:07:38.158814,0.2,9,group,layer,1,base,TRUE,COMPLETE
61,0.94738277,47:07.9,54:46.4,0 days 00:07:38.461325,0.2,9,group,layer,1,base,TRUE,COMPLETE
62,0.94738277,54:46.4,02:23.7,0 days 00:07:37.221070,0.2,9,group,layer,1,base,TRUE,COMPLETE
64,0.94738277,10:02.3,17:40.8,0 days 00:07:38.531646,0.2,9,group,layer,1,base,TRUE,COMPLETE
71,0.94738277,07:01.7,14:40.4,0 days 00:07:38.758683,0.2,9,group,layer,1,group,TRUE,COMPLETE
72,0.94738277,14:40.4,22:18.0,0 days 00:07:37.535079,0.2,9,group,layer,1,base,TRUE,COMPLETE
73,0.94738277,22:18.0,29:56.3,0 days 00:07:38.282720,0.2,9,group,layer,1,group,TRUE,COMPLETE
76,0.94738277,45:13.5,52:51.5,0 days 00:07:38.052282,0.2,9,group,layer,1,base,TRUE,COMPLETE
77,0.94738277,52:51.5,00:30.0,0 days 00:07:38.416762,0.2,9,group,layer,1,base,TRUE,COMPLETE
90,0.94738277,33:58.3,41:36.6,0 days 00:07:38.277946,0.2,9,group,layer,1,base,TRUE,COMPLETE
91,0.94738277,41:36.6,49:14.6,0 days 00:07:37.977124,0.2,9,group,layer,1,base,TRUE,COMPLETE
92,0.94738277,49:14.6,56:52.4,0 days 00:07:37.826489,0.2,9,group,layer,1,base,TRUE,COMPLETE
82,0.947291894,32:01.6,39:39.7,0 days 00:07:38.155193,0.2,9,group,layer,1,base,TRUE,COMPLETE
85,0.947291894,54:56.2,02:34.3,0 days 00:07:38.094999,0.2,9,group,layer,1,base,TRUE,COMPLETE
94,0.947291894,04:30.6,12:08.4,0 days 00:07:37.839258,0.2,9,group,layer,1,base,TRUE,COMPLETE
95,0.947291894,12:08.4,19:46.4,0 days 00:07:38.022725,0.2,9,group,layer,1,bnscale,TRUE,COMPLETE
70,0.947201018,59:24.7,07:01.6,0 days 00:07:36.936618,0.3,9,group,layer,1,group,FALSE,COMPLETE
9,0.946746638,06:55.5,14:30.1,0 days 00:07:34.623828,0.1,9,lamp,layer,1,base,TRUE,COMPLETE
74,0.946746638,29:56.3,37:35.0,0 days 00:07:38.744254,0.1,9,group,layer,1,base,TRUE,COMPLETE
83,0.946746638,39:39.7,47:18.0,0 days 00:07:38.223823,0.1,9,group,layer,1,base,TRUE,COMPLETE
89,0.946746638,26:20.1,33:58.3,0 days 00:07:38.150405,0.1,9,group,layer,1,base,TRUE,COMPLETE
58,0.946655762,23:12.2,30:50.0,0 days 00:07:37.715596,0.2,9,group,layer,1,base,FALSE,COMPLETE
65,0.946655762,17:40.9,25:19.4,0 days 00:07:38.485194,0.3,9,group,layer,1,base,TRUE,COMPLETE
49,0.946564885,12:19.3,19:53.8,0 days 00:07:34.539567,0.3,9,group,layer,1,base,TRUE,COMPLETE
63,0.946564885,02:23.7,10:02.3,0 days 00:07:38.611479,0.3,9,group,layer,1,base,TRUE,COMPLETE
75,0.946564885,37:35.1,45:13.4,0 days 00:07:38.370783,0.3,9,group,layer,1,base,TRUE,COMPLETE
80,0.946564885,16:46.6,24:24.6,0 days 00:07:38.069632,0.3,9,group,layer,1,base,TRUE,COMPLETE
93,0.946564885,56:52.4,04:30.5,0 days 00:07:38.092138,0.3,9,group,layer,1,base,TRUE,COMPLETE
86,0.946292257,02:34.4,10:12.5,0 days 00:07:38.164657,0.3,9,fpgm,layer,1,base,TRUE,COMPLETE
25,0.945928753,11:52.4,18:42.9,0 days 00:06:50.493495,0.4,8,lamp,layer,1,base,TRUE,COMPLETE
22,0.945383497,51:00.7,57:51.0,0 days 00:06:50.249396,0.1,8,lamp,layer,1,base,TRUE,COMPLETE
43,0.945383497,27:53.6,34:44.9,0 days 00:06:51.297366,0.1,8,lamp,layer,1,base,TRUE,COMPLETE
44,0.945383497,34:44.9,41:36.1,0 days 00:06:51.168259,0.1,8,lamp,layer,1,base,TRUE,COMPLETE
42,0.945019993,21:03.8,27:53.6,0 days 00:06:49.732990,0,8,lamp,layer,1,base,TRUE,COMPLETE
0,0.944929117,55:49.4,02:43.6,0 days 00:06:54.201856,0.5,8,lamp,layer,1,base,TRUE,COMPLETE
12,0.944838241,30:42.0,37:31.8,0 days 00:06:49.864388,0,8,lamp,layer,1,base,TRUE,COMPLETE
21,0.944838241,44:11.2,51:00.7,0 days 00:06:49.519296,0,8,lamp,layer,1,base,TRUE,COMPLETE
41,0.944838241,14:14.0,21:03.8,0 days 00:06:49.828723,0,8,lamp,layer,1,base,TRUE,COMPLETE
36,0.944565613,37:25.9,44:16.1,0 days 00:06:50.199346,0.4,8,fpgm,layer,1,bnscale,FALSE,COMPLETE
31,0.944474736,57:24.6,04:13.7,0 days 00:06:49.124453,0.6,8,lamp,layer,1,base,TRUE,COMPLETE
32,0.944474736,04:13.8,11:04.7,0 days 00:06:50.945674,0.4,8,lamp,layer,1,base,FALSE,COMPLETE
69,0.944292984,50:44.4,59:24.7,0 days 00:08:40.234007,0.1,9,group,layer,2,group,TRUE,COMPLETE
55,0.944202108,59:18.6,06:53.0,0 days 00:07:34.397832,0.3,9,group,batch,1,group,TRUE,COMPLETE
24,0.943838604,05:23.7,11:52.4,0 days 00:06:28.669525,0.2,7,lamp,layer,1,base,TRUE,COMPLETE
68,0.943747728,43:07.2,50:44.4,0 days 00:07:37.182210,0.2,9,group,batch,1,group,TRUE,COMPLETE
26,0.943384224,18:42.9,27:20.7,0 days 00:08:37.780963,0.1,9,lamp,layer,2,base,FALSE,COMPLETE
30,0.942929844,48:48.2,57:24.6,0 days 00:08:36.362908,0.3,9,lamp,layer,2,base,TRUE,COMPLETE
11,0.942748092,23:29.4,30:42.0,0 days 00:07:12.524443,0.5,8,lamp,,1,base,TRUE,COMPLETE
56,0.942475463,06:53.1,15:33.4,0 days 00:08:40.293152,0.2,9,group,layer,2,base,TRUE,COMPLETE
45,0.942384587,41:36.1,49:09.3,0 days 00:07:33.223655,0.1,8,lamp,layer,2,base,TRUE,COMPLETE
14,0.942293711,46:04.6,53:16.7,0 days 00:07:12.144695,0.3,8,lamp,,1,base,TRUE,COMPLETE
23,0.942293711,57:51.0,05:23.7,0 days 00:07:32.701899,0.1,8,lamp,layer,2,base,TRUE,COMPLETE
96,0.942202835,19:46.5,28:26.7,0 days 00:08:40.230569,0.3,9,fpgm,layer,2,base,TRUE,COMPLETE
18,0.941930207,19:35.8,26:38.8,0 days 00:07:02.942445,0.1,8,lamp,,1,base,FALSE,COMPLETE
33,0.941930207,11:04.7,18:42.6,0 days 00:07:37.869430,0.5,8,lamp,layer,2,bnscale,TRUE,COMPLETE
87,0.941930207,10:12.6,17:47.4,0 days 00:07:34.861251,0.1,9,group,batch,1,base,FALSE,COMPLETE
60,0.941839331,38:28.2,47:07.9,0 days 00:08:39.754153,0.2,9,group,layer,2,bnscale,TRUE,COMPLETE
48,0.941657579,03:39.4,12:19.2,0 days 00:08:39.853334,0.2,9,fpgm,layer,2,base,TRUE,COMPLETE
54,0.941657579,50:38.8,59:18.6,0 days 00:08:39.867334,0.2,9,group,layer,2,base,TRUE,COMPLETE
50,0.940567067,19:53.8,27:42.8,0 days 00:07:48.972070,0.3,9,group,,1,base,TRUE,COMPLETE
5,0.94002181,37:59.5,44:29.4,0 days 00:06:29.889291,0.1,7,fpgm,,1,bnscale,TRUE,COMPLETE
28,0.939749182,35:26.8,41:57.0,0 days 00:06:30.163117,0,7,fpgm,,1,bnscale,TRUE,COMPLETE
98,0.938931298,36:05.0,43:53.7,0 days 00:07:48.686765,0.1,9,group,,1,group,TRUE,COMPLETE
46,0.937204653,49:09.3,56:00.8,0 days 00:06:51.402666,0.1,8,lamp,batch,1,base,TRUE,COMPLETE
6,0.936659397,44:29.4,53:03.9,0 days 00:08:34.499003,0.7,9,fpgm,layer,2,group,TRUE,COMPLETE
99,0.935750636,43:53.8,53:22.8,0 days 00:09:29.061305,0.3,9,group,layer,3,base,FALSE,COMPLETE
17,0.935023628,10:06.9,19:35.8,0 days 00:09:28.868565,0.3,9,lamp,layer,3,base,TRUE,COMPLETE
