number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_power,params_imp_type,params_norm,params_num_layers,params_prune_type,params_residual,state
86,0.962527233,43:30.2,48:55.3,0 days 00:05:25.070566,0.8,9,fpgm,batch,2,bnscale,FALSE,COMPLETE
92,0.962527233,12:53.1,17:06.3,0 days 00:04:13.155755,0.8,9,fpgm,batch,2,bnscale,FALSE,COMPLETE
66,0.962309368,49:04.5,53:51.1,0 days 00:04:46.612191,0.8,9,fpgm,batch,2,bnscale,FALSE,COMPLETE
94,0.962309368,21:14.9,24:52.1,0 days 00:03:37.239068,0.8,9,fpgm,batch,2,bnscale,FALSE,COMPLETE
63,0.962091503,33:20.5,38:06.6,0 days 00:04:46.161300,0.8,9,fpgm,batch,2,bnscale,FALSE,COMPLETE
75,0.962091503,32:29.1,38:57.8,0 days 00:06:28.686149,0.8,9,fpgm,batch,2,bnscale,TRUE,COMPLETE
61,0.961873638,23:51.0,28:34.8,0 days 00:04:43.789151,0.8,9,fpgm,batch,2,bnscale,FALSE,COMPLETE
64,0.961873638,38:06.7,42:52.8,0 days 00:04:46.166689,0.8,9,fpgm,batch,2,bnscale,FALSE,COMPLETE
69,0.961873638,01:58.7,06:44.2,0 days 00:04:45.468275,0.8,9,fpgm,batch,2,bnscale,FALSE,COMPLETE
73,0.961873638,22:25.6,26:45.4,0 days 00:04:19.836524,0.8,9,fpgm,batch,2,bnscale,FALSE,COMPLETE
93,0.961873638,17:06.3,21:14.9,0 days 00:04:08.567209,0.8,9,fpgm,batch,2,bnscale,FALSE,COMPLETE
71,0.961655773,12:55.3,17:40.7,0 days 00:04:45.438380,0.8,9,fpgm,batch,2,bnscale,FALSE,COMPLETE
81,0.961655773,14:56.7,20:53.1,0 days 00:05:56.351280,0.8,9,fpgm,batch,2,bnscale,FALSE,COMPLETE
85,0.961655773,37:49.7,43:30.2,0 days 00:05:40.489444,0.8,9,fpgm,batch,2,bnscale,TRUE,COMPLETE
72,0.961437908,17:40.8,22:25.5,0 days 00:04:44.778629,0.8,9,fpgm,batch,2,bnscale,FALSE,COMPLETE
