number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_power,params_imp_type,params_norm,params_num_layers,params_prune_type,params_residual,state
16,0.960130719,32:07.7,33:22.4,0 days 00:01:14.669388,0.3,8,fpgm,,2,bnscale,FALSE,COMPLETE
99,0.958169935,13:45.5,15:10.8,0 days 00:01:25.337122,0.5,9,group,,2,group,FALSE,COMPLETE
94,0.957734205,06:53.7,08:16.2,0 days 00:01:22.532780,0.6,9,group,,2,group,FALSE,COMPLETE
100,0.957298475,15:10.8,16:33.9,0 days 00:01:23.081610,0.5,9,group,,2,group,FALSE,COMPLETE
95,0.95708061,08:16.3,09:38.5,0 days 00:01:22.242959,0.5,9,group,,2,group,FALSE,COMPLETE
97,0.95708061,10:57.4,12:19.9,0 days 00:01:22.553789,0.5,9,group,,2,group,FALSE,COMPLETE
90,0.956862745,00:31.9,01:55.4,0 days 00:01:23.476269,0.4,9,group,,2,group,FALSE,COMPLETE
102,0.95664488,17:56.0,19:20.2,0 days 00:01:24.236552,0.5,9,group,,2,group,FALSE,COMPLETE
89,0.956427015,59:07.7,00:31.9,0 days 00:01:24.191725,0.3,9,group,,2,group,FALSE,COMPLETE
15,0.955991285,30:57.8,32:07.7,0 days 00:01:09.868112,0.3,8,fpgm,,2,bnscale,FALSE,COMPLETE
82,0.955991285,51:59.4,52:58.2,0 days 00:00:58.839319,0.6,9,group,,1,group,FALSE,COMPLETE
85,0.955991285,55:00.9,56:02.8,0 days 00:01:01.903665,0.6,9,group,,1,group,FALSE,COMPLETE
55,0.95577342,19:40.2,20:39.4,0 days 00:00:59.181704,0.7,9,fpgm,,1,group,FALSE,COMPLETE
96,0.95577342,09:38.5,10:57.3,0 days 00:01:18.816463,0.5,9,group,,2,group,FALSE,COMPLETE
74,0.955555556,43:52.8,44:51.6,0 days 00:00:58.785156,0.6,9,fpgm,,1,group,FALSE,COMPLETE
75,0.955555556,44:51.7,45:52.9,0 days 00:01:01.246058,0.6,9,fpgm,,1,group,FALSE,COMPLETE
78,0.955555556,47:57.4,48:59.5,0 days 00:01:02.111103,0.6,9,fpgm,,1,group,FALSE,COMPLETE
18,0.955337691,34:51.5,36:06.5,0 days 00:01:14.950102,0.3,8,fpgm,,2,bnscale,FALSE,COMPLETE
48,0.955337691,10:39.5,11:39.5,0 days 00:00:59.948720,0.7,9,fpgm,,1,group,TRUE,COMPLETE
57,0.955337691,23:30.8,24:28.5,0 days 00:00:57.739701,0.6,9,fpgm,,1,group,FALSE,COMPLETE
68,0.955337691,36:04.1,37:15.8,0 days 00:01:11.676212,0.7,8,fpgm,batch,2,bnscale,FALSE,COMPLETE
86,0.955337691,56:02.9,57:04.4,0 days 00:01:01.524434,0.6,9,group,,1,group,FALSE,COMPLETE
7,0.955119826,17:55.3,18:55.7,0 days 00:01:00.314334,0.7,9,fpgm,,1,group,FALSE,COMPLETE
54,0.955119826,18:41.6,19:40.2,0 days 00:00:58.581483,0.8,9,fpgm,,1,group,FALSE,COMPLETE
69,0.955119826,37:15.8,38:27.2,0 days 00:01:11.429546,0.3,8,fpgm,batch,2,bnscale,FALSE,COMPLETE
76,0.955119826,45:52.9,46:55.1,0 days 00:01:02.142604,0.6,9,fpgm,,1,group,FALSE,COMPLETE
88,0.955119826,58:06.2,59:07.7,0 days 00:01:01.504048,0.6,9,group,,1,group,FALSE,COMPLETE
34,0.954901961,56:06.3,57:04.8,0 days 00:00:58.562648,0.8,9,fpgm,,1,group,FALSE,COMPLETE
35,0.954901961,57:04.9,58:02.1,0 days 00:00:57.265631,0.6,9,fpgm,,1,group,FALSE,COMPLETE
40,0.954901961,02:06.4,03:14.3,0 days 00:01:07.905125,0.3,8,fpgm,,2,base,FALSE,COMPLETE
58,0.954684096,24:28.5,25:25.4,0 days 00:00:56.911778,0.6,9,fpgm,,1,group,FALSE,COMPLETE
64,0.954684096,32:08.6,33:05.4,0 days 00:00:56.794735,0.7,9,fpgm,,1,group,FALSE,COMPLETE
30,0.954466231,50:18.4,51:27.0,0 days 00:01:08.530070,0.2,8,fpgm,,2,bnscale,FALSE,COMPLETE
65,0.954466231,33:05.4,34:05.6,0 days 00:01:00.214938,0.6,9,fpgm,,1,group,FALSE,COMPLETE
44,0.954248366,06:19.1,07:17.4,0 days 00:00:58.340613,0.8,9,fpgm,,1,group,FALSE,COMPLETE
46,0.954248366,08:16.4,09:17.0,0 days 00:01:00.519979,0.7,9,fpgm,,1,group,FALSE,COMPLETE
23,0.954030501,41:19.3,42:33.3,0 days 00:01:13.966764,0.4,8,fpgm,,2,bnscale,FALSE,COMPLETE
45,0.954030501,07:17.4,08:16.4,0 days 00:00:58.982621,0.8,9,fpgm,,1,group,FALSE,COMPLETE
79,0.954030501,48:59.6,50:01.5,0 days 00:01:01.955005,0.6,9,fpgm,,1,group,FALSE,COMPLETE
84,0.954030501,53:59.1,55:00.9,0 days 00:01:01.797015,0.6,9,group,,1,group,FALSE,COMPLETE
72,0.953812636,41:08.1,42:22.0,0 days 00:01:13.922241,0.4,8,fpgm,batch,2,bnscale,FALSE,COMPLETE
98,0.953594771,12:19.9,13:45.5,0 days 00:01:25.522073,0.4,9,group,,2,group,FALSE,COMPLETE
17,0.953594771,33:22.4,34:51.5,0 days 00:01:29.123464,0.3,8,fpgm,,3,bnscale,FALSE,COMPLETE
42,0.953376906,04:15.4,05:20.5,0 days 00:01:05.111711,0.3,7,group,,2,bnscale,FALSE,COMPLETE
61,0.953376906,27:33.8,28:47.0,0 days 00:01:13.251591,0.5,8,fpgm,,2,bnscale,FALSE,COMPLETE
73,0.953376906,42:22.0,43:52.8,0 days 00:01:30.796259,0.2,8,fpgm,batch,3,bnscale,TRUE,COMPLETE
24,0.953159041,42:33.3,43:46.6,0 days 00:01:13.272039,0.3,8,fpgm,,2,bnscale,FALSE,COMPLETE
38,0.953159041,00:10.3,01:06.8,0 days 00:00:56.472551,0.1,7,fpgm,batch,1,group,FALSE,COMPLETE
83,0.953159041,52:58.2,53:59.1,0 days 00:01:00.880710,0.5,9,group,,1,base,FALSE,COMPLETE
101,0.953159041,16:33.9,17:56.0,0 days 00:01:22.022019,0.5,9,group,,2,group,FALSE,COMPLETE
21,0.952941176,38:40.9,39:50.2,0 days 00:01:09.373646,0.5,8,fpgm,,2,base,FALSE,COMPLETE
