number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_power,params_imp_type,params_norm,params_num_layers,params_prune_type,params_residual,state
16,0.967391304,57:06.0,21:12.7,0 days 00:24:06.698506,0.4,6,group,layer,1,bnscale,TRUE,COMPLETE
61,0.967391304,36:05.0,00:34.3,0 days 00:24:29.216958,0,7,fpgm,layer,1,group,TRUE,COMPLETE
65,0.967391304,14:04.2,38:33.1,0 days 00:24:28.912650,0,7,fpgm,layer,1,group,TRUE,COMPLETE
74,0.967391304,56:53.0,21:22.0,0 days 00:24:29.021460,0,7,fpgm,layer,1,group,TRUE,COMPLETE
75,0.967391304,21:22.0,45:52.7,0 days 00:24:30.692568,0.1,7,fpgm,layer,1,group,TRUE,COMPLETE
78,0.967391304,34:53.7,59:22.9,0 days 00:24:29.173859,0.1,7,fpgm,layer,1,group,TRUE,COMPLETE
82,0.967391304,15:24.6,39:54.1,0 days 00:24:29.490320,0.1,7,fpgm,layer,1,group,TRUE,COMPLETE
94,0.967391304,11:15.0,35:46.1,0 days 00:24:31.028680,0,7,fpgm,layer,1,group,TRUE,COMPLETE
45,0.967342995,58:54.7,23:02.6,0 days 00:24:07.874440,0.4,6,group,layer,1,group,TRUE,COMPLETE
67,0.967342995,02:39.9,27:09.4,0 days 00:24:29.509696,0.1,7,fpgm,layer,1,group,TRUE,COMPLETE
76,0.967342995,45:52.7,10:23.1,0 days 00:24:30.335635,0.1,7,fpgm,layer,1,group,TRUE,COMPLETE
77,0.967342995,10:23.1,34:53.7,0 days 00:24:30.634507,0.1,7,fpgm,layer,1,group,TRUE,COMPLETE
80,0.967342995,25:14.1,49:44.8,0 days 00:24:30.617772,0.1,7,fpgm,layer,1,group,TRUE,COMPLETE
85,0.967342995,28:52.9,53:23.4,0 days 00:24:30.494265,0.1,7,fpgm,layer,1,group,TRUE,COMPLETE
87,0.967342995,17:52.9,42:23.3,0 days 00:24:30.465535,0.1,7,fpgm,layer,1,group,TRUE,COMPLETE
92,0.967342995,22:11.6,46:43.2,0 days 00:24:31.542003,0.1,7,fpgm,layer,1,group,TRUE,COMPLETE
93,0.967342995,46:43.3,11:15.0,0 days 00:24:31.752356,0.1,7,fpgm,layer,1,group,TRUE,COMPLETE
100,0.967342995,41:43.0,06:14.7,0 days 00:24:31.772789,0.1,7,fpgm,layer,1,group,TRUE,COMPLETE
