number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_power,params_imp_type,params_norm,params_num_layers,params_prune_type,params_residual,state
108,0.792333333,36:14.0,37:32.7,0 days 00:01:18.649101,0.8,6,lamp,layer,3,base,FALSE,COMPLETE
121,0.792,54:18.0,55:38.1,0 days 00:01:20.065513,0.8,6,group,layer,3,bnscale,FALSE,COMPLETE
112,0.789333333,42:21.9,43:42.4,0 days 00:01:20.468406,0.8,6,group,layer,3,base,FALSE,COMPLETE
114,0.787666667,45:03.1,46:22.9,0 days 00:01:19.824510,0.8,6,group,layer,3,base,FALSE,COMPLETE
122,0.787333333,55:38.1,56:56.6,0 days 00:01:18.491096,0.8,6,group,layer,3,bnscale,FALSE,COMPLETE
125,0.785333333,59:33.3,00:53.7,0 days 00:01:20.413095,0.8,6,group,layer,3,bnscale,FALSE,COMPLETE
128,0.784666667,03:32.8,04:53.3,0 days 00:01:20.423355,0.8,6,group,layer,3,bnscale,FALSE,COMPLETE
117,0.784,49:01.3,50:21.3,0 days 00:01:19.970279,0.8,6,group,layer,3,bnscale,FALSE,COMPLETE
123,0.783,56:56.6,58:16.1,0 days 00:01:19.485045,0.8,6,group,layer,3,bnscale,FALSE,COMPLETE
120,0.782666667,52:59.0,54:18.0,0 days 00:01:18.996906,0.8,6,group,layer,3,bnscale,FALSE,COMPLETE
66,0.782333333,31:33.1,33:04.9,0 days 00:01:31.803374,0.8,6,lamp,layer,3,base,FALSE,COMPLETE
116,0.782333333,47:42.1,49:01.3,0 days 00:01:19.144287,0.8,6,group,layer,3,base,FALSE,COMPLETE
127,0.781666667,02:14.2,03:32.8,0 days 00:01:18.655272,0.8,6,group,layer,3,bnscale,FALSE,COMPLETE
109,0.781,37:32.7,38:48.8,0 days 00:01:16.116359,0.8,6,group,layer,3,base,FALSE,COMPLETE
113,0.780666667,43:42.4,45:03.1,0 days 00:01:20.644076,0.8,6,group,layer,3,base,FALSE,COMPLETE
126,0.78,00:53.7,02:14.2,0 days 00:01:20.425013,0.8,6,group,layer,3,bnscale,FALSE,COMPLETE
119,0.779666667,51:38.3,52:59.0,0 days 00:01:20.639570,0.8,6,group,layer,3,bnscale,FALSE,COMPLETE
115,0.778666667,46:22.9,47:42.1,0 days 00:01:19.154416,0.8,6,group,layer,3,base,FALSE,COMPLETE
124,0.776,58:16.1,59:33.3,0 days 00:01:17.160140,0.8,6,group,layer,3,bnscale,FALSE,COMPLETE
79,0.773333333,51:27.1,53:00.9,0 days 00:01:33.860273,0.7,6,lamp,layer,3,base,FALSE,COMPLETE
90,0.772666667,08:23.2,10:01.8,0 days 00:01:38.529141,0.6,6,lamp,layer,4,base,FALSE,COMPLETE
95,0.771666667,16:34.3,18:11.0,0 days 00:01:36.742917,0.6,6,lamp,layer,4,base,FALSE,COMPLETE
105,0.771,32:16.6,33:37.2,0 days 00:01:20.630684,0.7,6,lamp,layer,3,base,FALSE,COMPLETE
65,0.769666667,29:59.5,31:33.1,0 days 00:01:33.553200,0.8,6,fpgm,layer,3,base,FALSE,COMPLETE
73,0.769666667,42:25.0,43:58.1,0 days 00:01:33.093731,0.7,6,lamp,layer,3,base,FALSE,COMPLETE
104,0.769,30:56.5,32:16.6,0 days 00:01:20.043619,0.7,6,lamp,layer,3,base,FALSE,COMPLETE
86,0.766,02:42.0,04:13.7,0 days 00:01:31.644052,0.7,6,lamp,layer,3,base,FALSE,COMPLETE
75,0.765666667,45:30.8,47:04.9,0 days 00:01:34.151035,0.7,6,lamp,layer,3,base,FALSE,COMPLETE
103,0.765666667,29:36.3,30:56.5,0 days 00:01:20.206584,0.7,6,lamp,layer,3,base,FALSE,COMPLETE
94,0.764333333,15:13.6,16:34.3,0 days 00:01:20.683445,0.7,6,lamp,layer,3,base,FALSE,COMPLETE
77,0.764,48:39.3,50:12.1,0 days 00:01:32.704450,0.7,6,lamp,layer,3,base,FALSE,COMPLETE
83,0.763333333,58:01.6,59:36.3,0 days 00:01:34.730795,0.7,6,lamp,layer,3,base,FALSE,COMPLETE
84,0.763333333,59:36.3,01:09.1,0 days 00:01:32.790125,0.7,6,lamp,layer,3,base,FALSE,COMPLETE
