number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_power,params_imp_type,params_norm,params_num_layers,params_prune_type,params_residual,state
98,0.791666667,34:32.6,35:09.7,0 days 00:00:37.161061,0,8,group,layer,2,group,FALSE,COMPLETE
60,0.787666667,04:08.8,04:53.6,0 days 00:00:44.821389,0.1,6,group,layer,3,base,TRUE,COMPLETE
33,0.786666667,37:03.3,37:56.5,0 days 00:00:53.221782,0.3,6,fpgm,layer,4,bnscale,TRUE,COMPLETE
31,0.783333333,35:00.2,35:55.1,0 days 00:00:54.940489,0.3,6,fpgm,layer,4,bnscale,TRUE,COMPLETE
80,0.781666667,19:31.6,20:21.4,0 days 00:00:49.740317,0,8,group,layer,3,group,FALSE,COMPLETE
81,0.781666667,20:21.4,21:10.9,0 days 00:00:49.568749,0,8,group,layer,3,group,FALSE,COMPLETE
82,0.781666667,21:11.0,22:00.5,0 days 00:00:49.531260,0,8,group,layer,3,group,FALSE,COMPLETE
83,0.781666667,22:00.5,22:50.1,0 days 00:00:49.588389,0,8,group,layer,3,group,FALSE,COMPLETE
84,0.781666667,22:50.1,23:39.9,0 days 00:00:49.739286,0,8,group,layer,3,group,FALSE,COMPLETE
85,0.781666667,23:39.9,24:29.5,0 days 00:00:49.616911,0,8,group,layer,3,group,FALSE,COMPLETE
86,0.781666667,24:29.5,25:19.2,0 days 00:00:49.638181,0,8,group,layer,3,group,FALSE,COMPLETE
88,0.781666667,26:03.5,26:53.1,0 days 00:00:49.569698,0,8,group,layer,3,group,FALSE,COMPLETE
89,0.781666667,26:53.1,27:42.9,0 days 00:00:49.732656,0,8,group,layer,3,group,FALSE,COMPLETE
90,0.781666667,27:42.9,28:32.3,0 days 00:00:49.424695,0,8,group,layer,3,group,FALSE,COMPLETE
91,0.781666667,28:32.3,29:22.1,0 days 00:00:49.757034,0,8,group,layer,3,group,FALSE,COMPLETE
92,0.781666667,29:22.1,30:11.8,0 days 00:00:49.703037,0,8,group,layer,3,group,FALSE,COMPLETE
93,0.781666667,30:11.8,31:01.5,0 days 00:00:49.710536,0,8,group,layer,3,group,FALSE,COMPLETE
94,0.781666667,31:01.6,31:51.4,0 days 00:00:49.840937,0,8,group,layer,3,group,FALSE,COMPLETE
