number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_power,params_imp_type,params_norm,params_num_layers,params_prune_type,params_residual,state
76,0.805199247,31:10.0,32:20.5,0 days 00:01:10.538071,0.6,8,fpgm,layer,2,group,TRUE,COMPLETE
43,0.803774015,48:18.3,49:31.6,0 days 00:01:13.331753,0.6,8,fpgm,layer,2,base,TRUE,COMPLETE
64,0.803717006,16:30.1,17:42.2,0 days 00:01:12.111197,0.6,8,fpgm,layer,2,base,TRUE,COMPLETE
90,0.803602987,48:21.6,49:27.8,0 days 00:01:06.240525,0.6,8,fpgm,layer,2,group,TRUE,COMPLETE
95,0.803260932,53:55.3,55:01.6,0 days 00:01:06.268869,0.6,8,fpgm,layer,2,base,TRUE,COMPLETE
84,0.802633829,41:18.8,42:31.6,0 days 00:01:12.821311,0.6,8,fpgm,layer,2,group,TRUE,COMPLETE
62,0.80257682,14:04.9,15:17.4,0 days 00:01:12.485007,0.6,8,fpgm,layer,2,base,TRUE,COMPLETE
69,0.802120746,22:58.9,24:12.3,0 days 00:01:13.461425,0.6,8,fpgm,layer,2,base,TRUE,COMPLETE
54,0.802063736,03:58.7,05:12.1,0 days 00:01:13.385834,0.6,8,fpgm,layer,2,base,TRUE,COMPLETE
63,0.802006727,15:17.4,16:30.1,0 days 00:01:12.697149,0.6,8,fpgm,layer,2,base,TRUE,COMPLETE
53,0.80177869,02:45.3,03:58.7,0 days 00:01:13.368121,0.6,8,fpgm,layer,2,base,TRUE,COMPLETE
83,0.801550653,40:06.8,41:18.8,0 days 00:01:11.930811,0.6,8,fpgm,layer,2,base,TRUE,COMPLETE
72,0.801265606,26:17.7,27:29.6,0 days 00:01:11.879197,0.6,8,fpgm,layer,2,base,TRUE,COMPLETE
96,0.801094578,55:01.6,56:09.3,0 days 00:01:07.681353,0.5,8,fpgm,layer,2,base,TRUE,COMPLETE
41,0.801037569,45:55.7,47:04.9,0 days 00:01:09.217746,0.5,8,fpgm,layer,2,base,TRUE,COMPLETE
61,0.800923551,12:52.4,14:04.9,0 days 00:01:12.519530,0.6,8,fpgm,layer,2,base,TRUE,COMPLETE
73,0.800467476,27:29.6,28:43.1,0 days 00:01:13.481378,0.6,8,fpgm,layer,2,base,TRUE,COMPLETE
71,0.800353458,25:04.2,26:17.7,0 days 00:01:13.453608,0.6,8,fpgm,layer,2,base,TRUE,COMPLETE
91,0.800296448,49:27.8,50:34.0,0 days 00:01:06.151913,0.6,8,fpgm,layer,2,group,TRUE,COMPLETE
92,0.800011402,50:34.0,51:40.0,0 days 00:01:05.958988,0.6,8,fpgm,layer,2,group,TRUE,COMPLETE
94,0.799783365,52:48.9,53:55.3,0 days 00:01:06.408238,0.5,8,fpgm,layer,2,group,TRUE,COMPLETE
47,0.799441309,54:12.6,55:26.0,0 days 00:01:13.419782,0.5,8,fpgm,layer,2,base,TRUE,COMPLETE
55,0.79932729,05:12.1,06:24.7,0 days 00:01:12.554515,0.6,8,fpgm,layer,2,base,TRUE,COMPLETE
81,0.79932729,37:42.7,38:54.9,0 days 00:01:12.149249,0.6,8,fpgm,layer,2,base,TRUE,COMPLETE
82,0.79932729,38:54.9,40:06.8,0 days 00:01:11.908010,0.6,8,fpgm,layer,2,base,TRUE,COMPLETE
42,0.799099253,47:04.9,48:18.3,0 days 00:01:13.372834,0.5,8,fpgm,layer,2,base,TRUE,COMPLETE
52,0.798928225,01:31.9,02:45.3,0 days 00:01:13.457072,0.5,8,fpgm,layer,2,base,TRUE,COMPLETE
36,0.798643179,39:35.4,40:38.4,0 days 00:01:03.052546,0.5,7,lamp,layer,2,base,TRUE,COMPLETE
93,0.798415142,51:40.0,52:48.9,0 days 00:01:08.901251,0.6,8,fpgm,layer,2,group,TRUE,COMPLETE
51,0.798358132,00:18.4,01:31.9,0 days 00:01:13.455814,0.5,8,fpgm,layer,2,base,TRUE,COMPLETE
70,0.798187104,24:12.4,25:04.2,0 days 00:00:51.835867,0.7,8,fpgm,layer,1,base,TRUE,COMPLETE
77,0.797959067,32:20.5,33:09.8,0 days 00:00:49.264616,0.7,8,fpgm,layer,1,group,TRUE,COMPLETE
32,0.797845049,34:51.0,35:57.1,0 days 00:01:06.121205,0.5,8,group,layer,2,bnscale,FALSE,COMPLETE
26,0.79773103,27:48.5,29:16.2,0 days 00:01:27.764003,0.5,9,group,layer,2,bnscale,FALSE,COMPLETE
57,0.797331965,08:00.3,08:51.0,0 days 00:00:50.726517,0.7,8,fpgm,layer,1,group,TRUE,COMPLETE
74,0.797217947,28:43.1,29:56.4,0 days 00:01:13.304866,0.6,8,fpgm,layer,2,base,TRUE,COMPLETE
18,0.797103928,18:28.6,19:18.3,0 days 00:00:49.661738,0.3,9,group,layer,1,bnscale,FALSE,COMPLETE
27,0.7969329,29:16.3,30:23.7,0 days 00:01:07.464334,0.5,8,group,layer,2,bnscale,FALSE,COMPLETE
89,0.796704863,47:15.6,48:21.6,0 days 00:01:05.967629,0.4,8,fpgm,layer,2,group,TRUE,COMPLETE
21,0.796647854,23:32.5,24:22.9,0 days 00:00:50.340116,0.3,9,group,layer,1,bnscale,FALSE,COMPLETE
86,0.796248789,43:42.0,44:32.4,0 days 00:00:50.407160,0.5,8,fpgm,layer,1,group,TRUE,COMPLETE
31,0.796191779,33:59.9,34:51.0,0 days 00:00:51.135669,0.4,9,group,layer,1,bnscale,FALSE,COMPLETE
22,0.79613477,24:22.9,25:14.6,0 days 00:00:51.685583,0.3,9,group,layer,1,bnscale,FALSE,COMPLETE
33,0.796077761,35:57.2,37:05.0,0 days 00:01:07.853555,0.5,8,group,layer,2,bnscale,FALSE,COMPLETE
12,0.795279631,10:29.3,11:55.7,0 days 00:01:26.340054,0.3,8,group,layer,3,bnscale,FALSE,COMPLETE
11,0.795222621,09:02.4,10:29.3,0 days 00:01:26.876689,0.3,9,group,layer,2,bnscale,FALSE,COMPLETE
24,0.7944815,26:05.9,26:57.3,0 days 00:00:51.357778,0.4,9,group,layer,1,bnscale,FALSE,COMPLETE
25,0.794424491,26:57.3,27:48.5,0 days 00:00:51.143729,0.4,9,group,layer,1,bnscale,FALSE,COMPLETE
30,0.794025426,32:31.5,33:59.8,0 days 00:01:28.311282,0.5,8,lamp,layer,3,base,FALSE,COMPLETE
23,0.793797389,25:14.6,26:05.9,0 days 00:00:51.336845,0.1,9,group,layer,1,bnscale,FALSE,COMPLETE
8,0.793056268,05:20.8,06:46.8,0 days 00:01:25.916825,0.5,8,group,layer,3,group,TRUE,COMPLETE
10,0.79294225,07:35.9,09:02.4,0 days 00:01:26.538653,0.3,9,group,layer,2,bnscale,FALSE,COMPLETE
67,0.792543185,20:08.5,21:22.0,0 days 00:01:13.485387,0.7,8,fpgm,layer,2,base,TRUE,COMPLETE
13,0.791973092,11:55.7,12:45.4,0 days 00:00:49.741123,0.2,9,group,layer,1,bnscale,FALSE,COMPLETE
34,0.791859073,37:05.0,38:33.0,0 days 00:01:27.978934,0.6,8,group,layer,3,bnscale,FALSE,COMPLETE
98,0.791517017,57:18.1,58:05.6,0 days 00:00:47.570106,0.6,8,lamp,,1,base,TRUE,COMPLETE
66,0.791060943,19:18.3,20:08.5,0 days 00:00:50.160343,0.6,8,fpgm,,1,group,TRUE,COMPLETE
