number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
19,0.907306434,0.934932752,24:36.8,27:24.2,0 days 00:02:47.407193,fpgm,TRUE,,0.4,0.000228088,0.995,,,FALSE,0.15,,0.000297212,0.000252501,0.000123414,TRUE,0.4,0.000235424,TRUE,0.7,1,bnscale,TRUE,0.05,9.24E-05,0,COMPLETE
56,0.907185266,0.932509391,57:09.2,00:16.4,0 days 00:03:07.230905,fpgm,TRUE,,0.4,0.000228088,0.995,,,FALSE,0.15,,0.000297212,0.000252501,0.000123414,TRUE,0.45,0.000235424,TRUE,0.7,1,bnscale,TRUE,0.3,9.24E-05,1,COMPLETE
87,0.902823216,0.932145886,14:23.3,16:55.1,0 days 00:02:31.797583,fpgm,TRUE,,0.4,0.000228088,0.995,,,TRUE,0.15,0.1,0.000297212,0.000252501,0.000123414,TRUE,0.45,0.000235424,TRUE,0.8,1,bnscale,TRUE,0.15,9.24E-05,1,COMPLETE
81,0.902096207,0.933599903,59:06.4,02:03.6,0 days 00:02:57.187649,group,TRUE,,0.4,0.003034885,0.99,,,TRUE,0.15,0.15,2.50E-05,0.000362617,0.000973826,TRUE,0.35,0.319229407,TRUE,0.7,2,bnscale,TRUE,0.15,7.59E-05,1,COMPLETE
53,0.900278687,0.928026172,48:45.4,51:33.7,0 days 00:02:48.302721,fpgm,TRUE,0.75,0.3,0.001586409,0.8,layer,TRUE,FALSE,0.2,,6.15E-05,0.000206092,0.001239471,FALSE,,0.894016702,FALSE,0.8,1,base,TRUE,0.5,0.000174333,1,COMPLETE
86,0.897734157,0.933236399,11:33.1,14:23.2,0 days 00:02:50.191856,fpgm,TRUE,,0.4,0.001077563,0.995,,,TRUE,0.1,0.3,0.000297212,0.001329544,0.000123414,FALSE,,0.000235424,TRUE,0.7,1,bnscale,TRUE,0.05,0.000168648,1,COMPLETE
59,0.893614443,0.929843693,05:48.5,08:24.0,0 days 00:02:35.543498,lamp,FALSE,0.45,0.5,0.000243713,0.995,batch,FALSE,FALSE,0.25,,0.000768259,7.42E-05,5.13E-05,TRUE,0.35,9.91E-05,FALSE,0.7,1,base,FALSE,,0.000588176,1,COMPLETE
58,0.891069914,0.927662668,03:06.6,05:48.4,0 days 00:02:41.873917,fpgm,FALSE,,0.2,0.00097283,0.8,,,TRUE,0.3,0.2,0.000118946,0.000244191,0.006234407,FALSE,,0.007496382,TRUE,0.8,1,group,FALSE,,0.000546692,1,COMPLETE
38,0.887919544,0.931782382,11:05.3,13:28.0,0 days 00:02:22.656995,lamp,FALSE,0.2,0.4,0.001077563,0.99,batch,TRUE,TRUE,0.1,0,0.002614574,0.001329544,1.99E-05,FALSE,,0.55777018,FALSE,0.8,1,bnscale,TRUE,0.4,0.000168648,0,COMPLETE
35,0.88755604,0.894220284,03:12.2,05:56.3,0 days 00:02:44.115293,lamp,FALSE,,0.4,0.000482002,0.9,,,FALSE,0.25,,3.78E-05,3.75E-05,3.43E-05,TRUE,0.35,0.00014926,TRUE,0.8,3,base,TRUE,0.4,0.000229316,0,COMPLETE
83,0.885617351,0.928874349,04:34.8,06:41.7,0 days 00:02:06.838835,fpgm,FALSE,0.3,0.7,0.000228088,0.995,batch,TRUE,TRUE,0.15,0.45,0.000594623,0.000701189,4.09E-05,TRUE,0.15,1.01E-05,FALSE,0.9,2,base,TRUE,0.15,9.24E-05,1,COMPLETE
36,0.885132679,0.926329819,05:56.3,08:14.0,0 days 00:02:17.675103,group,TRUE,,0.4,0.000285483,0.99,,,TRUE,0,0,2.50E-05,0.000362617,0.000973826,TRUE,0.05,0.000347343,TRUE,0.9,2,bnscale,TRUE,0,7.59E-05,0,COMPLETE
66,0.881255301,0.933115231,22:25.6,24:56.9,0 days 00:02:31.387272,fpgm,FALSE,,0.3,0.00027027,0.995,,,TRUE,0.15,0.45,0.00112628,0.000680642,4.11E-05,FALSE,,0.000312154,TRUE,0.8,1,group,TRUE,0.5,1.75E-05,1,COMPLETE
76,0.879680116,0.926814492,47:32.9,49:35.5,0 days 00:02:02.677104,fpgm,FALSE,0.4,0.7,0.00013522,0.8,layer,FALSE,TRUE,0.15,0.1,0.001472642,0.009411917,0.00161013,FALSE,,4.13E-05,FALSE,0.9,2,group,FALSE,,7.41E-05,1,COMPLETE
95,0.877983763,0.906821762,32:52.8,35:23.4,0 days 00:02:30.605339,fpgm,FALSE,0.25,0.6,0.00027027,0.8,layer,FALSE,TRUE,0.15,0.35,0.00112628,3.45E-05,4.11E-05,FALSE,,0.000312154,FALSE,0.8,3,group,FALSE,,0.000546692,1,COMPLETE
78,0.872531201,0.892887435,51:51.0,54:34.8,0 days 00:02:43.772611,lamp,FALSE,,0.8,0.003034885,0.9,,,FALSE,0.15,,0.000126836,0.000625108,0.002053424,FALSE,,0.073670945,TRUE,0.8,3,base,FALSE,,0.001168427,1,COMPLETE
18,0.867078638,0.926208651,22:26.6,24:36.7,0 days 00:02:10.157746,fpgm,TRUE,0.7,0.3,0.001586409,0.8,batch,FALSE,FALSE,0.2,,5.09E-05,0.00475157,0.000128417,TRUE,0.5,0.002609042,FALSE,0.8,1,group,FALSE,,0.000174333,0,COMPLETE
79,0.865866957,0.84757058,54:34.8,56:51.7,0 days 00:02:16.861449,group,FALSE,0.15,0.8,9.43E-05,0.9,layer,TRUE,TRUE,0.2,0.25,0.00112628,3.45E-05,4.11E-05,FALSE,,0.000312154,FALSE,0.8,1,group,FALSE,,0.01099548,1,COMPLETE
12,0.865139949,0.935780928,06:46.2,09:52.6,0 days 00:03:06.477428,lamp,TRUE,,0.8,0.003034885,0.9,,,FALSE,0.15,,0.000364556,0.000201842,0.000118197,FALSE,,0.319229407,TRUE,0.7,3,group,TRUE,0.05,2.91E-05,0,COMPLETE
51,0.86198958,0.594692839,43:38.9,45:58.4,0 days 00:02:19.473548,fpgm,FALSE,0.35,0.8,9.43E-05,0.8,layer,FALSE,FALSE,0,,0.00199485,1.73E-05,0.005129173,TRUE,0.25,0.017161163,FALSE,0.9,1,base,TRUE,0.45,0.027258558,1,COMPLETE
