number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0.9417484551072338,0.9395674300254453,2025-05-07 03:30:16.643950,2025-05-07 03:32:39.522483,0 days 00:02:22.878533,lamp,False,,0.6,6.50569687196347e-05,0.9,,,True,0.0,0.4,0.0523480425663031,0.0005790686881517194,8.518458890025467e-05,False,,1.1632767931047873e-05,True,0.8999999999999999,2,group,True,0.4,0.0004157620536305369,0,COMPLETE
1,0.9327517266448564,0.9163031624863686,2025-05-07 03:32:39.545544,2025-05-07 03:35:27.900186,0 days 00:02:48.354642,lamp,False,,0.7000000000000001,0.0006881610859957616,0.99,,,True,0.15000000000000002,0.1,0.06147362698576337,0.0007721997348787808,2.8753704763750675e-05,False,,0.5318314393900692,True,0.7,2,bnscale,True,0.30000000000000004,0.08552673329898525,0,COMPLETE
2,0.9474736459469284,0.6452199200290804,2025-05-07 03:35:27.921996,2025-05-07 03:38:06.454169,0 days 00:02:38.532173,lamp,True,,0.9,0.0020362327015917264,0.8,,,True,0.1,0.35000000000000003,8.809402524290832e-05,0.005231208962424493,0.005170306914193728,False,,0.0003433856895856245,True,0.7,1,bnscale,False,,0.04975255060933723,0,COMPLETE
3,0.9091239549254816,0.8871319520174481,2025-05-07 03:38:06.477453,2025-05-07 03:40:58.517322,0 days 00:02:52.039869,fpgm,False,0.55,0.2,0.0075543871772109465,0.99,batch,True,True,0.05,0.25,1.2170988242476711e-05,1.9652650867831745e-05,0.00029267898564308185,False,,0.0001766559352454535,False,0.7,1,base,True,0.30000000000000004,0.4061219205044629,0,COMPLETE
4,0.9486550345328971,0.9426572155579788,2025-05-07 03:40:58.540092,2025-05-07 03:43:24.744796,0 days 00:02:26.204704,fpgm,False,0.7000000000000001,0.30000000000000004,2.668052945430874e-05,0.8,layer,False,False,0.15000000000000002,,0.023231680693106927,0.0025040603862966446,1.1286677030419244e-05,False,,0.34572424791362055,False,0.8999999999999999,3,base,False,,0.0003302814702336559,0,COMPLETE
5,0.952835332606325,0.9414758269720102,2025-05-07 03:43:24.768114,2025-05-07 03:45:49.777165,0 days 00:02:25.009051,lamp,True,,0.6,3.9103593268371775e-05,0.9,,,True,0.25,0.35000000000000003,0.00533031029641211,5.640558728183893e-05,3.0256382075780217e-05,False,,0.001686865318044768,True,0.7999999999999999,1,group,True,0.15000000000000002,0.021799063316397256,0,COMPLETE
6,0.8904943656852055,0.843784078516903,2025-05-07 03:45:49.798351,2025-05-07 03:48:34.443801,0 days 00:02:44.645450,group,True,,0.6,6.955580874113162e-05,0.995,,,True,0.15000000000000002,0.2,0.8339483498508722,0.0028741809401496878,0.0017827396637082385,False,,0.0215316246802468,True,0.7999999999999999,3,bnscale,True,0.15000000000000002,0.1791730610658639,0,COMPLETE
7,0.9417484551072337,0.9300254452926208,2025-05-07 03:48:34.465129,2025-05-07 03:51:06.942353,0 days 00:02:32.477224,fpgm,False,,0.7000000000000001,0.007469303005746991,0.995,,,False,0.15000000000000002,,0.0014019938206909584,2.2879895950918598e-05,0.00023806283551112566,False,,0.0037005747720516824,True,0.8999999999999999,3,group,True,0.1,0.021190337651985077,0,COMPLETE
8,0.9484732824427481,0.940567066521265,2025-05-07 03:51:06.964701,2025-05-07 03:53:46.235580,0 days 00:02:39.270879,fpgm,True,0.45000000000000007,0.4,0.0017547595680488814,0.99,batch,True,False,0.05,,0.015708191598901324,2.129603347272809e-05,0.000325607394703577,True,0.35000000000000003,0.05271696034937954,False,0.7999999999999999,2,group,False,,3.6920773301670025e-05,0,COMPLETE
9,0.24818247909850963,0.9430207197382771,2025-05-07 03:53:46.257005,2025-05-07 03:56:35.395331,0 days 00:02:49.138326,lamp,False,0.7000000000000001,0.30000000000000004,0.0017535956422833677,0.9,,True,True,0.2,0.35000000000000003,0.08983265129383361,0.007311746224592852,0.0008591042619647957,False,,0.00010451317865363885,False,0.7,1,base,False,,0.000495733138355239,0,COMPLETE
10,0.900945110868775,0.9456561250454381,2025-05-07 03:56:35.418408,2025-05-07 03:59:07.099058,0 days 00:02:31.680650,group,False,,0.8,0.004326172797366964,0.8,,,True,0.25,0.45,0.2361412834140158,0.0034638789194280746,7.379243499166124e-05,False,,0.0009008047955630662,True,0.7999999999999999,2,bnscale,False,,1.796000212070025e-05,0,COMPLETE
11,0.9543802253725918,0.9422937113776809,2025-05-07 03:59:07.121806,2025-05-07 04:02:08.777430,0 days 00:03:01.655624,lamp,False,0.1,0.2,0.0004136685287804947,0.99,,True,False,0.25,,1.061763532103298e-05,5.939878174659865e-05,0.0003368820901597603,False,,0.0011182408594745822,False,0.7,3,base,True,0.25,1.1605599347941741e-05,0,COMPLETE
12,0.5155398037077427,0.9183933115230826,2025-05-07 04:02:08.803887,2025-05-07 04:05:08.926860,0 days 00:03:00.122973,fpgm,False,0.8,0.1,5.9014511905783104e-05,0.9,,True,False,0.2,,0.0003613111906074476,0.0010430683798563457,0.00010395805268037536,True,0.30000000000000004,1.0216542719559137e-05,False,0.7,3,bnscale,True,0.0,0.08369554398818924,0,COMPLETE
13,0.5110868774990913,0.9422937113776809,2025-05-07 04:05:08.950031,2025-05-07 04:07:51.550437,0 days 00:02:42.600406,fpgm,True,,0.8,0.0020246205276636653,0.995,,,False,0.05,,0.7574188886339053,6.304730865571441e-05,0.0001161209435541452,False,,0.00011390514148491303,True,0.7,1,group,True,0.25,0.007223857989297222,0,COMPLETE
14,0.8944020356234098,0.9428389676481279,2025-05-07 04:07:51.572246,2025-05-07 04:10:09.239154,0 days 00:02:17.666908,group,False,0.2,0.6,0.0023571273886078426,0.9,layer,False,True,0.05,0.25,0.11233528048183912,0.0010877029127586955,0.0032579901069666496,False,,0.00031742729578524244,False,0.7999999999999999,1,base,False,,2.2147025521869703e-05,0,COMPLETE
15,0.4502908033442385,0.9446564885496184,2025-05-07 04:10:09.264110,2025-05-07 04:12:34.211229,0 days 00:02:24.947119,fpgm,True,0.4,0.9,1.4478953548579492e-05,0.8,,False,False,0.1,,0.0003718007988615981,0.0005442697417696576,0.0003379899745840217,False,,4.652516005541682e-05,False,0.7999999999999999,3,bnscale,False,,8.756984826145542e-05,0,COMPLETE
16,0.8963104325699746,0.9449291166848419,2025-05-07 04:12:34.232905,2025-05-07 04:15:17.407920,0 days 00:02:43.175015,fpgm,False,,0.1,0.009421821292822803,0.9,,,True,0.2,0.30000000000000004,0.06945484987191826,0.0025560451306477785,0.002113070152341859,True,0.45,4.542960748550809e-05,True,0.7,1,bnscale,False,,2.9584508406594442e-05,0,COMPLETE
17,0.3857688113413304,0.9278444202108324,2025-05-07 04:15:17.430022,2025-05-07 04:17:45.022548,0 days 00:02:27.592526,group,False,0.65,0.5,2.7403047286914024e-05,0.8,,True,True,0.25,0.2,0.0003448133517242703,0.00024079198516801647,0.0003624020793268723,False,,0.000527703660400242,False,0.8999999999999999,1,base,True,0.0,0.0457564572294909,0,COMPLETE
18,0.9208469647400945,0.9417484551072337,2025-05-07 04:17:45.042962,2025-05-07 04:20:27.388921,0 days 00:02:42.345959,fpgm,False,,0.5,0.0003216026150938328,0.99,,,False,0.05,,0.0959201213071867,4.916068665830748e-05,0.007478188716572893,False,,6.297856613280895e-05,True,0.7,1,base,False,,0.013139435112809881,0,COMPLETE
19,0.9477462740821521,0.932660850599782,2025-05-07 04:20:27.409873,2025-05-07 04:23:04.512703,0 days 00:02:37.102830,lamp,False,,0.6,1.3314801019875387e-05,0.9,,,False,0.3,,0.0015062712611207242,1.907542207075142e-05,9.944866579551102e-05,False,,0.00024120528217625183,True,0.7999999999999999,3,group,False,,0.05794089874786731,0,COMPLETE
20,0.9506543075245365,0.9455652490003635,2025-05-07 04:23:04.536364,2025-05-07 04:25:28.360349,0 days 00:02:23.823985,group,False,0.30000000000000004,0.9,0.000376659791826702,0.8,layer,False,True,0.1,0.05,0.006618643502469511,0.005688432124062522,0.0004216217432396529,False,,0.00034177204091961585,False,0.7999999999999999,2,base,False,,6.900572300191299e-05,0,COMPLETE
21,0.720192657215558,0.9382951653944019,2025-05-07 04:25:28.383078,2025-05-07 04:27:49.809272,0 days 00:02:21.426194,lamp,False,,0.2,0.009529706525794747,0.9,,,True,0.1,0.0,0.023768502174250746,7.55571537029978e-05,7.014600807536167e-05,True,0.4,0.2258478473011271,True,0.8999999999999999,1,bnscale,False,,0.001405765234164792,0,COMPLETE
22,0.9515630679752817,0.9440203562340966,2025-05-07 04:27:49.831586,2025-05-07 04:30:41.100724,0 days 00:02:51.269138,fpgm,True,0.25,0.4,0.0015311712788364015,0.995,batch,True,True,0.05,0.1,0.025823165657464106,0.0004881920073898895,0.009347943933625811,True,0.0,0.00013069958298220867,False,0.7,1,base,True,0.2,0.0028738453292449346,0,COMPLETE
23,0.9585605234460196,0.9429298436932024,2025-05-07 04:30:41.122155,2025-05-07 04:33:23.128676,0 days 00:02:42.006521,lamp,False,0.7000000000000001,0.5,0.00013748456345768302,0.8,batch,True,True,0.15000000000000002,0.0,0.00011815952337386297,0.009992559508668043,0.00026655084344404063,True,0.25,0.015002861849513235,False,0.8999999999999999,3,group,True,0.35000000000000003,0.00010131925704801792,0,COMPLETE
