number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0.9669565217391304,0.9666183574879228,2025-05-06 22:37:04.021668,2025-05-06 22:39:43.467711,0 days 00:02:39.446043,group,False,,0.9,0.00030041743764555313,0.9,,,False,0.0,,0.00026561573178216066,0.0008185081654648367,0.000995018853008589,True,0.30000000000000004,0.00010296135006091166,True,0.8999999999999999,1,bnscale,False,,0.007875519147573777,0,COMPLETE
1,0.9331400966183575,0.9679227053140096,2025-05-06 22:39:43.493047,2025-05-06 22:42:19.236629,0 days 00:02:35.743582,lamp,False,,0.9,0.00023702130169394334,0.8,,,True,0.25,0.0,0.0668732607862931,0.006357870561047195,0.0004680879210709881,False,,0.5006457319856547,True,0.7999999999999999,1,group,False,,7.229462345376021e-05,0,COMPLETE
2,0.9431400966183575,0.9639613526570048,2025-05-06 22:42:19.259183,2025-05-06 22:44:57.264154,0 days 00:02:38.004971,fpgm,False,,0.9,0.005406094795314636,0.9,,,False,0.1,,0.02036526407563806,0.000524355638773028,8.463764502690421e-05,False,,0.18532111056745806,True,0.7999999999999999,1,bnscale,True,0.35000000000000003,0.014971076552418217,0,COMPLETE
3,0.9595652173913044,0.7365700483091788,2025-05-06 22:44:57.287426,2025-05-06 22:47:43.975495,0 days 00:02:46.688069,fpgm,True,0.30000000000000004,0.7000000000000001,0.0006170171441497852,0.99,layer,False,True,0.0,0.1,0.00146968879530772,0.0044207619730509875,1.869478576868048e-05,True,0.35000000000000003,0.0013726259190634017,False,0.8999999999999999,2,base,True,0.2,0.7035592644947679,0,COMPLETE
4,0.5373913043478261,0.46425120772946865,2025-05-06 22:47:43.998459,2025-05-06 22:50:27.636195,0 days 00:02:43.637736,fpgm,False,0.5,0.9,2.1957760467428802e-05,0.99,,False,True,0.0,0.15000000000000002,0.015769720956977828,2.9628923682974944e-05,0.003963177808943907,False,,0.04606345046618877,False,0.8999999999999999,2,base,False,,0.23194158497292186,0,COMPLETE
5,0.9618357487922706,0.9631400966183575,2025-05-06 22:50:27.659722,2025-05-06 22:53:55.164442,0 days 00:03:27.504720,fpgm,True,0.8,0.9,0.0023318012812695854,0.99,,True,True,0.05,0.30000000000000004,2.2186905140529305e-05,1.6692992520639347e-05,1.0644410542380148e-05,True,0.1,0.0006689776511071559,False,0.7,2,base,True,0.25,0.003125424177205624,0,COMPLETE
6,0.9531400966183575,0.9664251207729468,2025-05-06 22:53:55.186550,2025-05-06 22:56:47.515221,0 days 00:02:52.328671,lamp,False,0.65,0.2,0.00011206220016694755,0.99,layer,False,False,0.25,,0.017805574168848818,0.000791004513253972,0.005240159850812782,True,0.25,0.0327671639072809,False,0.7,1,bnscale,True,0.25,0.020953241312119595,0,COMPLETE
7,0.9570048309178744,0.6706763285024154,2025-05-06 22:56:47.536034,2025-05-06 23:00:23.942267,0 days 00:03:36.406233,lamp,False,0.55,0.8,0.009550465812958873,0.9,batch,True,False,0.2,,2.1261216790936157e-05,8.153781953770882e-05,0.004760022325864952,True,0.2,0.07897961051903894,False,0.7,3,bnscale,True,0.2,0.0025317554059118732,0,COMPLETE
8,0.882512077294686,0.9094202898550724,2025-05-06 23:00:23.965034,2025-05-06 23:03:06.129953,0 days 00:02:42.164919,fpgm,True,,0.6,0.00011999224475938321,0.8,,,False,0.3,,3.500854211627005e-05,8.902801251150578e-05,0.00010188418986591423,True,0.5,0.0012561582314729288,True,0.8999999999999999,2,bnscale,False,,6.174572960057105e-05,0,COMPLETE
9,0.9453140096618359,0.8366666666666666,2025-05-06 23:03:06.153348,2025-05-06 23:06:24.482692,0 days 00:03:18.329344,lamp,True,0.8,0.8,0.00015540035816863235,0.8,,True,True,0.3,0.1,7.729629492376038e-05,0.00040342124637096275,0.0001553940692424618,True,0.30000000000000004,0.0005428379555400774,False,0.8999999999999999,1,group,False,,0.15288355881365018,0,COMPLETE
10,0.9342995169082126,0.9662801932367149,2025-05-06 23:06:24.504657,2025-05-06 23:09:08.866014,0 days 00:02:44.361357,fpgm,True,,0.9,0.00014878068530301775,0.995,,,False,0.3,,0.005945529131733584,0.0011959954268612911,0.0003214039250088541,True,0.30000000000000004,0.6505200292330037,True,0.7999999999999999,2,group,True,0.45,0.00734906527177645,0,COMPLETE
11,0.9613043478260869,0.888695652173913,2025-05-06 23:09:08.887105,2025-05-06 23:12:03.609321,0 days 00:02:54.722216,group,True,0.4,0.4,3.349897163214496e-05,0.9,layer,False,False,0.2,,0.007339613756921873,2.0649185194324125e-05,0.000419279517498164,True,0.45,0.02778397378470727,False,0.7999999999999999,2,group,True,0.35000000000000003,7.038080941040498e-05,0,COMPLETE
12,0.9328985507246377,0.94,2025-05-06 23:12:03.634535,2025-05-06 23:14:50.338754,0 days 00:02:46.704219,lamp,True,,0.30000000000000004,1.8232465568680702e-05,0.99,,,True,0.15000000000000002,0.05,0.07975690083829026,0.0014146783347519895,0.0012198434255014255,False,,0.008531203699925244,True,0.7,2,bnscale,True,0.5,0.17468810543905144,0,COMPLETE
13,0.9687922705314009,0.9644444444444445,2025-05-06 23:14:50.361726,2025-05-06 23:17:53.710879,0 days 00:03:03.349153,group,True,0.65,0.7000000000000001,0.0004093396905574374,0.8,layer,False,False,0.05,,5.036810239567733e-05,0.0006758519540223717,0.0010710871843299438,True,0.0,0.010817016017553497,False,0.7,3,group,False,,0.0029287954149122973,0,COMPLETE
14,0.9584541062801932,0.5743478260869566,2025-05-06 23:17:53.732564,2025-05-06 23:20:45.341239,0 days 00:02:51.608675,group,False,0.5,0.6,0.0011560911141778926,0.995,,False,False,0.05,,3.604484958949625e-05,6.828826177833024e-05,0.003221781719359872,True,0.15000000000000002,0.41139632374382734,False,0.7,2,group,False,,0.00047394188970298763,0,COMPLETE
15,0.5058454106280194,0.9659420289855071,2025-05-06 23:20:45.363336,2025-05-06 23:24:03.023028,0 days 00:03:17.659692,lamp,True,0.1,0.2,0.0001929382980478947,0.8,,True,False,0.0,,0.11035375563811449,2.4098411411152144e-05,6.218972256195512e-05,True,0.45,0.001185806692511847,False,0.7,1,bnscale,False,,1.3470096278323086e-05,0,COMPLETE
16,0.6208212560386474,0.9540096618357486,2025-05-06 23:24:03.046894,2025-05-06 23:26:51.548357,0 days 00:02:48.501463,group,True,,0.4,1.3422430688452722e-05,0.995,,,True,0.25,0.4,1.2899191566026554e-05,0.0008209403267687958,7.471996777475954e-05,True,0.2,0.22374383741900616,True,0.8999999999999999,3,base,False,,4.556795734627153e-05,0,COMPLETE
17,0.9707246376811595,0.9677777777777777,2025-05-06 23:26:51.571490,2025-05-06 23:30:17.797426,0 days 00:03:26.225936,fpgm,False,0.75,0.5,9.862564465278702e-05,0.995,batch,True,False,0.15000000000000002,,1.257417406541421e-05,0.0030757064085369093,0.007893405101316682,False,,0.13225532636317208,False,0.7,1,base,False,,7.479940042023461e-05,0,COMPLETE
18,0.7681159420289855,0.9338647342995169,2025-05-06 23:30:17.820022,2025-05-06 23:33:06.100061,0 days 00:02:48.280039,lamp,True,,0.2,8.531572228961608e-05,0.8,,,False,0.25,,0.584761794890773,0.00014351036178008087,1.1815288867170347e-05,True,0.0,0.3716163198482214,True,0.7999999999999999,3,group,True,0.30000000000000004,0.026439956936620542,0,COMPLETE
19,0.8411111111111111,0.9667149758454107,2025-05-06 23:33:06.121167,2025-05-06 23:35:46.812794,0 days 00:02:40.691627,group,True,,0.9,0.004268964412398658,0.995,,,False,0.0,,0.12017573324565259,0.00541828106652952,0.0005474602839864848,True,0.15000000000000002,0.0001387371944907437,True,0.7,2,bnscale,False,,0.0015744781276268874,0,COMPLETE
20,0.9621256038647342,0.9571014492753623,2025-05-06 23:35:46.834994,2025-05-06 23:38:22.420248,0 days 00:02:35.585254,fpgm,False,,0.7000000000000001,0.00461439350842613,0.9,,,False,0.15000000000000002,,7.096312346047128e-05,4.280867592567478e-05,0.0018311166757383963,True,0.5,2.052886634900853e-05,True,0.7999999999999999,1,bnscale,False,,0.011256868438892042,0,COMPLETE
21,0.7295169082125602,0.8680676328502415,2025-05-06 23:38:22.442125,2025-05-06 23:41:07.536925,0 days 00:02:45.094800,fpgm,True,,0.9,0.008828568891820605,0.995,,,True,0.15000000000000002,0.15000000000000002,0.02994150521396052,0.00043122862568997214,0.006606167524820449,False,,0.05275949893582148,True,0.7,2,bnscale,False,,0.07831892009331198,0,COMPLETE
22,0.9691304347826087,0.9657971014492753,2025-05-06 23:41:07.556197,2025-05-06 23:44:00.861750,0 days 00:02:53.305553,group,True,,0.7000000000000001,0.001467237755771667,0.9,,,True,0.15000000000000002,0.30000000000000004,0.0003644737918343464,4.878007382451085e-05,4.0887785389826826e-05,True,0.25,0.0003317422639153167,True,0.7,3,bnscale,True,0.30000000000000004,6.520287371841755e-05,0,COMPLETE
23,0.6707729468599034,0.8420772946859904,2025-05-06 23:44:00.883421,2025-05-06 23:46:43.835162,0 days 00:02:42.951741,fpgm,True,,0.9,6.526253095233432e-05,0.99,,,True,0.1,0.15000000000000002,0.006835506917832304,0.0001193238988534722,1.0725254852088834e-05,False,,0.003049202239546178,True,0.8999999999999999,2,base,True,0.35000000000000003,0.0001937500828840543,0,COMPLETE
24,0.911207729468599,0.9219323671497585,2025-05-06 23:46:43.860040,2025-05-06 23:50:16.775712,0 days 00:03:32.915672,lamp,True,0.35,0.1,8.198822975386136e-05,0.9,batch,True,True,0.25,0.35000000000000003,0.00028268034402492356,0.0033182679867511523,0.002064941721207641,False,,1.0500575681080654e-05,False,0.7999999999999999,3,group,False,,0.07691590811821503,0,COMPLETE
25,0.9600966183574879,0.9656038647342995,2025-05-06 23:50:16.797847,2025-05-06 23:53:08.817497,0 days 00:02:52.019650,fpgm,True,,0.5,0.00011019814202318793,0.9,,,False,0.2,,0.032993842633900594,7.844218057132272e-05,0.0019296743488440792,False,,1.3678270030728153e-05,True,0.7,3,bnscale,True,0.45,0.012318763005839669,0,COMPLETE
26,0.6541062801932367,0.6623188405797102,2025-05-06 23:53:08.838336,2025-05-06 23:55:57.676063,0 days 00:02:48.837727,group,True,,0.2,0.0005134388069613745,0.99,,,False,0.15000000000000002,,0.08470372037502466,4.652774638257989e-05,0.0030719618137481476,False,,0.029751581994678825,True,0.8999999999999999,3,group,True,0.1,0.5435627528539161,0,COMPLETE
27,0.9642028985507247,0.9653623188405797,2025-05-06 23:55:57.698244,2025-05-06 23:59:21.132671,0 days 00:03:23.434427,lamp,False,0.65,0.30000000000000004,0.0006353599304504345,0.9,,True,False,0.2,,1.5443741672390046e-05,0.0005614928067383229,0.0008330378721597102,False,,0.0005765721305701827,False,0.7999999999999999,2,base,False,,8.97283656900437e-05,0,COMPLETE
28,0.9257004830917874,0.8379227053140097,2025-05-06 23:59:21.155946,2025-05-07 00:02:03.227686,0 days 00:02:42.071740,group,False,,0.5,1.0684520023921278e-05,0.9,,,True,0.1,0.15000000000000002,0.03743130348320096,0.007678592525689799,0.005599377151042186,False,,7.218894368982914e-05,True,0.7,2,group,True,0.1,0.38430548319917,0,COMPLETE
29,0.8097584541062801,0.7833333333333332,2025-05-07 00:02:03.251860,2025-05-07 00:04:48.563591,0 days 00:02:45.311731,fpgm,False,,0.2,0.00014985906848831042,0.99,,,True,0.0,0.2,5.741035574955326e-05,0.0026697983242289147,8.121332280832209e-05,True,0.15000000000000002,0.0001396186438452916,True,0.8999999999999999,3,group,False,,0.14405449990527924,0,COMPLETE
30,0.9648309178743961,0.9671497584541062,2025-05-07 00:04:49.117835,2025-05-07 00:07:38.886171,0 days 00:02:49.768336,lamp,True,0.7000000000000001,0.8,1.645468669923281e-05,0.995,batch,False,False,0.3,,0.004380473733073326,0.0025533118000060544,0.001011367438750813,True,0.45,0.002688850945343876,False,0.7999999999999999,1,bnscale,False,,5.4719037645228313e-05,0,COMPLETE
31,0.9685024154589371,0.9671980676328502,2025-05-07 00:07:38.911852,2025-05-07 00:10:25.245161,0 days 00:02:46.333309,fpgm,True,0.75,0.9,0.0003372384318255558,0.8,batch,False,False,0.05,,0.0017682545204159247,0.0026367242038426142,0.00019002262003916566,True,0.30000000000000004,0.023314461255356137,False,0.7,1,group,True,0.05,0.00033006334669570086,0,COMPLETE
32,0.7843961352657004,0.8160386473429951,2025-05-07 00:10:25.266623,2025-05-07 00:13:01.391115,0 days 00:02:36.124492,group,True,,0.4,0.0002576361411801997,0.99,,,True,0.15000000000000002,0.05,0.0019707211705301698,0.0029494124880794243,6.233562955184098e-05,False,,0.02021263725584486,True,0.8999999999999999,1,group,True,0.25,0.5716294421376406,0,COMPLETE
33,0.7081642512077294,0.966376811594203,2025-05-07 00:13:01.412808,2025-05-07 00:15:32.652635,0 days 00:02:31.239827,group,True,,0.7000000000000001,1.5189790082326101e-05,0.995,,,False,0.3,,0.0001888461025439214,0.0074151932102604875,1.946198872082728e-05,True,0.1,0.00014519585858635857,True,0.8999999999999999,1,base,True,0.0,0.0012263979287569996,0,COMPLETE
34,0.9705314009661836,0.9667632850241547,2025-05-07 00:15:32.673922,2025-05-07 00:18:16.273211,0 days 00:02:43.599289,group,True,0.4,0.2,7.804223973927395e-05,0.8,batch,False,True,0.25,0.5,2.0781153511135664e-05,0.0013101380971520954,0.00022527384875332027,True,0.25,1.2886595523719393e-05,False,0.7,1,bnscale,True,0.1,0.006184957737526494,0,COMPLETE
