number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
13,0.801493643,0.801892709,18:59.3,21:26.1,0 days 00:02:26.800624,group,TRUE,,0.1,0.008200124,0.99,,,TRUE,0.1,0.3,0.000649148,0.000283155,0.000348188,FALSE,,0.080566893,TRUE,0.7,3,bnscale,FALSE,,3.42E-05,0,COMPLETE
97,0.80098056,0.803888034,29:01.4,31:23.1,0 days 00:02:21.659038,group,TRUE,0.2,0.2,0.00070238,0.8,batch,FALSE,FALSE,0.2,,0.000266139,0.002130404,0.000610471,FALSE,,0.798133375,FALSE,0.7,1,base,TRUE,0,0.000110968,1,COMPLETE
56,0.800809532,0.80502822,55:32.6,57:43.0,0 days 00:02:10.398841,lamp,FALSE,0.4,0.4,0.005395929,0.995,layer,FALSE,FALSE,0.2,,1.57E-05,0.000923923,0.000279533,FALSE,,0.016766617,FALSE,0.7,3,group,FALSE,,8.51E-05,1,COMPLETE
27,0.796761872,0.803774015,50:40.4,52:57.0,0 days 00:02:16.529045,lamp,TRUE,,0.7,0.001544728,0.99,,,FALSE,0.3,,0.00014435,0.000926669,0.000250463,TRUE,0.45,0.006597811,TRUE,0.7,1,bnscale,TRUE,0.05,2.35E-05,0,COMPLETE
69,0.79613477,0.800866541,23:39.2,25:42.2,0 days 00:02:02.997107,lamp,FALSE,0.45,0.7,0.000939934,0.9,batch,TRUE,TRUE,0.25,0.2,0.00014435,0.000926669,9.22E-05,TRUE,0.5,0.00161417,FALSE,0.8,1,bnscale,TRUE,0.05,2.35E-05,1,COMPLETE
92,0.79374038,0.782053475,16:44.9,18:52.4,0 days 00:02:07.525443,group,TRUE,0.55,0.4,0.00070238,0.8,layer,TRUE,TRUE,0.2,0.1,0.000295548,0.002130404,1.87E-05,FALSE,,0.000907148,FALSE,0.9,1,base,FALSE,,0.000110968,1,COMPLETE
28,0.78484693,0.784903939,52:57.0,55:23.5,0 days 00:02:26.545829,lamp,FALSE,,0.4,0.000439541,0.995,,,FALSE,0.2,,1.57E-05,0.004048303,0.0056913,FALSE,,0.016766617,TRUE,0.7,3,group,FALSE,,8.51E-05,0,COMPLETE
95,0.783364688,0.80257682,23:32.1,26:27.3,0 days 00:02:55.185108,lamp,FALSE,,0.7,0.000173774,0.9,,,FALSE,0.25,,0.000199058,0.000510467,0.002368529,TRUE,0.1,0.179951768,TRUE,0.7,3,group,TRUE,0.5,0.000285514,1,COMPLETE
60,0.782281512,0.779773103,04:06.8,06:15.6,0 days 00:02:08.791156,group,TRUE,0.75,0.2,0.005395929,0.99,layer,TRUE,TRUE,0.05,0,0.000266139,0.000923923,0.000610471,FALSE,,0.798133375,FALSE,0.9,2,base,FALSE,,0.000126939,1,COMPLETE
53,0.782110484,0.788666553,49:07.7,51:11.5,0 days 00:02:03.823619,group,TRUE,0.55,0.9,0.00070238,0.8,layer,TRUE,TRUE,0.2,0.2,0.000295548,0.002130404,0.003411773,FALSE,,3.51E-05,FALSE,0.9,1,bnscale,TRUE,0.4,0.000110968,1,COMPLETE
