number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
8,0.728333333,0.5,20:58.2,21:11.1,0 days 00:00:12.843749,fpgm,FALSE,0.003219336,0.000255615,FALSE,,0.021499366,FALSE,0.5,3,group,FALSE,,0.010359181,0,COMPLETE
84,0.725,0.6,35:35.7,35:45.3,0 days 00:00:09.599041,lamp,TRUE,0.001748485,0.007860811,TRUE,0.3,0.059364551,TRUE,0.6,1,group,FALSE,,0.002166075,1,COMPLETE
82,0.724,0.7,35:14.8,35:26.0,0 days 00:00:11.248317,fpgm,FALSE,0.003219336,0.003074818,TRUE,0,5.66E-05,TRUE,0.7,2,group,FALSE,,0.010359181,1,COMPLETE
48,0.722,0.9,28:36.8,28:49.4,0 days 00:00:12.539615,fpgm,FALSE,0.003174352,0.000135402,TRUE,0.15,0.026195966,FALSE,0.9,3,base,FALSE,,0.004126504,0,COMPLETE
77,0.721,0.5,34:16.1,34:29.1,0 days 00:00:12.978810,group,TRUE,0.002670409,0.000111512,TRUE,0.1,0.00020368,FALSE,0.5,3,base,TRUE,0.2,0.004099524,1,COMPLETE
10,0.720333333,0.8,21:20.6,21:33.3,0 days 00:00:12.665806,fpgm,TRUE,0.001142642,0.000415115,FALSE,,0.560309703,TRUE,0.8,3,bnscale,TRUE,0.1,0.004340496,0,COMPLETE
51,0.720333333,0.8,29:14.9,29:27.5,0 days 00:00:12.692877,lamp,FALSE,0.002650035,1.80E-05,FALSE,,0.035413029,TRUE,0.8,3,bnscale,FALSE,,0.005106352,1,COMPLETE
97,0.720333333,0.7,38:06.3,38:17.0,0 days 00:00:10.644355,group,TRUE,0.002123742,2.94E-05,FALSE,,0.041546068,FALSE,0.7,1,base,FALSE,,0.029149934,1,COMPLETE
67,0.719666667,0.6,32:25.3,32:38.2,0 days 00:00:12.945697,lamp,TRUE,0.002941354,0.000124042,TRUE,0.1,1.20E-05,FALSE,0.6,3,base,TRUE,0.05,0.001933051,1,COMPLETE
24,0.719333333,0.6,24:04.4,24:17.3,0 days 00:00:12.872163,lamp,TRUE,0.002941354,1.52E-05,TRUE,0.35,1.20E-05,FALSE,0.6,3,group,TRUE,0.25,0.001933051,0,COMPLETE
50,0.717333333,0.9,29:02.3,29:14.8,0 days 00:00:12.547983,fpgm,FALSE,0.003174352,0.000135402,TRUE,0.3,0.026195966,FALSE,0.9,3,base,FALSE,,0.004126504,1,COMPLETE
71,0.714333333,0.9,33:11.4,33:20.8,0 days 00:00:09.369887,lamp,FALSE,0.001333988,4.43E-05,TRUE,0.5,0.016725722,FALSE,0.9,1,bnscale,FALSE,,0.025574647,1,COMPLETE
29,0.713,0.7,25:03.1,25:15.6,0 days 00:00:12.544598,lamp,FALSE,0.00052903,0.000519951,TRUE,0.05,0.016725722,TRUE,0.7,3,base,FALSE,,0.025574647,0,COMPLETE
57,0.711666667,0.9,30:28.0,30:39.0,0 days 00:00:10.974418,fpgm,FALSE,0.003174352,1.27E-05,FALSE,,0.026195966,FALSE,0.9,2,base,FALSE,,0.004126504,1,COMPLETE
79,0.710666667,0.7,34:40.1,34:49.5,0 days 00:00:09.335995,lamp,FALSE,0.000244965,0.000519951,TRUE,0.05,0.016725722,TRUE,0.7,1,base,FALSE,,0.025574647,1,COMPLETE
68,0.710333333,0.9,32:38.2,32:47.5,0 days 00:00:09.301715,fpgm,TRUE,0.001142642,0.000415115,FALSE,,0.09028767,TRUE,0.9,1,bnscale,FALSE,,0.002780971,1,COMPLETE
49,0.71,0.6,28:49.4,29:02.3,0 days 00:00:12.877815,lamp,TRUE,0.0008988,2.89E-05,TRUE,0.15,0.000170148,FALSE,0.6,3,bnscale,TRUE,0.2,0.047844904,0,COMPLETE
39,0.708666667,0.9,26:56.3,27:05.7,0 days 00:00:09.399724,fpgm,FALSE,0.006715681,0.000235206,TRUE,0.2,0.001891544,FALSE,0.9,1,group,FALSE,,0.001324592,0,COMPLETE
34,0.708,0.9,26:02.1,26:14.7,0 days 00:00:12.579562,lamp,FALSE,0.002650035,1.80E-05,FALSE,,0.035413029,FALSE,0.9,3,bnscale,FALSE,,0.000832688,0,COMPLETE
55,0.707,0.5,30:02.3,30:15.1,0 days 00:00:12.857324,fpgm,TRUE,0.000153975,0.000659224,TRUE,0.3,0.36255483,TRUE,0.5,3,base,FALSE,,0.004099524,1,COMPLETE
90,0.707,0.8,36:40.6,36:51.7,0 days 00:00:11.026616,fpgm,FALSE,0.000969672,0.000147706,FALSE,,0.000427414,TRUE,0.8,2,base,TRUE,0.2,0.001281655,1,COMPLETE
96,0.707,0.8,37:52.1,38:06.3,0 days 00:00:14.147146,fpgm,FALSE,0.00052903,0.000415115,TRUE,0.3,0.016725722,TRUE,0.8,3,bnscale,FALSE,,0.004340496,1,COMPLETE
74,0.706666667,0.9,33:42.8,33:53.8,0 days 00:00:10.991670,fpgm,FALSE,0.006715681,0.000305259,TRUE,0.45,0.001962095,FALSE,0.9,2,group,FALSE,,0.001324592,1,COMPLETE
27,0.706333333,0.6,24:40.1,24:52.0,0 days 00:00:11.969540,group,FALSE,0.000993669,1.39E-05,TRUE,0.3,0.000239894,FALSE,0.6,1,bnscale,TRUE,0.25,0.000667595,0,COMPLETE
87,0.706333333,0.8,36:04.2,36:16.9,0 days 00:00:12.700568,lamp,TRUE,0.000244965,0.006450621,TRUE,0.35,0.026195966,FALSE,0.8,3,bnscale,FALSE,,0.004126504,1,COMPLETE
92,0.704,0.9,37:04.4,37:16.9,0 days 00:00:12.571923,fpgm,FALSE,0.000363287,1.33E-05,FALSE,,8.39E-05,FALSE,0.9,3,base,TRUE,0.1,0.014905494,1,COMPLETE
37,0.703333333,0.5,26:35.4,26:46.6,0 days 00:00:11.238835,group,FALSE,5.30E-05,0.001310628,TRUE,0.5,1.32E-05,TRUE,0.5,2,bnscale,FALSE,,0.019188225,0,COMPLETE
5,0.700666667,0.5,20:23.7,20:37.1,0 days 00:00:13.356617,group,TRUE,0.000126783,3.99E-05,TRUE,0.3,0.00020368,FALSE,0.5,3,base,TRUE,0.1,0.004099524,0,COMPLETE
66,0.7,0.6,32:12.3,32:25.2,0 days 00:00:12.938181,group,FALSE,0.000993669,1.52E-05,TRUE,0.25,0.000429046,FALSE,0.6,3,group,FALSE,,0.000667595,1,COMPLETE
31,0.7,0.8,25:25.1,25:37.7,0 days 00:00:12.647044,lamp,TRUE,0.006348543,3.45E-05,FALSE,,0.02340695,TRUE,0.8,3,group,TRUE,0.25,0.000155803,0,COMPLETE
53,0.7,0.9,29:40.1,29:49.4,0 days 00:00:09.276274,fpgm,FALSE,0.003174352,0.000135402,TRUE,0.3,0.026195966,FALSE,0.9,1,group,FALSE,,0.004126504,1,COMPLETE
17,0.699,0.9,22:41.3,22:54.0,0 days 00:00:12.704515,lamp,TRUE,9.81E-05,2.52E-05,FALSE,,0.003100842,FALSE,0.9,3,base,FALSE,,0.014905494,0,COMPLETE
98,0.698,0.6,38:17.0,38:27.4,0 days 00:00:10.397875,group,FALSE,0.000993669,1.39E-05,TRUE,0.1,0.000281626,FALSE,0.6,1,bnscale,TRUE,0.45,0.000667595,1,COMPLETE
18,0.695333333,0.5,22:54.0,23:07.1,0 days 00:00:13.107670,lamp,FALSE,0.000441433,0.000659224,TRUE,0.5,0.36255483,TRUE,0.5,3,bnscale,FALSE,,0.000176272,0,COMPLETE
3,0.695,0.5,20:01.2,20:12.5,0 days 00:00:11.267584,fpgm,FALSE,0.00014326,0.000147706,FALSE,,0.003455257,TRUE,0.5,2,base,FALSE,,0.001281655,0,COMPLETE
61,0.694,0.8,31:15.2,31:27.9,0 days 00:00:12.639714,lamp,FALSE,6.30E-05,2.23E-05,TRUE,0.1,0.000851885,FALSE,0.8,3,bnscale,FALSE,,0.004126504,1,COMPLETE
16,0.691666667,0.5,22:31.5,22:41.3,0 days 00:00:09.781057,fpgm,TRUE,0.000683638,0.00684463,FALSE,,0.045765875,FALSE,0.5,1,group,TRUE,0.3,0.000183968,0,COMPLETE
85,0.690666667,0.9,35:45.3,35:54.8,0 days 00:00:09.430945,fpgm,FALSE,0.000889563,1.36E-05,TRUE,0.4,0.004197908,TRUE,0.9,1,bnscale,TRUE,0,0.002780971,1,COMPLETE
43,0.69,0.9,27:38.8,27:48.0,0 days 00:00:09.261953,fpgm,FALSE,0.000889563,0.002661084,TRUE,0.45,0.09028767,TRUE,0.9,1,bnscale,FALSE,,0.002780971,0,COMPLETE
52,0.689666667,0.9,29:27.6,29:40.1,0 days 00:00:12.537459,lamp,TRUE,9.81E-05,0.000253219,FALSE,,0.008322559,FALSE,0.9,3,base,FALSE,,0.014905494,1,COMPLETE
23,0.687666667,0.9,23:55.1,24:04.4,0 days 00:00:09.288761,fpgm,FALSE,0.001333988,0.006014111,TRUE,0.5,0.004197908,FALSE,0.9,1,bnscale,TRUE,0.35,0.000148176,0,COMPLETE
94,0.687,0.9,37:29.7,37:42.4,0 days 00:00:12.771357,lamp,TRUE,0.002941354,0.00446868,TRUE,0.05,0.085746518,TRUE,0.9,3,group,TRUE,0.35,0.001933051,1,COMPLETE
56,0.685666667,0.6,30:15.1,30:28.0,0 days 00:00:12.826920,lamp,FALSE,0.000441433,0.000659224,FALSE,,0.36255483,TRUE,0.6,3,bnscale,FALSE,,0.000176272,1,COMPLETE
89,0.683,0.9,36:28.0,36:40.6,0 days 00:00:12.650297,lamp,TRUE,0.001817155,0.000454374,FALSE,,0.000401513,FALSE,0.9,3,bnscale,TRUE,0.2,3.91E-05,1,COMPLETE
64,0.682666667,0.8,31:50.2,32:02.7,0 days 00:00:12.571900,group,TRUE,0.002123742,0.000415316,FALSE,,0.041546068,TRUE,0.8,3,group,FALSE,,0.001707531,1,COMPLETE
35,0.681,0.9,26:14.7,26:25.9,0 days 00:00:11.166866,group,FALSE,0.000201638,0.000253219,FALSE,,0.008322559,FALSE,0.9,2,bnscale,FALSE,,0.000744741,0,COMPLETE
42,0.680666667,0.9,27:26.2,27:38.7,0 days 00:00:12.541971,lamp,TRUE,0.001817155,0.000454374,FALSE,,4.50E-05,TRUE,0.9,3,base,TRUE,0.35,3.91E-05,0,COMPLETE
60,0.679666667,0.9,31:02.6,31:15.2,0 days 00:00:12.592892,group,FALSE,0.000201638,1.80E-05,FALSE,,0.02094809,FALSE,0.9,3,bnscale,FALSE,,0.000832688,1,COMPLETE
69,0.678333333,0.8,32:47.5,33:00.4,0 days 00:00:12.820809,lamp,TRUE,0.000244965,0.000135402,TRUE,0.1,0.000401513,FALSE,0.8,3,bnscale,FALSE,,1.73E-05,1,COMPLETE
30,0.678,0.8,25:15.6,25:25.1,0 days 00:00:09.411208,lamp,TRUE,0.000244965,0.006450621,TRUE,0.25,0.000401513,FALSE,0.8,1,bnscale,FALSE,,1.73E-05,0,COMPLETE
86,0.678,0.8,35:54.8,36:04.2,0 days 00:00:09.422826,lamp,TRUE,0.000244965,0.006450621,TRUE,0.25,0.000401513,FALSE,0.8,1,group,FALSE,,1.73E-05,1,COMPLETE
13,0.678,0.7,21:56.7,22:07.7,0 days 00:00:10.964829,group,FALSE,0.006845738,0.003074818,TRUE,0.05,0.027647099,TRUE,0.7,2,group,FALSE,,0.005106352,0,COMPLETE
0,0.677666667,0.9,19:28.1,19:37.5,0 days 00:00:09.441852,group,TRUE,0.000722917,5.09E-05,FALSE,,0.007534557,FALSE,0.9,1,group,TRUE,0.35,0.000442962,0,COMPLETE
22,0.677333333,0.8,23:44.0,23:55.1,0 days 00:00:11.055071,lamp,FALSE,6.30E-05,2.23E-05,TRUE,0.25,0.608201571,FALSE,0.8,2,bnscale,FALSE,,4.08E-05,0,COMPLETE
32,0.675666667,0.8,25:37.7,25:50.4,0 days 00:00:12.618908,group,TRUE,0.002123742,0.000415316,FALSE,,0.041546068,TRUE,0.8,3,group,FALSE,,0.029149934,0,COMPLETE
44,0.675666667,0.5,27:48.1,28:00.5,0 days 00:00:12.483205,fpgm,TRUE,0.006556611,0.001549836,TRUE,0.05,0.01870241,FALSE,0.5,3,base,FALSE,,0.000771373,0,COMPLETE
78,0.674333333,0.9,34:29.1,34:40.1,0 days 00:00:10.982315,fpgm,TRUE,0.001817155,0.000255615,FALSE,,0.021499366,FALSE,0.9,2,group,FALSE,,3.91E-05,1,COMPLETE
62,0.672333333,0.9,31:27.9,31:37.3,0 days 00:00:09.377802,fpgm,TRUE,0.000244965,0.006450621,FALSE,,0.000401513,FALSE,0.9,1,group,FALSE,,3.78E-05,1,COMPLETE
80,0.671666667,0.9,34:49.5,35:01.9,0 days 00:00:12.471808,fpgm,TRUE,0.000201638,0.000253219,FALSE,,0.008322559,FALSE,0.9,3,bnscale,TRUE,0.15,0.000744741,1,COMPLETE
95,0.663666667,0.9,37:42.5,37:52.1,0 days 00:00:09.670986,fpgm,FALSE,0.001333988,0.006014111,TRUE,0.05,0.019995312,FALSE,0.9,1,bnscale,TRUE,0,0.000148176,1,COMPLETE
73,0.661666667,0.8,33:30.3,33:42.8,0 days 00:00:12.514788,group,TRUE,0.006348543,0.000415316,FALSE,,0.02340695,TRUE,0.8,3,group,TRUE,0,0.000155803,1,COMPLETE
59,0.658666667,0.9,30:50.0,31:02.6,0 days 00:00:12.618144,fpgm,FALSE,0.003174352,0.002661084,TRUE,0.4,0.026195966,TRUE,0.9,3,bnscale,FALSE,,0.002780971,1,COMPLETE
54,0.642666667,0.6,29:49.4,30:02.2,0 days 00:00:12.825623,lamp,TRUE,0.0008988,0.006533719,TRUE,0.25,0.000170148,TRUE,0.6,3,bnscale,TRUE,0.15,0.069455893,1,COMPLETE
9,0.637666667,0.6,21:11.1,21:20.6,0 days 00:00:09.519498,fpgm,TRUE,0.001748485,1.58E-05,FALSE,,0.000445147,FALSE,0.6,1,bnscale,FALSE,,0.094516693,0,COMPLETE
58,0.633666667,0.7,30:39.0,30:49.9,0 days 00:00:10.963038,fpgm,TRUE,0.000683638,0.000860372,FALSE,,0.095482909,FALSE,0.7,2,group,TRUE,0.1,0.000528631,1,COMPLETE
46,0.632333333,0.7,28:13.1,28:24.2,0 days 00:00:11.097073,group,FALSE,2.49E-05,0.000500937,TRUE,0.15,5.62E-05,FALSE,0.7,2,bnscale,FALSE,,0.000977843,0,COMPLETE
