number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
23,0.704666667,0.7,00:44.3,01:01.6,0 days 00:00:17.266640,lamp,TRUE,0.004272395,0.003219945,FALSE,,5.98E-05,TRUE,0.7,3,base,TRUE,0,0.023725432,0,COMPLETE
60,0.696333333,0.6,09:48.0,10:03.1,0 days 00:00:15.036363,fpgm,FALSE,0.00226253,0.000106454,FALSE,,0.00837777,FALSE,0.6,2,bnscale,FALSE,,0.116296287,1,COMPLETE
17,0.695333333,0.5,59:11.6,59:29.2,0 days 00:00:17.540065,lamp,FALSE,0.00226253,0.000106454,FALSE,,0.00837777,FALSE,0.5,3,bnscale,TRUE,0.1,0.116296287,0,COMPLETE
56,0.695333333,0.6,08:52.9,09:05.2,0 days 00:00:12.278014,lamp,FALSE,0.005226391,0.007154905,FALSE,,0.000468744,TRUE,0.6,1,group,FALSE,,0.05516569,1,COMPLETE
44,0.690666667,0.7,06:16.6,06:31.1,0 days 00:00:14.476891,lamp,FALSE,0.002976226,0.000269749,FALSE,,0.002062025,FALSE,0.7,2,bnscale,FALSE,,0.058614285,0,COMPLETE
69,0.689333333,0.7,12:00.4,12:12.8,0 days 00:00:12.336323,fpgm,FALSE,0.00249827,5.50E-05,TRUE,0.15,0.002062025,FALSE,0.7,1,bnscale,FALSE,,0.058614285,1,COMPLETE
92,0.688,0.7,17:33.4,17:48.2,0 days 00:00:14.785565,lamp,TRUE,0.002976226,0.000271143,FALSE,,0.015861178,FALSE,0.7,2,group,FALSE,,0.058614285,1,COMPLETE
94,0.688,0.8,18:00.5,18:12.7,0 days 00:00:12.197882,fpgm,FALSE,0.003855816,2.87E-05,TRUE,0.3,0.000229394,TRUE,0.8,1,base,FALSE,,0.008977658,1,COMPLETE
55,0.687666667,0.8,08:40.7,08:52.9,0 days 00:00:12.169993,fpgm,FALSE,0.001389917,5.50E-05,TRUE,0.4,0.001367068,TRUE,0.8,1,group,FALSE,,0.041868716,1,COMPLETE
52,0.686,0.7,08:01.0,08:14.0,0 days 00:00:13.015188,lamp,TRUE,0.004272395,0.003219945,FALSE,,0.020690865,TRUE,0.7,1,group,FALSE,,7.72E-05,1,COMPLETE
9,0.684,0.6,57:13.7,57:30.7,0 days 00:00:17.010471,fpgm,FALSE,0.005226391,0.007154905,TRUE,0.2,0.344976991,TRUE,0.6,2,group,FALSE,,0.05516569,0,COMPLETE
12,0.683,0.8,58:00.4,58:12.4,0 days 00:00:12.053065,fpgm,FALSE,0.001109067,5.50E-05,TRUE,0,0.001367068,FALSE,0.8,1,group,FALSE,,0.041868716,0,COMPLETE
61,0.682,0.5,10:03.1,10:21.7,0 days 00:00:18.661356,fpgm,FALSE,0.000631535,2.08E-05,TRUE,0.5,0.010200434,FALSE,0.5,3,base,FALSE,,0.003031225,1,COMPLETE
79,0.681333333,0.6,14:26.2,14:39.1,0 days 00:00:12.958821,group,FALSE,0.000376249,0.000223886,FALSE,,5.98E-05,TRUE,0.6,1,bnscale,FALSE,,0.023725432,1,COMPLETE
3,0.681,0.7,55:49.7,56:02.4,0 days 00:00:12.695508,lamp,FALSE,0.002056143,4.94E-05,TRUE,0.25,0.703541467,FALSE,0.7,1,base,TRUE,0.4,0.045743694,0,COMPLETE
83,0.68,0.8,15:20.0,15:32.3,0 days 00:00:12.365309,fpgm,TRUE,0.000378123,0.000209817,TRUE,0.15,0.000481571,FALSE,0.8,1,bnscale,FALSE,,0.015323217,1,COMPLETE
35,0.679333333,0.5,03:57.2,04:12.7,0 days 00:00:15.476125,lamp,FALSE,0.000196387,7.38E-05,TRUE,0.25,4.38E-05,FALSE,0.5,2,bnscale,FALSE,,0.228836429,0,COMPLETE
31,0.678333333,0.7,02:59.1,03:16.2,0 days 00:00:17.119351,fpgm,FALSE,0.001463646,3.57E-05,FALSE,,0.006779337,FALSE,0.7,3,group,FALSE,,0.308687447,0,COMPLETE
45,0.678,0.9,06:31.1,06:45.5,0 days 00:00:14.348619,fpgm,TRUE,0.000870615,2.06E-05,FALSE,,0.000100578,TRUE,0.9,2,bnscale,FALSE,,0.214394224,0,COMPLETE
48,0.678,0.8,07:09.8,07:22.5,0 days 00:00:12.663016,lamp,TRUE,0.005508155,0.004199291,TRUE,0,0.018442348,FALSE,0.8,1,group,TRUE,0,0.075426712,0,COMPLETE
98,0.677666667,0.7,18:58.4,19:15.6,0 days 00:00:17.235118,fpgm,TRUE,0.001387403,0.000997212,TRUE,0.2,0.025351329,FALSE,0.7,3,group,FALSE,,0.000750069,1,COMPLETE
7,0.676333333,0.7,56:48.1,57:00.8,0 days 00:00:12.706896,fpgm,TRUE,0.003379468,0.000575882,FALSE,,0.020690865,TRUE,0.7,1,group,FALSE,,7.72E-05,0,COMPLETE
15,0.675666667,0.6,58:44.3,58:57.2,0 days 00:00:12.963708,fpgm,FALSE,0.007074379,7.95E-05,FALSE,,0.004509343,FALSE,0.6,1,base,FALSE,,0.003031225,0,COMPLETE
59,0.675666667,0.5,09:30.1,09:48.0,0 days 00:00:17.889264,lamp,FALSE,0.004272395,2.58E-05,FALSE,,5.98E-05,TRUE,0.5,3,group,TRUE,0.3,0.000750069,1,COMPLETE
96,0.675,0.6,18:27.4,18:43.7,0 days 00:00:16.220643,fpgm,FALSE,0.005226391,0.007154905,TRUE,0.4,0.344976991,TRUE,0.6,2,group,FALSE,,0.05516569,1,COMPLETE
90,0.672666667,0.7,17:03.7,17:16.3,0 days 00:00:12.519188,group,TRUE,0.004272395,0.002695882,FALSE,,5.98E-05,TRUE,0.7,1,bnscale,FALSE,,0.000153675,1,COMPLETE
19,0.671666667,0.8,59:41.3,59:53.5,0 days 00:00:12.209097,fpgm,FALSE,0.000132036,0.000209817,TRUE,0.05,0.000481571,FALSE,0.8,1,bnscale,FALSE,,0.015323217,0,COMPLETE
86,0.671,0.5,16:01.9,16:17.3,0 days 00:00:15.360623,group,FALSE,0.000376249,0.000223886,FALSE,,1.64E-05,FALSE,0.5,2,group,FALSE,,1.30E-05,1,COMPLETE
11,0.667666667,0.9,57:48.4,58:00.3,0 days 00:00:11.982633,lamp,TRUE,0.00328239,1.54E-05,FALSE,,0.000468744,FALSE,0.9,1,base,TRUE,0.35,0.160039565,0,COMPLETE
65,0.666666667,0.8,11:04.0,11:18.4,0 days 00:00:14.343563,fpgm,TRUE,0.0061098,0.006013238,FALSE,,2.52E-05,FALSE,0.8,2,group,TRUE,0.1,4.01E-05,1,COMPLETE
74,0.666,0.5,13:10.3,13:28.3,0 days 00:00:18.033044,group,FALSE,0.000110764,0.000206169,FALSE,,0.386511313,FALSE,0.5,3,base,FALSE,,0.007378882,1,COMPLETE
27,0.665666667,0.5,01:49.6,02:08.0,0 days 00:00:18.442014,lamp,FALSE,0.000631535,2.08E-05,TRUE,0.45,0.010200434,TRUE,0.5,3,bnscale,FALSE,,1.32E-05,0,COMPLETE
43,0.663666667,0.5,05:58.7,06:16.6,0 days 00:00:17.878903,group,FALSE,0.000110764,0.000206169,FALSE,,0.386511313,FALSE,0.5,3,base,FALSE,,0.007378882,0,COMPLETE
77,0.663333333,0.8,13:57.2,14:09.5,0 days 00:00:12.240105,lamp,FALSE,0.002056143,4.94E-05,TRUE,0.4,0.703541467,FALSE,0.8,1,base,TRUE,0.3,0.001454698,1,COMPLETE
40,0.660333333,0.6,05:14.7,05:27.8,0 days 00:00:13.032751,lamp,TRUE,4.19E-05,0.001018616,FALSE,,0.022041565,TRUE,0.6,1,group,FALSE,,0.020798323,0,COMPLETE
4,0.659,0.7,56:02.5,56:17.0,0 days 00:00:14.514829,fpgm,TRUE,0.0061098,0.000346036,FALSE,,1.32E-05,FALSE,0.7,2,group,TRUE,0.15,4.01E-05,0,COMPLETE
30,0.658,0.5,02:40.8,02:59.1,0 days 00:00:18.329581,fpgm,TRUE,0.000389278,0.000682836,FALSE,,0.052568692,FALSE,0.5,3,base,TRUE,0.15,0.00020951,0,COMPLETE
24,0.657333333,0.7,01:01.6,01:18.7,0 days 00:00:17.097250,lamp,TRUE,0.001794421,0.000271143,FALSE,,0.015861178,FALSE,0.7,3,group,TRUE,0.45,0.000149759,0,COMPLETE
14,0.657,0.8,58:29.9,58:44.3,0 days 00:00:14.383418,fpgm,FALSE,0.000685035,1.45E-05,TRUE,0.2,0.043835225,FALSE,0.8,2,group,FALSE,,0.000585077,0,COMPLETE
49,0.656,0.9,07:22.5,07:36.7,0 days 00:00:14.149327,lamp,FALSE,0.003855816,2.87E-05,TRUE,0,0.000229394,FALSE,0.9,2,base,TRUE,0.15,0.008977658,0,COMPLETE
29,0.655666667,0.5,02:23.5,02:40.7,0 days 00:00:17.215007,lamp,FALSE,0.001387403,0.000997212,TRUE,0.05,0.025351329,FALSE,0.5,3,group,TRUE,0.3,0.000750069,0,COMPLETE
8,0.655333333,0.6,57:00.9,57:13.7,0 days 00:00:12.809252,group,FALSE,0.000376249,0.000223886,FALSE,,0.053378874,FALSE,0.6,1,bnscale,FALSE,,0.000153675,0,COMPLETE
28,0.653666667,0.5,02:08.1,02:23.5,0 days 00:00:15.439190,lamp,TRUE,0.000239262,1.24E-05,FALSE,,1.64E-05,FALSE,0.5,2,group,FALSE,,1.30E-05,0,COMPLETE
64,0.653666667,0.6,10:50.3,11:04.0,0 days 00:00:13.713568,lamp,TRUE,0.000376249,0.004199291,FALSE,,0.007300214,FALSE,0.6,1,bnscale,TRUE,0,0.075426712,1,COMPLETE
97,0.652333333,0.8,18:43.7,18:58.4,0 days 00:00:14.706490,group,TRUE,0.000603774,0.007081744,FALSE,,2.52E-05,FALSE,0.8,2,bnscale,TRUE,0.3,0.000419618,1,COMPLETE
54,0.651666667,0.8,08:26.3,08:40.7,0 days 00:00:14.388650,fpgm,TRUE,0.000870615,0.000415145,TRUE,0.15,1.63E-05,TRUE,0.8,2,group,FALSE,,0.000585077,1,COMPLETE
81,0.651333333,0.7,14:51.2,15:07.0,0 days 00:00:15.816876,fpgm,FALSE,0.001794421,0.007154905,TRUE,0.45,0.344976991,FALSE,0.7,2,group,FALSE,,0.05516569,1,COMPLETE
25,0.650666667,0.8,01:18.7,01:35.5,0 days 00:00:16.726617,group,TRUE,0.000603774,0.006013238,FALSE,,2.52E-05,FALSE,0.8,3,group,TRUE,0.3,0.000419618,0,COMPLETE
33,0.650666667,0.8,03:28.6,03:41.0,0 days 00:00:12.355112,fpgm,FALSE,0.001389917,0.001394767,TRUE,0.3,0.002284685,TRUE,0.8,1,base,TRUE,0.15,4.48E-05,0,COMPLETE
42,0.65,0.8,05:44.3,05:58.7,0 days 00:00:14.373660,fpgm,FALSE,0.000497573,0.002842449,TRUE,0.05,1.03E-05,TRUE,0.8,2,bnscale,FALSE,,2.84E-05,0,COMPLETE
85,0.648333333,0.8,15:45.3,16:01.9,0 days 00:00:16.603124,group,TRUE,0.000603774,0.006013238,FALSE,,2.52E-05,FALSE,0.8,3,group,TRUE,0.3,0.000419618,1,COMPLETE
89,0.648,0.6,16:46.9,17:03.7,0 days 00:00:16.850067,lamp,FALSE,0.000376249,0.000271143,FALSE,,0.015861178,FALSE,0.6,3,bnscale,TRUE,0.05,0.000149759,1,COMPLETE
78,0.643,0.8,14:09.5,14:26.1,0 days 00:00:16.661158,lamp,TRUE,0.000603774,0.006013238,FALSE,,4.38E-05,FALSE,0.8,3,bnscale,TRUE,0.05,0.000419618,1,COMPLETE
58,0.642666667,0.8,09:17.9,09:30.1,0 days 00:00:12.157181,lamp,FALSE,0.000132036,0.000209817,TRUE,0.45,1.06E-05,FALSE,0.8,1,bnscale,FALSE,,0.015323217,1,COMPLETE
