number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
47,0.937234945,0.7,50:39.8,51:54.2,0 days 00:01:14.408424,group,FALSE,0.000423182,5.80E-05,FALSE,,0.000238448,FALSE,0.7,3,bnscale,TRUE,0.3,2.28E-05,0,COMPLETE
19,0.936992609,0.6,17:10.8,18:35.2,0 days 00:01:24.363144,lamp,FALSE,0.000448361,0.00335427,TRUE,0.45,0.005139458,FALSE,0.6,2,group,FALSE,,0.000167711,0,COMPLETE
39,0.9362656,0.7,41:26.5,42:37.6,0 days 00:01:11.157814,group,TRUE,0.000407308,6.07E-05,FALSE,,9.13E-05,TRUE,0.7,3,bnscale,TRUE,0.5,0.000261148,0,COMPLETE
77,0.936144432,0.6,22:19.4,23:41.0,0 days 00:01:21.555373,fpgm,TRUE,0.001958631,0.000493138,FALSE,,0.000226,FALSE,0.6,1,bnscale,FALSE,,8.46E-05,1,COMPLETE
13,0.935902096,0.5,10:37.7,12:15.5,0 days 00:01:37.804847,group,FALSE,0.000243544,4.18E-05,FALSE,,0.118823487,FALSE,0.5,1,base,TRUE,0.5,4.56E-05,0,COMPLETE
60,0.935902096,0.5,04:37.1,06:18.8,0 days 00:01:41.712830,fpgm,TRUE,0.000243544,4.18E-05,FALSE,,0.118823487,FALSE,0.5,2,base,TRUE,0.5,4.56E-05,1,COMPLETE
20,0.935417424,0.5,18:35.2,20:14.2,0 days 00:01:38.936246,group,TRUE,0.002881182,0.00101047,FALSE,,0.071361627,FALSE,0.5,1,bnscale,TRUE,0.45,1.23E-05,0,COMPLETE
29,0.934932752,0.5,29:18.9,30:56.5,0 days 00:01:37.653330,group,TRUE,0.002261795,9.01E-05,TRUE,0,0.023580929,FALSE,0.5,1,base,FALSE,,4.62E-05,0,COMPLETE
89,0.934811584,0.5,34:27.5,36:07.7,0 days 00:01:40.147947,group,FALSE,0.000243544,4.18E-05,FALSE,,0.032901052,TRUE,0.5,2,base,TRUE,0.45,0.000486599,1,COMPLETE
1,0.933842239,0.6,56:48.2,58:09.8,0 days 00:01:21.576851,fpgm,FALSE,0.004386292,1.28E-05,TRUE,0.25,0.015173094,TRUE,0.6,1,bnscale,TRUE,0,1.95E-05,0,COMPLETE
