number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
48,0.930449534,0.5,07:48.7,08:48.0,0 days 00:00:59.261781,group,FALSE,0.004428804,0.001861538,FALSE,,3.17E-05,FALSE,0.5,3,base,TRUE,0.2,6.06E-05,0,COMPLETE
36,0.929601357,0.5,56:56.6,57:50.1,0 days 00:00:53.473425,group,TRUE,0.000188854,9.59E-05,TRUE,0.35,0.107399347,TRUE,0.5,1,group,FALSE,,0.000280367,0,COMPLETE
35,0.928389676,0.6,56:00.9,56:56.6,0 days 00:00:55.688257,group,TRUE,0.003005458,0.001077063,FALSE,,0.000681905,TRUE,0.6,2,bnscale,TRUE,0.1,2.29E-05,0,COMPLETE
57,0.927420332,0.5,16:08.6,17:02.2,0 days 00:00:53.667526,group,TRUE,0.006326133,9.73E-05,TRUE,0.25,0.013300439,TRUE,0.5,1,bnscale,FALSE,,6.86E-05,1,COMPLETE
67,0.924754635,0.7,25:09.3,26:04.0,0 days 00:00:54.672119,fpgm,TRUE,0.004428804,1.82E-05,FALSE,,6.84E-05,TRUE,0.7,2,base,FALSE,,6.06E-05,1,COMPLETE
56,0.924027626,0.5,15:14.9,16:08.5,0 days 00:00:53.681176,group,TRUE,0.004428804,9.59E-05,FALSE,,3.17E-05,TRUE,0.5,1,group,TRUE,0.1,6.06E-05,1,COMPLETE
71,0.923906458,0.6,28:45.4,29:38.5,0 days 00:00:53.179029,lamp,TRUE,0.000371883,0.00062707,TRUE,0.3,0.012705511,TRUE,0.6,1,group,FALSE,,0.000199255,1,COMPLETE
38,0.923058282,0.5,58:42.4,59:38.8,0 days 00:00:56.413293,lamp,TRUE,0.006326133,0.004300577,TRUE,0.5,0.013300439,TRUE,0.5,2,bnscale,FALSE,,6.86E-05,0,COMPLETE
33,0.906215921,0.5,54:09.8,55:06.0,0 days 00:00:56.220850,group,TRUE,9.72E-05,0.000132144,FALSE,,8.26E-05,TRUE,0.5,2,base,FALSE,,2.47E-05,0,COMPLETE
13,0.906094753,0.5,36:00.3,36:53.4,0 days 00:00:53.058050,lamp,TRUE,0.00149619,0.000689565,FALSE,,0.000109581,TRUE,0.5,1,base,TRUE,0.5,0.001207635,0,COMPLETE
98,0.900884527,0.7,53:33.2,54:30.4,0 days 00:00:57.261918,fpgm,FALSE,0.000343487,5.29E-05,FALSE,,0.107883658,FALSE,0.7,3,base,FALSE,,0.000213671,1,COMPLETE
34,0.897491821,0.7,55:06.0,56:00.9,0 days 00:00:54.857625,fpgm,TRUE,0.000465156,1.82E-05,FALSE,,0.113779537,TRUE,0.7,2,base,FALSE,,6.29E-05,0,COMPLETE
29,0.896885981,0.6,50:34.0,51:28.9,0 days 00:00:54.867383,lamp,TRUE,0.000752701,0.009377055,FALSE,,4.78E-05,TRUE,0.6,2,group,FALSE,,0.001450878,0,COMPLETE
62,0.896885981,0.7,20:35.7,21:33.3,0 days 00:00:57.661733,group,TRUE,0.000343487,9.59E-05,TRUE,0.2,0.107399347,TRUE,0.7,3,group,FALSE,,2.05E-05,1,COMPLETE
19,0.896158972,0.5,41:15.7,42:09.6,0 days 00:00:53.958506,group,FALSE,0.000442811,0.000891181,FALSE,,0.021415585,FALSE,0.5,1,bnscale,FALSE,,0.001472351,0,COMPLETE
12,0.884526839,0.7,35:03.0,36:00.3,0 days 00:00:57.244957,fpgm,FALSE,0.000343487,0.004379882,FALSE,,3.13E-05,FALSE,0.7,3,group,TRUE,0.2,2.05E-05,0,COMPLETE
41,0.859929723,0.6,01:31.7,02:24.5,0 days 00:00:52.818269,group,TRUE,0.000913222,0.005878699,FALSE,,0.002247887,TRUE,0.6,1,base,FALSE,,0.001067803,0,COMPLETE
94,0.85447716,0.8,49:50.4,50:46.9,0 days 00:00:56.486067,lamp,FALSE,0.001366154,0.000692824,FALSE,,3.73E-05,FALSE,0.8,3,base,TRUE,0.5,0.000299778,1,COMPLETE
11,0.848782261,0.5,34:09.0,35:03.0,0 days 00:00:53.975932,fpgm,FALSE,0.003565521,6.42E-05,FALSE,,0.034213035,FALSE,0.5,1,bnscale,FALSE,,0.001121359,0,COMPLETE
90,0.844541379,0.6,46:11.7,47:07.3,0 days 00:00:55.627653,fpgm,FALSE,0.000465156,1.82E-05,FALSE,,0.113779537,TRUE,0.6,2,group,FALSE,,0.003713687,1,COMPLETE
63,0.820186599,0.6,21:33.4,22:28.7,0 days 00:00:55.388474,fpgm,FALSE,0.000184443,0.000376849,FALSE,,0.001126388,FALSE,0.6,2,group,TRUE,0.2,0.004898889,1,COMPLETE
60,0.81824791,0.5,18:49.5,19:44.1,0 days 00:00:54.636866,fpgm,FALSE,0.003565521,0.000237558,FALSE,,0.034213035,FALSE,0.5,1,group,FALSE,,0.001121359,1,COMPLETE
1,0.803707743,0.6,24:52.5,25:45.7,0 days 00:00:53.211107,lamp,TRUE,3.35E-05,0.00062707,FALSE,,0.012705511,TRUE,0.6,1,group,FALSE,,0.000199255,0,COMPLETE
87,0.803707743,0.7,43:35.6,44:28.0,0 days 00:00:52.336542,group,FALSE,0.00149619,0.000689565,FALSE,,0.024576939,TRUE,0.7,1,group,TRUE,0.3,0.002860969,1,COMPLETE
32,0.799466861,0.9,53:12.7,54:09.8,0 days 00:00:57.079744,group,FALSE,0.003204507,2.47E-05,FALSE,,0.948417109,TRUE,0.9,3,base,TRUE,0.1,1.43E-05,0,COMPLETE
