number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
96,0.848,0.7,54:13.8,54:24.6,0 days 00:00:10.781120,lamp,TRUE,0.004200517,1.88E-05,FALSE,,1.98E-05,TRUE,0.7,1,base,TRUE,0.5,6.53E-05,1,COMPLETE
11,0.842666667,0.5,36:13.7,36:26.2,0 days 00:00:12.502038,group,TRUE,0.00058177,0.000133933,TRUE,0.15,0.001177919,TRUE,0.5,2,bnscale,FALSE,,4.52E-05,0,COMPLETE
75,0.841666667,0.5,49:48.7,50:01.2,0 days 00:00:12.548322,group,TRUE,0.002762136,6.41E-05,FALSE,,0.108009899,TRUE,0.5,2,base,FALSE,,0.004540746,1,COMPLETE
85,0.841333333,0.5,51:49.6,52:02.1,0 days 00:00:12.552495,lamp,TRUE,0.00058177,0.000133933,TRUE,0.1,0.001177919,TRUE,0.5,2,bnscale,FALSE,,7.58E-05,1,COMPLETE
33,0.839666667,0.7,40:48.5,40:59.4,0 days 00:00:10.862820,lamp,TRUE,0.002570586,0.000135892,TRUE,0.25,0.071099273,TRUE,0.7,1,base,FALSE,,0.000687615,0,COMPLETE
14,0.839,0.5,36:55.1,37:09.6,0 days 00:00:14.458417,lamp,TRUE,0.003516098,3.31E-05,TRUE,0.4,0.747642195,FALSE,0.5,3,group,TRUE,0.1,7.58E-05,0,COMPLETE
4,0.838,0.7,34:54.1,35:04.8,0 days 00:00:10.725565,lamp,FALSE,0.004200517,1.88E-05,TRUE,0.15,0.003940243,TRUE,0.7,1,base,TRUE,0.45,6.53E-05,0,COMPLETE
32,0.838,0.5,40:37.8,40:48.5,0 days 00:00:10.761240,group,TRUE,0.002068578,0.000264946,TRUE,0.25,2.15E-05,TRUE,0.5,1,group,FALSE,,0.002414607,0,COMPLETE
36,0.838,0.6,41:21.1,41:33.7,0 days 00:00:12.663929,fpgm,TRUE,0.001414469,0.00658624,TRUE,0.2,3.02E-05,TRUE,0.6,2,group,TRUE,0.4,0.003990205,0,COMPLETE
37,0.836333333,0.5,41:33.8,41:48.1,0 days 00:00:14.352367,group,TRUE,0.005303685,1.38E-05,TRUE,0.45,0.000397079,TRUE,0.5,3,base,FALSE,,0.000168621,0,COMPLETE
62,0.835333333,0.8,47:09.8,47:22.4,0 days 00:00:12.570037,lamp,TRUE,0.000541586,0.006977765,TRUE,0.45,0.269050491,FALSE,0.8,2,base,FALSE,,1.23E-05,1,COMPLETE
84,0.834666667,0.8,51:35.1,51:49.5,0 days 00:00:14.452227,group,FALSE,0.000959841,5.58E-05,TRUE,0.5,0.045541309,TRUE,0.8,3,base,TRUE,0.45,1.45E-05,1,COMPLETE
23,0.834333333,0.8,38:51.0,39:01.9,0 days 00:00:10.892020,fpgm,TRUE,0.000285004,0.00230414,FALSE,,0.572409759,TRUE,0.8,1,base,TRUE,0.2,1.54E-05,0,COMPLETE
63,0.833666667,0.5,47:22.4,47:33.3,0 days 00:00:10.888106,fpgm,TRUE,0.000114125,0.000904101,TRUE,0.35,0.085241134,FALSE,0.5,1,bnscale,FALSE,,0.001222602,1,COMPLETE
43,0.833,0.6,42:52.0,43:06.6,0 days 00:00:14.637015,lamp,FALSE,0.000218271,0.000737683,TRUE,0.35,0.019815908,TRUE,0.6,3,group,FALSE,,2.30E-05,0,COMPLETE
73,0.833,0.6,49:25.2,49:36.0,0 days 00:00:10.793875,lamp,FALSE,0.000285004,0.000737683,FALSE,,0.019815908,TRUE,0.6,1,group,FALSE,,2.30E-05,1,COMPLETE
20,0.832,0.7,38:16.5,38:29.2,0 days 00:00:12.701441,lamp,TRUE,0.000277271,0.006977765,TRUE,0.3,0.007244879,FALSE,0.7,2,base,TRUE,0.45,1.23E-05,0,COMPLETE
