number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
82,0.831,0.6,23:54.3,24:09.5,0 days 00:00:15.163861,lamp,FALSE,0.002031155,0.00019147,FALSE,,0.000313244,TRUE,0.6,1,bnscale,FALSE,,0.060987066,1,COMPLETE
15,0.830333333,0.6,09:49.6,10:04.2,0 days 00:00:14.652033,lamp,TRUE,0.007107491,0.001249939,FALSE,,0.000958718,TRUE,0.6,3,group,TRUE,0.1,0.000348348,0,COMPLETE
51,0.830333333,0.6,17:08.9,17:21.1,0 days 00:00:12.216321,group,FALSE,0.005629758,2.28E-05,TRUE,0.25,0.094143846,TRUE,0.6,2,base,TRUE,0.1,1.89E-05,1,COMPLETE
41,0.828,0.6,15:10.2,15:20.4,0 days 00:00:10.136444,fpgm,FALSE,0.002562657,0.000152094,FALSE,,0.098134597,FALSE,0.6,1,group,FALSE,,9.66E-05,0,COMPLETE
57,0.827333333,0.6,18:23.0,18:37.4,0 days 00:00:14.394928,fpgm,FALSE,0.007107491,0.001249939,FALSE,,5.72E-05,TRUE,0.6,3,base,TRUE,0.15,0.000369361,1,COMPLETE
12,0.826666667,0.6,09:10.9,09:23.9,0 days 00:00:12.982440,fpgm,TRUE,0.005629758,2.28E-05,FALSE,,0.094143846,TRUE,0.6,2,base,TRUE,0.35,1.89E-05,0,COMPLETE
24,0.826,0.5,11:42.8,11:57.1,0 days 00:00:14.363675,fpgm,FALSE,0.004376846,8.37E-05,FALSE,,5.72E-05,TRUE,0.5,3,base,FALSE,,0.000369361,0,COMPLETE
46,0.826,0.6,16:03.3,16:17.7,0 days 00:00:14.416924,fpgm,FALSE,0.001288068,6.19E-05,TRUE,0.15,0.0225467,FALSE,0.6,3,group,TRUE,0.5,5.23E-05,0,COMPLETE
1,0.825333333,0.6,06:52.7,07:02.9,0 days 00:00:10.258572,lamp,TRUE,0.004314428,1.11E-05,TRUE,0.5,0.002977296,TRUE,0.6,1,bnscale,FALSE,,0.018777485,0,COMPLETE
99,0.825,0.6,27:26.4,27:37.3,0 days 00:00:10.893513,group,TRUE,0.006807576,4.11E-05,TRUE,0.35,0.000287506,FALSE,0.6,1,bnscale,FALSE,,0.005309981,1,COMPLETE
71,0.824666667,0.6,21:11.4,21:21.5,0 days 00:00:10.140190,lamp,TRUE,0.007107491,0.004848858,FALSE,,0.000958718,TRUE,0.6,1,group,TRUE,0.45,0.000348348,1,COMPLETE
3,0.824333333,0.6,07:13.1,07:23.2,0 days 00:00:10.033434,group,FALSE,0.000292223,0.000506655,FALSE,,0.546211818,FALSE,0.6,1,group,FALSE,,0.01303482,0,COMPLETE
61,0.824,0.6,19:16.7,19:29.0,0 days 00:00:12.321870,fpgm,FALSE,0.002562657,0.000152094,FALSE,,0.098134597,FALSE,0.6,2,group,TRUE,0,9.66E-05,1,COMPLETE
73,0.822333333,0.6,21:35.8,21:46.0,0 days 00:00:10.236907,fpgm,FALSE,0.002304479,4.11E-05,TRUE,0.3,3.82E-05,TRUE,0.6,1,bnscale,FALSE,,0.000236948,1,COMPLETE
81,0.822333333,0.5,23:25.1,23:53.9,0 days 00:00:28.773249,group,TRUE,0.000859967,0.000755051,TRUE,0.1,0.000104559,FALSE,0.5,3,bnscale,FALSE,,7.32E-05,1,COMPLETE
96,0.822333333,0.6,26:51.7,27:03.8,0 days 00:00:12.165208,lamp,FALSE,0.000339861,1.62E-05,FALSE,,0.546211818,FALSE,0.6,2,group,FALSE,,0.01303482,1,COMPLETE
91,0.821,0.7,25:50.6,26:00.7,0 days 00:00:10.160170,fpgm,FALSE,0.002562657,1.23E-05,FALSE,,0.098134597,TRUE,0.7,1,bnscale,FALSE,,0.005471649,1,COMPLETE
38,0.819333333,0.5,14:31.2,14:45.5,0 days 00:00:14.350764,lamp,FALSE,0.000139368,2.83E-05,FALSE,,0.122750045,TRUE,0.5,3,base,FALSE,,2.50E-05,0,COMPLETE
33,0.818666667,0.6,13:29.6,13:39.8,0 days 00:00:10.206128,fpgm,FALSE,0.006807576,4.11E-05,TRUE,0.4,0.000510543,FALSE,0.6,1,bnscale,TRUE,0.2,0.005309981,0,COMPLETE
72,0.818666667,0.5,21:21.5,21:35.8,0 days 00:00:14.234127,fpgm,TRUE,0.00018376,0.000173569,FALSE,,0.000476494,TRUE,0.5,3,group,FALSE,,0.106768284,1,COMPLETE
26,0.818333333,0.5,12:09.5,12:19.8,0 days 00:00:10.323234,group,FALSE,0.000431236,0.000158135,FALSE,,0.168534097,TRUE,0.5,1,base,TRUE,0.05,0.003172628,0,COMPLETE
16,0.818,0.7,10:04.2,10:18.5,0 days 00:00:14.317590,lamp,TRUE,0.000759733,0.000274367,TRUE,0.1,0.471710502,TRUE,0.7,3,base,TRUE,0.25,0.045231701,0,COMPLETE
29,0.818,0.8,12:46.4,12:58.7,0 days 00:00:12.320979,fpgm,TRUE,0.005620335,0.000848422,TRUE,0.4,0.004279269,TRUE,0.8,2,group,TRUE,0.05,1.07E-05,0,COMPLETE
40,0.817666667,0.7,14:55.8,15:10.2,0 days 00:00:14.459785,group,FALSE,0.004297563,0.000321682,FALSE,,0.001214975,FALSE,0.7,3,bnscale,FALSE,,7.32E-05,0,COMPLETE
93,0.817666667,0.6,26:15.2,26:28.1,0 days 00:00:12.898102,fpgm,TRUE,0.000248226,6.12E-05,TRUE,0.35,0.002934256,FALSE,0.6,1,group,FALSE,,0.000236948,1,COMPLETE
43,0.817333333,0.7,15:30.6,15:42.9,0 days 00:00:12.293458,lamp,FALSE,0.000829407,0.00038438,FALSE,,2.84E-05,TRUE,0.7,2,bnscale,FALSE,,0.052517144,0,COMPLETE
67,0.817,0.8,20:24.4,20:36.7,0 days 00:00:12.249819,fpgm,TRUE,0.005620335,0.001349415,TRUE,0.5,0.738557622,TRUE,0.8,2,base,TRUE,0.35,0.000723827,1,COMPLETE
58,0.814666667,0.6,18:37.4,18:51.9,0 days 00:00:14.511793,lamp,TRUE,0.006502692,0.000152094,FALSE,,0.098134597,FALSE,0.6,3,group,FALSE,,0.000339533,1,COMPLETE
45,0.813666667,0.6,15:53.1,16:03.3,0 days 00:00:10.162485,fpgm,FALSE,0.002031155,0.00019147,FALSE,,0.000514288,TRUE,0.6,1,base,FALSE,,0.060987066,0,COMPLETE
59,0.813666667,0.6,18:51.9,19:02.3,0 days 00:00:10.342543,lamp,TRUE,0.000137176,0.004848858,FALSE,,0.001047474,FALSE,0.6,1,group,FALSE,,0.000339533,1,COMPLETE
66,0.813666667,0.7,20:14.2,20:24.4,0 days 00:00:10.168840,lamp,TRUE,0.004314428,1.11E-05,TRUE,0.15,0.002977296,FALSE,0.7,1,bnscale,FALSE,,0.018777485,1,COMPLETE
83,0.813666667,0.8,24:09.5,24:21.8,0 days 00:00:12.266699,lamp,TRUE,0.003330691,0.000175501,FALSE,,0.002326416,FALSE,0.8,2,group,FALSE,,0.005137128,1,COMPLETE
