number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
53,0.960650672,0.6,40:12.6,41:53.0,0 days 00:01:40.471717,lamp,TRUE,0.002042667,9.12E-05,FALSE,,0.041839845,FALSE,0.6,2,base,FALSE,,1.20E-05,1,COMPLETE
73,0.959832788,0.5,11:30.6,13:22.2,0 days 00:01:51.642818,lamp,FALSE,0.00057839,9.12E-05,FALSE,,0.000616723,FALSE,0.5,2,group,FALSE,,0.000244001,1,COMPLETE
7,0.959469284,0.8,28:14.4,29:32.2,0 days 00:01:17.765569,lamp,FALSE,0.002042667,9.12E-05,FALSE,,0.041839845,FALSE,0.8,2,base,FALSE,,3.00E-05,0,COMPLETE
64,0.95910578,0.5,56:07.5,58:24.6,0 days 00:02:17.139476,lamp,FALSE,0.000414501,0.000242401,TRUE,0.3,3.45E-05,FALSE,0.5,3,group,FALSE,,5.58E-05,1,COMPLETE
75,0.959014904,0.5,15:14.2,17:06.9,0 days 00:01:52.702387,group,TRUE,0.001296438,0.00018932,TRUE,0.4,4.53E-05,TRUE,0.5,2,base,TRUE,0,0.000239703,1,COMPLETE
37,0.958469647,0.6,15:19.9,16:56.7,0 days 00:01:36.819160,group,FALSE,0.000154697,0.00013251,TRUE,0.3,4.53E-05,TRUE,0.6,1,bnscale,FALSE,,0.00053789,0,COMPLETE
101,0.958378771,0.5,51:14.3,53:14.7,0 days 00:02:00.462272,group,TRUE,0.00072319,0.000233101,FALSE,,0.054281489,TRUE,0.5,3,base,TRUE,0.05,0.003174005,1,COMPLETE
23,0.958287895,0.9,54:53.7,55:49.2,0 days 00:00:55.501131,lamp,TRUE,0.003680744,1.79E-05,FALSE,,0.50641617,FALSE,0.9,1,base,TRUE,0,1.17E-05,0,COMPLETE
54,0.957924391,0.6,41:53.1,43:39.7,0 days 00:01:46.670302,lamp,FALSE,0.00057839,1.45E-05,FALSE,,0.001281112,TRUE,0.6,3,group,TRUE,0.15,0.000244001,1,COMPLETE
83,0.957924391,0.8,25:05.7,26:12.6,0 days 00:01:06.918809,group,TRUE,0.005855339,0.000117686,TRUE,0.3,0.028421893,TRUE,0.8,1,base,TRUE,0.1,0.000847284,1,COMPLETE
52,0.957833515,0.9,39:17.0,40:12.6,0 days 00:00:55.586542,lamp,FALSE,0.003680744,1.79E-05,FALSE,,0.50641617,FALSE,0.9,1,base,FALSE,,1.17E-05,1,COMPLETE
58,0.957742639,0.6,48:37.6,50:12.9,0 days 00:01:35.341811,group,FALSE,0.000154697,0.00073795,FALSE,,4.53E-05,FALSE,0.6,1,base,FALSE,,0.00053789,1,COMPLETE
