number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
75,0.957470011,0.9,16:33.1,19:28.9,0 days 00:02:55.810458,group,TRUE,0.005867953,0.000619531,TRUE,0,9.87E-05,FALSE,0.9,3,base,TRUE,0,0.000665371,1,COMPLETE
35,0.957015631,0.6,56:29.3,00:17.1,0 days 00:03:47.821062,group,TRUE,0.000270631,0.00012875,FALSE,,0.00316959,FALSE,0.6,1,group,FALSE,,4.16E-05,0,COMPLETE
26,0.956924755,0.7,26:39.7,30:14.0,0 days 00:03:34.332121,lamp,FALSE,0.004755216,0.002403277,FALSE,,0.02538237,FALSE,0.7,2,bnscale,FALSE,,0.000234008,0,COMPLETE
80,0.95656125,0.6,33:32.8,36:59.4,0 days 00:03:26.588980,lamp,FALSE,0.009152905,0.001433852,FALSE,,0.018030535,FALSE,0.6,1,bnscale,TRUE,0.25,0.000211704,1,COMPLETE
10,0.956379498,0.8,25:22.2,29:07.5,0 days 00:03:45.291743,fpgm,TRUE,0.000856784,0.001096061,TRUE,0.2,0.000129626,FALSE,0.8,3,group,FALSE,,4.93E-05,0,COMPLETE
91,0.956197746,0.6,08:26.8,11:58.8,0 days 00:03:32.037434,lamp,FALSE,0.000137485,2.49E-05,TRUE,0.25,2.12E-05,TRUE,0.6,1,bnscale,FALSE,,0.000665371,1,COMPLETE
21,0.955925118,0.6,06:46.1,10:35.3,0 days 00:03:49.215316,group,TRUE,0.002339088,0.000196769,FALSE,,0.000113839,FALSE,0.6,1,base,TRUE,0.45,0.000735769,0,COMPLETE
42,0.955834242,0.6,22:44.2,26:14.4,0 days 00:03:30.185968,fpgm,FALSE,0.001306943,0.000149012,FALSE,,0.008830949,FALSE,0.6,1,bnscale,TRUE,0.3,0.004512898,0,COMPLETE
8,0.955470738,0.6,15:07.7,20:14.6,0 days 00:05:06.837832,group,FALSE,0.009152905,0.001433852,FALSE,,0.084942402,FALSE,0.6,1,bnscale,TRUE,0.15,3.87E-05,0,COMPLETE
89,0.955470738,0.6,01:31.6,05:25.1,0 days 00:03:53.504226,group,FALSE,1.68E-05,0.00012875,FALSE,,9.87E-05,FALSE,0.6,1,group,FALSE,,2.19E-05,1,COMPLETE
72,0.955379862,0.9,07:15.6,10:13.1,0 days 00:02:57.475013,lamp,FALSE,0.007290816,0.001625158,TRUE,0,2.12E-05,TRUE,0.9,3,bnscale,FALSE,,0.000665371,1,COMPLETE
54,0.955107234,0.8,04:53.7,08:14.6,0 days 00:03:20.889757,lamp,TRUE,0.000381661,0.000218942,FALSE,,0.000146466,TRUE,0.8,2,group,FALSE,,0.000398796,1,COMPLETE
87,0.955107234,0.6,54:58.4,58:40.6,0 days 00:03:42.137731,lamp,FALSE,0.000275846,2.64E-05,TRUE,0,0.202078088,FALSE,0.6,3,bnscale,TRUE,0.35,0.000650328,1,COMPLETE
6,0.954834606,0.7,07:05.2,10:40.6,0 days 00:03:35.392168,group,TRUE,0.000278234,4.15E-05,FALSE,,0.004220994,FALSE,0.7,1,bnscale,TRUE,0.2,0.010817892,0,COMPLETE
82,0.954652854,0.7,39:41.3,43:04.0,0 days 00:03:22.691718,lamp,FALSE,1.05E-05,1.13E-05,FALSE,,3.22E-05,FALSE,0.7,1,group,FALSE,,0.000211704,1,COMPLETE
16,0.954471101,0.7,49:10.5,53:00.5,0 days 00:03:50.024374,fpgm,FALSE,0.000187234,6.86E-05,TRUE,0.1,0.043128122,FALSE,0.7,3,bnscale,TRUE,0.5,0.001549698,0,COMPLETE
67,0.954471101,0.7,50:39.5,54:10.8,0 days 00:03:31.299739,fpgm,TRUE,0.000270631,0.00012875,FALSE,,0.000658281,TRUE,0.7,1,bnscale,TRUE,0.4,2.48E-05,1,COMPLETE
90,0.954471101,0.8,05:25.1,08:26.8,0 days 00:03:01.710850,lamp,TRUE,0.000842855,0.000129443,TRUE,0.15,0.005544695,FALSE,0.8,2,group,FALSE,,0.000435418,1,COMPLETE
3,0.954380225,0.8,55:54.8,59:12.2,0 days 00:03:17.381673,lamp,TRUE,0.000381661,0.000218942,TRUE,0.45,1.12E-05,TRUE,0.8,2,group,FALSE,,0.000125042,0,COMPLETE
62,0.954380225,0.7,33:08.7,36:47.2,0 days 00:03:38.543467,lamp,TRUE,0.000278234,4.15E-05,TRUE,0.1,0.005544695,FALSE,0.7,3,bnscale,TRUE,0.1,0.000435418,1,COMPLETE
41,0.954289349,0.8,19:40.8,22:44.2,0 days 00:03:03.344669,group,TRUE,0.006680468,1.27E-05,FALSE,,1.39E-05,TRUE,0.8,2,group,TRUE,0.1,4.25E-05,0,COMPLETE
5,0.954016721,0.5,03:01.3,07:05.2,0 days 00:04:03.820827,group,TRUE,1.44E-05,0.001022487,FALSE,,0.000146466,TRUE,0.5,2,base,TRUE,0,0.000398796,0,COMPLETE
47,0.953471465,0.7,40:16.5,44:15.9,0 days 00:03:59.459524,lamp,FALSE,1.88E-05,0.000103176,FALSE,,0.004770575,TRUE,0.7,3,base,FALSE,,0.001550518,0,COMPLETE
53,0.953017085,0.7,00:56.2,04:53.7,0 days 00:03:57.552739,lamp,FALSE,1.05E-05,0.000218942,TRUE,0.15,0.018030535,FALSE,0.7,3,group,FALSE,,0.000211704,1,COMPLETE
23,0.952926209,0.6,14:11.1,18:06.7,0 days 00:03:55.679341,group,TRUE,0.000137485,2.49E-05,FALSE,,0.128075615,TRUE,0.6,3,bnscale,TRUE,0.1,0.01382023,0,COMPLETE
56,0.952835333,0.6,11:32.7,15:36.7,0 days 00:04:04.000545,group,TRUE,3.50E-05,1.89E-05,FALSE,,0.133351761,FALSE,0.6,3,bnscale,FALSE,,0.014841685,1,COMPLETE
79,0.952744457,0.7,30:00.7,33:32.7,0 days 00:03:32.017485,lamp,TRUE,0.000842855,0.00019661,TRUE,0.2,0.001256638,TRUE,0.7,2,group,TRUE,0.15,0.017622525,1,COMPLETE
97,0.952653581,0.8,31:28.5,34:37.6,0 days 00:03:09.180329,lamp,TRUE,0.007290816,0.000218942,TRUE,0.45,1.12E-05,TRUE,0.8,2,bnscale,FALSE,,0.000665371,1,COMPLETE
98,0.952562704,0.7,34:37.7,38:14.9,0 days 00:03:37.276051,lamp,TRUE,0.006680468,0.000103176,FALSE,,1.39E-05,TRUE,0.7,2,base,TRUE,0,0.001550518,1,COMPLETE
95,0.952471828,0.6,23:25.2,28:00.0,0 days 00:04:34.800319,lamp,FALSE,5.05E-05,2.47E-05,TRUE,0.15,0.247320059,FALSE,0.6,2,bnscale,FALSE,,0.265598298,1,COMPLETE
63,0.952380952,0.7,36:47.2,40:43.1,0 days 00:03:55.806215,fpgm,TRUE,0.000173503,0.00155391,TRUE,0.4,1.96E-05,TRUE,0.7,2,bnscale,FALSE,,0.005219945,1,COMPLETE
77,0.952380952,0.7,23:20.0,27:07.4,0 days 00:03:47.440335,fpgm,TRUE,0.001076347,0.000129443,FALSE,,0.015574481,TRUE,0.7,3,group,TRUE,0,0.017622525,1,COMPLETE
28,0.952290076,0.6,32:57.9,36:37.1,0 days 00:03:39.184551,group,TRUE,3.50E-05,2.47E-05,TRUE,0.25,0.133351761,FALSE,0.6,2,bnscale,FALSE,,0.265598298,0,COMPLETE
17,0.952108324,0.6,53:00.5,56:56.0,0 days 00:03:55.459820,group,TRUE,0.002536866,6.63E-05,TRUE,0.1,0.000573637,TRUE,0.6,3,bnscale,FALSE,,0.005021028,0,COMPLETE
96,0.951926572,0.8,28:00.1,31:28.4,0 days 00:03:28.377753,fpgm,TRUE,5.21E-05,0.000106375,TRUE,0.4,0.000117063,TRUE,0.8,2,group,FALSE,,6.80E-05,1,COMPLETE
4,0.951835696,0.7,59:12.2,03:01.3,0 days 00:03:49.121653,fpgm,TRUE,0.000842855,0.000129443,TRUE,0.5,0.015574481,FALSE,0.7,2,group,TRUE,0.15,0.017622525,0,COMPLETE
14,0.951835696,0.8,42:48.9,46:01.1,0 days 00:03:12.187927,group,TRUE,1.68E-05,0.000792688,FALSE,,9.87E-05,FALSE,0.8,2,group,TRUE,0.3,2.19E-05,0,COMPLETE
59,0.95174482,0.8,23:33.5,26:53.9,0 days 00:03:20.447101,group,TRUE,0.006680468,0.000286125,FALSE,,1.39E-05,TRUE,0.8,2,group,TRUE,0.5,4.25E-05,1,COMPLETE
