number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
13,0.959259259,0.6,07:58.7,08:57.8,0 days 00:00:59.070307,lamp,FALSE,0.00458071,0.001188514,TRUE,0.3,0.005874275,TRUE,0.6,1,base,FALSE,,2.53E-05,0,COMPLETE
86,0.959041394,0.6,11:58.4,12:57.3,0 days 00:00:58.928322,lamp,FALSE,0.00458071,0.001188514,FALSE,,0.005874275,TRUE,0.6,1,group,FALSE,,2.53E-05,1,COMPLETE
67,0.957734205,0.5,55:38.5,56:45.2,0 days 00:01:06.683313,group,TRUE,0.001708779,0.000676525,FALSE,,0.001738359,TRUE,0.5,1,bnscale,FALSE,,0.000103889,1,COMPLETE
0,0.956862745,0.6,55:54.2,56:55.4,0 days 00:01:01.248836,fpgm,FALSE,0.002594973,0.005773475,FALSE,,4.58E-05,TRUE,0.6,2,group,FALSE,,0.000105031,0,COMPLETE
38,0.956862745,0.6,31:03.7,32:06.4,0 days 00:01:02.687952,lamp,TRUE,0.00337823,5.63E-05,TRUE,0.15,1.10E-05,TRUE,0.6,2,group,FALSE,,0.000152175,0,COMPLETE
17,0.95620915,0.7,11:45.7,12:43.8,0 days 00:00:58.040807,lamp,FALSE,0.002762772,0.000417162,FALSE,,4.75E-05,TRUE,0.7,3,bnscale,FALSE,,2.79E-05,0,COMPLETE
55,0.95577342,0.5,46:01.9,47:14.5,0 days 00:01:12.569775,lamp,TRUE,0.000311431,6.54E-05,TRUE,0.15,1.65E-05,TRUE,0.5,3,group,FALSE,,0.005779126,1,COMPLETE
79,0.954684096,0.6,06:03.6,07:05.4,0 days 00:01:01.835783,group,TRUE,0.005236237,0.00021268,FALSE,,0.002626695,FALSE,0.6,2,group,TRUE,0,1.13E-05,1,COMPLETE
57,0.954248366,0.6,48:01.3,49:07.1,0 days 00:01:05.883509,lamp,TRUE,0.000171465,0.000640553,FALSE,,0.112465987,TRUE,0.6,3,group,FALSE,,0.000135895,1,COMPLETE
32,0.953812636,0.5,25:30.5,26:36.5,0 days 00:01:05.994604,lamp,FALSE,0.000290541,0.000178043,TRUE,0.1,3.43E-05,TRUE,0.5,1,group,TRUE,0.45,0.001230106,0,COMPLETE
