number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
5,0.963616558,0.6,42:40.4,43:25.8,0 days 00:00:45.434017,group,FALSE,0.000808903,0.000322122,FALSE,,0.001476691,TRUE,0.6,2,bnscale,TRUE,0.3,2.76E-05,0,COMPLETE
44,0.961002179,0.6,12:36.2,13:21.7,0 days 00:00:45.552001,lamp,FALSE,0.00085197,0.000818229,FALSE,,0.017454485,FALSE,0.6,2,base,FALSE,,3.12E-05,0,COMPLETE
25,0.960130719,0.6,58:20.1,59:05.5,0 days 00:00:45.443046,fpgm,TRUE,0.000970057,4.65E-05,FALSE,,7.62E-05,FALSE,0.6,2,bnscale,TRUE,0.2,0.002638121,0,COMPLETE
53,0.960130719,0.6,19:40.0,20:25.5,0 days 00:00:45.551753,lamp,TRUE,0.000440005,0.001192861,FALSE,,0.647862408,TRUE,0.6,2,bnscale,FALSE,,0.000473536,1,COMPLETE
54,0.959694989,0.6,20:25.5,21:10.7,0 days 00:00:45.110568,fpgm,FALSE,0.000582244,0.005784298,FALSE,,0.00027555,TRUE,0.6,2,base,TRUE,0.45,5.11E-05,1,COMPLETE
56,0.959694989,0.5,22:00.8,22:47.0,0 days 00:00:46.183598,fpgm,TRUE,0.000160894,0.000176412,TRUE,0.05,0.000373571,TRUE,0.5,2,group,FALSE,,0.001121235,1,COMPLETE
95,0.959694989,0.7,52:13.5,52:58.1,0 days 00:00:44.565037,group,TRUE,0.000582244,0.002464216,TRUE,0.15,0.000738419,TRUE,0.7,2,base,TRUE,0.15,5.11E-05,1,COMPLETE
62,0.959041394,0.5,26:32.3,27:14.6,0 days 00:00:42.307864,group,FALSE,0.000468487,0.000998362,FALSE,,0.000165982,TRUE,0.5,1,group,TRUE,0,0.002652981,1,COMPLETE
66,0.957734205,0.5,29:32.1,30:21.8,0 days 00:00:49.756101,fpgm,FALSE,0.000468487,0.000219874,FALSE,,0.001993811,FALSE,0.5,3,base,FALSE,,0.002652981,1,COMPLETE
88,0.956862745,0.6,46:41.5,47:26.5,0 days 00:00:45.044277,group,TRUE,0.00085197,0.000818229,TRUE,0.45,0.0438768,FALSE,0.6,2,base,FALSE,,5.39E-05,1,COMPLETE
24,0.95664488,0.6,57:34.4,58:20.1,0 days 00:00:45.688452,fpgm,FALSE,0.003462108,0.003327791,TRUE,0,0.006378926,FALSE,0.6,2,bnscale,FALSE,,0.000346672,0,COMPLETE
23,0.956427015,0.5,56:52.3,57:34.3,0 days 00:00:42.075129,fpgm,FALSE,0.000468487,0.000219874,FALSE,,0.004242543,FALSE,0.5,1,bnscale,TRUE,0.4,0.002652981,0,COMPLETE
22,0.95577342,0.8,56:02.3,56:52.2,0 days 00:00:49.968103,group,TRUE,0.004474569,0.000126588,FALSE,,0.00123698,TRUE,0.8,3,group,FALSE,,1.10E-05,0,COMPLETE
21,0.955555556,0.5,55:19.7,56:02.3,0 days 00:00:42.511658,group,FALSE,0.004819433,0.000538138,FALSE,,9.12E-05,TRUE,0.5,1,base,FALSE,,2.57E-05,0,COMPLETE
98,0.953376906,0.8,54:24.8,55:10.5,0 days 00:00:45.633086,lamp,FALSE,0.004474569,0.000126588,FALSE,,0.00123698,FALSE,0.8,2,base,FALSE,,1.10E-05,1,COMPLETE
40,0.952941176,0.5,09:40.4,10:26.4,0 days 00:00:46.006171,fpgm,TRUE,0.000160894,0.000245073,TRUE,0.35,0.000373571,TRUE,0.5,2,group,FALSE,,0.003517262,0,COMPLETE
