number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
16,0.975024155,0.5,53:42.9,55:06.0,0 days 00:01:23.050547,group,TRUE,0.006640011,0.001037698,FALSE,,0.005988251,TRUE,0.5,1,bnscale,TRUE,0.2,0.000264987,0,COMPLETE
82,0.97410628,0.5,32:00.4,33:32.8,0 days 00:01:32.422676,lamp,FALSE,0.001303369,0.000945982,TRUE,0.15,0.001090269,FALSE,0.5,2,base,TRUE,0,2.12E-05,1,COMPLETE
81,0.973961353,0.5,30:32.2,32:00.3,0 days 00:01:28.104779,group,FALSE,0.001011678,0.001037698,FALSE,,0.005988251,FALSE,0.5,1,bnscale,TRUE,0.05,0.000337419,1,COMPLETE
83,0.973913043,0.7,33:32.8,34:55.6,0 days 00:01:22.763459,lamp,FALSE,0.001005384,0.000195198,FALSE,,8.17E-05,TRUE,0.7,1,base,FALSE,,0.00053813,1,COMPLETE
79,0.973768116,0.6,27:27.2,28:50.2,0 days 00:01:23.007651,lamp,TRUE,0.003067963,0.001422429,FALSE,,0.000341533,FALSE,0.6,1,base,TRUE,0.4,3.54E-05,1,COMPLETE
44,0.973623188,0.8,35:21.4,36:53.6,0 days 00:01:32.196294,group,TRUE,0.006425342,8.60E-05,TRUE,0.5,0.541925311,TRUE,0.8,3,bnscale,FALSE,,4.41E-05,0,COMPLETE
39,0.973236715,0.5,28:01.7,29:35.5,0 days 00:01:33.833035,lamp,FALSE,0.005090587,0.000945982,TRUE,0,1.46E-05,FALSE,0.5,2,group,TRUE,0.35,2.12E-05,0,COMPLETE
9,0.973091787,0.7,43:07.7,44:30.4,0 days 00:01:22.733338,lamp,FALSE,0.001736135,0.004807854,TRUE,0.45,0.001333705,TRUE,0.7,1,base,TRUE,0.3,9.13E-05,0,COMPLETE
63,0.973091787,0.5,03:35.2,04:58.2,0 days 00:01:22.992296,group,TRUE,0.000141087,0.001037698,TRUE,0,0.005988251,TRUE,0.5,1,group,TRUE,0.4,0.000264987,1,COMPLETE
51,0.972801932,0.7,45:31.4,46:54.1,0 days 00:01:22.698136,lamp,TRUE,0.001005384,4.05E-05,FALSE,,8.17E-05,FALSE,0.7,1,bnscale,FALSE,,1.29E-05,1,COMPLETE
66,0.972801932,0.7,08:01.4,09:31.9,0 days 00:01:30.522588,lamp,TRUE,0.001005384,0.000945982,TRUE,0.5,0.000235132,FALSE,0.7,2,bnscale,FALSE,,2.12E-05,1,COMPLETE
95,0.972753623,0.8,51:47.4,53:28.5,0 days 00:01:41.123544,fpgm,TRUE,0.006425342,8.60E-05,TRUE,0.2,0.541925311,TRUE,0.8,3,bnscale,FALSE,,4.41E-05,1,COMPLETE
67,0.972705314,0.7,09:32.0,11:02.0,0 days 00:01:30.047336,group,FALSE,0.001303369,0.002188256,TRUE,0.3,0.000245238,TRUE,0.7,2,group,TRUE,0,7.83E-05,1,COMPLETE
78,0.972657005,0.7,25:49.5,27:27.2,0 days 00:01:37.620276,group,TRUE,0.006425342,8.60E-05,TRUE,0.25,0.713288032,TRUE,0.7,3,bnscale,FALSE,,0.000111042,1,COMPLETE
37,0.972608696,0.5,24:50.0,26:29.8,0 days 00:01:39.837282,lamp,FALSE,8.17E-05,0.000168129,TRUE,0.5,0.000198676,FALSE,0.5,3,group,TRUE,0.3,0.005528139,0,COMPLETE
3,0.972560386,0.7,34:04.1,35:27.2,0 days 00:01:23.086131,lamp,TRUE,0.001005384,4.05E-05,TRUE,0.05,0.000235132,FALSE,0.7,1,bnscale,FALSE,,1.29E-05,0,COMPLETE
40,0.972560386,0.6,29:35.5,31:14.1,0 days 00:01:38.531419,lamp,TRUE,7.88E-05,0.000738212,FALSE,,0.000119045,FALSE,0.6,3,bnscale,FALSE,,0.006288199,0,COMPLETE
4,0.972463768,0.6,35:27.2,37:05.2,0 days 00:01:38.040188,group,FALSE,0.000359454,1.26E-05,FALSE,,0.00041662,FALSE,0.6,3,base,TRUE,0.3,1.06E-05,0,COMPLETE
20,0.97236715,0.5,59:33.0,01:14.2,0 days 00:01:41.145413,fpgm,TRUE,6.83E-05,0.001422429,FALSE,,2.45E-05,FALSE,0.5,3,base,TRUE,0.1,3.54E-05,0,COMPLETE
6,0.972318841,0.6,38:48.2,40:10.8,0 days 00:01:22.554863,lamp,FALSE,0.003067963,0.005126377,TRUE,0.45,0.002953731,TRUE,0.6,1,base,TRUE,0.4,0.003250903,0,COMPLETE
98,0.972270531,0.5,57:05.6,58:55.3,0 days 00:01:49.712525,lamp,FALSE,0.006640011,4.96E-05,TRUE,0.35,0.005988251,FALSE,0.5,2,group,FALSE,,0.000264987,1,COMPLETE
99,0.972125604,0.5,58:55.3,00:55.1,0 days 00:01:59.799598,lamp,TRUE,5.53E-05,0.006279544,TRUE,0,0.000250856,TRUE,0.5,3,group,FALSE,,0.006288199,1,COMPLETE
56,0.972077295,0.7,53:07.9,54:37.1,0 days 00:01:29.255151,fpgm,FALSE,0.007156164,0.000107978,FALSE,,0.058259954,TRUE,0.7,2,bnscale,FALSE,,0.001399327,1,COMPLETE
65,0.971980676,0.5,06:21.1,08:01.4,0 days 00:01:40.301156,lamp,FALSE,6.10E-05,0.006279544,FALSE,,0.000250856,TRUE,0.5,3,base,TRUE,0.5,0.023668489,1,COMPLETE
36,0.971932367,0.7,23:21.9,24:50.0,0 days 00:01:28.038791,group,FALSE,0.000141087,0.000168677,TRUE,0.35,0.003365617,FALSE,0.7,2,group,FALSE,,0.007049815,0,COMPLETE
13,0.971884058,0.6,48:57.6,50:28.0,0 days 00:01:30.376760,lamp,FALSE,0.0019713,0.00040194,TRUE,0.5,0.065892294,TRUE,0.6,2,base,TRUE,0.05,0.002758579,0,COMPLETE
53,0.971835749,0.8,48:32.0,50:04.2,0 days 00:01:32.210770,lamp,TRUE,0.006949277,0.000738212,TRUE,0.15,0.000545642,FALSE,0.8,3,bnscale,TRUE,0.35,0.006288199,1,COMPLETE
70,0.97178744,0.8,14:09.7,15:41.9,0 days 00:01:32.226770,lamp,TRUE,0.003474147,2.51E-05,FALSE,,3.15E-05,FALSE,0.8,3,base,TRUE,0.1,0.002522366,1,COMPLETE
75,0.97178744,0.8,21:40.8,23:06.6,0 days 00:01:25.814546,group,FALSE,0.000997395,2.20E-05,FALSE,,0.00686807,FALSE,0.8,2,base,FALSE,,0.000110256,1,COMPLETE
19,0.971594203,0.8,58:16.4,59:33.0,0 days 00:01:16.621277,fpgm,TRUE,0.008678958,3.68E-05,TRUE,0,0.689431541,FALSE,0.8,1,bnscale,TRUE,0.05,0.00480673,0,COMPLETE
96,0.971545894,0.7,53:28.5,55:14.2,0 days 00:01:45.638664,group,FALSE,0.000553552,0.003918678,FALSE,,7.99E-05,TRUE,0.7,3,group,FALSE,,0.007049815,1,COMPLETE
48,0.971497585,0.7,41:21.0,42:49.9,0 days 00:01:28.897375,group,FALSE,5.37E-05,0.000107978,TRUE,0.25,0.000245238,TRUE,0.7,2,group,TRUE,0.2,0.001399327,0,COMPLETE
58,0.971352657,0.7,56:03.1,57:24.5,0 days 00:01:21.421874,fpgm,FALSE,0.001011678,2.98E-05,TRUE,0,5.25E-05,FALSE,0.7,1,group,TRUE,0.25,0.007049815,1,COMPLETE
38,0.971111111,0.8,26:29.8,28:01.7,0 days 00:01:31.824250,group,TRUE,0.003474147,2.51E-05,TRUE,0.3,0.000117189,FALSE,0.8,3,base,FALSE,,0.002522366,0,COMPLETE
14,0.970869565,0.5,50:28.0,52:08.9,0 days 00:01:40.919153,lamp,TRUE,6.10E-05,0.004233745,FALSE,,0.000951995,TRUE,0.5,3,group,FALSE,,0.023668489,0,COMPLETE
62,0.970869565,0.8,02:02.9,03:35.2,0 days 00:01:32.280807,fpgm,TRUE,0.006425342,8.60E-05,TRUE,0.1,0.541925311,TRUE,0.8,3,bnscale,TRUE,0.05,0.00480673,1,COMPLETE
34,0.970821256,0.8,20:39.6,21:56.0,0 days 00:01:16.368755,fpgm,TRUE,0.006949277,0.001935108,TRUE,0.35,0.000545642,FALSE,0.8,1,base,TRUE,0.35,0.006921268,0,COMPLETE
60,0.970821256,0.8,58:56.3,00:28.0,0 days 00:01:31.666801,group,TRUE,0.001016035,0.000195198,FALSE,,8.17E-05,TRUE,0.8,3,group,FALSE,,0.000188095,1,COMPLETE
35,0.970676329,0.5,21:56.0,23:21.9,0 days 00:01:25.916747,fpgm,FALSE,2.50E-05,0.003980376,TRUE,0.2,0.002079049,TRUE,0.5,1,bnscale,FALSE,,0.05212716,0,COMPLETE
97,0.970628019,0.8,55:14.2,57:05.5,0 days 00:01:51.336162,fpgm,FALSE,0.000997395,6.88E-05,FALSE,,0.047265543,TRUE,0.8,3,base,TRUE,0.45,0.024948764,1,COMPLETE
7,0.970338164,0.7,40:10.8,41:41.4,0 days 00:01:30.637577,fpgm,TRUE,9.01E-05,8.13E-05,TRUE,0.4,0.000127219,FALSE,0.7,2,base,TRUE,0,5.27E-05,0,COMPLETE
73,0.970289855,0.7,18:35.3,20:06.2,0 days 00:01:30.825981,lamp,TRUE,3.62E-05,0.0002232,TRUE,0.45,0.000127219,FALSE,0.7,2,base,FALSE,,5.27E-05,1,COMPLETE
72,0.970193237,0.7,17:07.0,18:35.3,0 days 00:01:28.295772,group,FALSE,5.37E-05,0.003980376,TRUE,0.45,0.002079049,TRUE,0.7,2,group,FALSE,,0.05212716,1,COMPLETE
32,0.970144928,0.7,17:36.1,19:06.7,0 days 00:01:30.577634,lamp,FALSE,0.00010728,4.96E-05,TRUE,0.3,1.05E-05,FALSE,0.7,2,group,FALSE,,1.27E-05,0,COMPLETE
43,0.97,0.7,33:50.6,35:21.4,0 days 00:01:30.826282,lamp,TRUE,0.002209349,0.000785342,TRUE,0.35,0.293311393,TRUE,0.7,2,base,FALSE,,0.015606746,0,COMPLETE
85,0.969758454,0.7,36:18.8,37:49.4,0 days 00:01:30.522660,lamp,FALSE,0.000338403,0.000201113,FALSE,,0.007090389,FALSE,0.7,2,base,FALSE,,0.028392248,1,COMPLETE
90,0.969758454,0.7,43:48.4,45:28.2,0 days 00:01:39.739762,fpgm,FALSE,0.002743745,0.000785342,TRUE,0.05,2.60E-05,FALSE,0.7,2,base,FALSE,,0.015295608,1,COMPLETE
31,0.969613527,0.8,16:10.7,17:36.1,0 days 00:01:25.402748,lamp,FALSE,9.22E-05,0.000186436,TRUE,0.2,0.001063142,TRUE,0.8,2,base,TRUE,0.3,0.00629559,0,COMPLETE
17,0.969371981,0.8,55:06.0,56:38.2,0 days 00:01:32.205715,fpgm,TRUE,0.001016035,0.000583617,FALSE,,3.15E-05,FALSE,0.8,3,bnscale,TRUE,0.5,0.000188095,0,COMPLETE
55,0.969371981,0.7,51:30.0,53:07.8,0 days 00:01:37.842459,lamp,FALSE,0.000440642,4.05E-05,TRUE,0.1,0.024986437,FALSE,0.7,3,bnscale,TRUE,0.35,1.29E-05,1,COMPLETE
33,0.969227053,0.6,19:06.7,20:39.6,0 days 00:01:32.830481,group,FALSE,1.05E-05,0.001719755,FALSE,,0.004258392,TRUE,0.6,2,group,FALSE,,2.13E-05,0,COMPLETE
5,0.969178744,0.5,37:05.3,38:48.2,0 days 00:01:42.913090,fpgm,FALSE,0.000312485,0.000136725,FALSE,,0.045013788,FALSE,0.5,3,base,TRUE,0,0.052425535,0,COMPLETE
21,0.969130435,0.7,01:14.2,02:51.9,0 days 00:01:37.706979,lamp,TRUE,0.002743745,0.000201113,FALSE,,2.60E-05,FALSE,0.7,3,base,FALSE,,0.015295608,0,COMPLETE
52,0.968888889,0.7,46:54.1,48:32.0,0 days 00:01:37.888607,fpgm,TRUE,9.01E-05,8.13E-05,TRUE,0.25,0.000235132,TRUE,0.7,3,bnscale,TRUE,0.05,1.29E-05,1,COMPLETE
46,0.968502415,0.8,38:19.6,39:47.0,0 days 00:01:27.447915,fpgm,FALSE,0.000997395,6.88E-05,FALSE,,0.047265543,FALSE,0.8,2,base,TRUE,0.15,4.96E-05,0,COMPLETE
88,0.968454106,0.8,40:41.5,42:12.1,0 days 00:01:30.655101,group,FALSE,0.000141087,0.000168677,TRUE,0.25,0.003365617,FALSE,0.8,2,group,FALSE,,0.007049815,1,COMPLETE
