number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
59,0.969275362,0.5,42:32.1,50:19.1,0 days 00:07:47.033444,fpgm,TRUE,0.005600459,3.78E-05,FALSE,,0.530969684,TRUE,0.5,1,base,FALSE,,2.07E-05,1,COMPLETE
38,0.968067633,0.6,55:46.2,03:44.0,0 days 00:07:57.809339,group,FALSE,0.002892981,1.33E-05,TRUE,0.2,0.000430413,TRUE,0.6,2,group,FALSE,,9.39E-05,0,COMPLETE
67,0.967584541,0.6,49:06.6,57:34.0,0 days 00:08:27.395127,group,FALSE,0.001535623,0.00615487,TRUE,0.3,0.006315761,TRUE,0.6,2,base,FALSE,,9.39E-05,1,COMPLETE
37,0.967487923,0.5,47:47.8,55:46.2,0 days 00:07:58.361749,lamp,TRUE,0.00059402,8.08E-05,TRUE,0.2,4.52E-05,TRUE,0.5,2,bnscale,FALSE,,0.001484476,0,COMPLETE
99,0.966956522,0.7,21:30.8,29:27.5,0 days 00:07:56.740102,group,TRUE,0.006869499,0.003068305,TRUE,0.2,0.160522457,FALSE,0.7,2,group,FALSE,,0.005905662,1,COMPLETE
11,0.966714976,0.5,21:06.4,29:14.7,0 days 00:08:08.262130,lamp,TRUE,0.005600459,4.74E-05,TRUE,0.05,0.530969684,TRUE,0.5,3,bnscale,TRUE,0.45,2.07E-05,0,COMPLETE
14,0.966425121,0.5,45:00.1,52:48.0,0 days 00:07:47.898286,fpgm,FALSE,0.001682429,0.001115954,FALSE,,0.026736765,FALSE,0.5,1,base,TRUE,0.3,2.92E-05,0,COMPLETE
48,0.965797101,0.7,15:20.3,23:08.0,0 days 00:07:47.723514,lamp,FALSE,0.005899415,0.003068305,TRUE,0.25,0.160522457,FALSE,0.7,1,bnscale,FALSE,,2.88E-05,0,COMPLETE
56,0.965652174,0.7,18:51.1,26:38.0,0 days 00:07:46.921544,group,FALSE,0.000715675,0.002625978,FALSE,,0.000230421,FALSE,0.7,1,bnscale,TRUE,0.05,0.008104794,1,COMPLETE
63,0.9652657,0.5,15:40.2,23:57.4,0 days 00:08:17.119766,lamp,TRUE,0.005600459,4.74E-05,TRUE,0.45,0.530969684,TRUE,0.5,3,bnscale,TRUE,0.2,2.07E-05,1,COMPLETE
52,0.965024155,0.6,47:11.6,55:09.9,0 days 00:07:58.251915,fpgm,TRUE,0.000515499,0.000299471,FALSE,,6.64E-05,FALSE,0.6,2,base,TRUE,0,0.45005532,1,COMPLETE
1,0.964830918,0.5,01:22.7,09:31.2,0 days 00:08:08.459759,group,TRUE,0.000501291,9.58E-05,TRUE,0.35,0.000713079,FALSE,0.5,3,base,TRUE,0.3,0.004942566,0,COMPLETE
13,0.964444444,0.7,37:01.6,45:00.0,0 days 00:07:58.423304,lamp,TRUE,0.000416249,4.45E-05,FALSE,,0.092813255,FALSE,0.7,2,group,TRUE,0.15,0.017491316,0,COMPLETE
36,0.964396135,0.7,39:40.0,47:47.8,0 days 00:08:07.746385,group,FALSE,0.000715675,3.90E-05,FALSE,,0.942074607,FALSE,0.7,2,bnscale,TRUE,0.1,0.001504633,0,COMPLETE
32,0.964299517,0.8,07:58.9,15:45.9,0 days 00:07:46.977775,fpgm,FALSE,0.004055372,0.000155961,FALSE,,0.014686541,TRUE,0.8,1,bnscale,FALSE,,0.001713395,0,COMPLETE
29,0.964009662,0.5,43:55.2,51:53.3,0 days 00:07:58.113684,lamp,TRUE,0.004082683,0.001991568,FALSE,,0.000213318,TRUE,0.5,2,bnscale,TRUE,0.05,0.432095599,0,COMPLETE
51,0.963574879,0.8,39:14.2,47:11.6,0 days 00:07:57.379590,lamp,TRUE,0.000416249,4.45E-05,TRUE,0.5,0.092813255,TRUE,0.8,2,group,FALSE,,0.017491316,1,COMPLETE
31,0.963381643,0.8,00:01.6,07:58.9,0 days 00:07:57.268346,group,TRUE,0.006869499,3.80E-05,TRUE,0.1,0.283429374,TRUE,0.8,2,group,FALSE,,0.005905662,0,COMPLETE
24,0.963285024,0.6,04:15.2,12:12.8,0 days 00:07:57.529840,fpgm,TRUE,0.000515499,0.000299471,FALSE,,6.64E-05,FALSE,0.6,2,base,TRUE,0.05,0.000424786,0,COMPLETE
81,0.963236715,0.7,46:02.5,54:01.7,0 days 00:07:59.272301,fpgm,TRUE,0.000527099,1.55E-05,TRUE,0.05,5.49E-05,TRUE,0.7,2,group,FALSE,,0.003219737,1,COMPLETE
69,0.963188406,0.8,05:45.9,13:58.4,0 days 00:08:12.492454,fpgm,TRUE,0.004055372,0.000155961,FALSE,,0.014686541,TRUE,0.8,1,bnscale,FALSE,,0.001713395,1,COMPLETE
71,0.962850242,0.8,22:14.0,30:38.7,0 days 00:08:24.679285,lamp,FALSE,0.000474888,0.002625978,TRUE,0.2,0.00148458,FALSE,0.8,2,bnscale,FALSE,,0.008104794,1,COMPLETE
73,0.962801932,0.8,38:52.7,46:55.4,0 days 00:08:02.698023,lamp,FALSE,0.004055372,0.000155961,FALSE,,0.007429612,TRUE,0.8,1,group,TRUE,0.1,0.001713395,1,COMPLETE
57,0.962463768,0.8,26:38.0,34:35.2,0 days 00:07:57.191962,group,FALSE,0.006869499,3.80E-05,TRUE,0.45,0.000881226,FALSE,0.8,2,base,FALSE,,0.005905662,1,COMPLETE
82,0.962415459,0.8,54:01.8,02:17.6,0 days 00:08:15.848977,lamp,TRUE,0.00059402,3.80E-05,TRUE,0.3,4.52E-05,TRUE,0.8,2,group,FALSE,,0.001484476,1,COMPLETE
88,0.962415459,0.8,49:09.2,58:47.8,0 days 00:09:38.621524,fpgm,FALSE,0.004055372,0.000155961,FALSE,,0.014686541,TRUE,0.8,1,bnscale,FALSE,,0.001713395,1,COMPLETE
66,0.961884058,0.7,40:43.3,49:06.5,0 days 00:08:23.194390,group,FALSE,0.000715675,0.000541723,FALSE,,2.16E-05,TRUE,0.7,2,base,FALSE,,3.80E-05,1,COMPLETE
22,0.96178744,0.7,48:20.4,56:18.1,0 days 00:07:57.645563,lamp,FALSE,0.001005476,0.000892578,FALSE,,0.007429612,TRUE,0.7,2,group,TRUE,0.5,0.000688223,0,COMPLETE
84,0.961690821,0.5,10:54.9,19:47.1,0 days 00:08:52.160032,lamp,TRUE,0.000501291,3.78E-05,FALSE,,0.047774797,FALSE,0.5,1,base,TRUE,0.5,0.000312283,1,COMPLETE
55,0.961642512,0.8,11:04.5,18:51.1,0 days 00:07:46.527824,group,FALSE,0.004055372,3.80E-05,FALSE,,0.283429374,TRUE,0.8,1,bnscale,FALSE,,0.001713395,1,COMPLETE
76,0.961642512,0.7,03:44.2,12:23.1,0 days 00:08:38.914927,group,TRUE,0.00042341,0.000991823,TRUE,0.35,0.000230421,FALSE,0.7,1,group,TRUE,0.45,0.000151123,1,COMPLETE
77,0.961642512,0.6,12:23.1,20:50.1,0 days 00:08:26.951039,fpgm,TRUE,0.000515499,4.45E-05,FALSE,,0.092813255,FALSE,0.6,2,base,TRUE,0.35,1.31E-05,1,COMPLETE
50,0.961594203,0.8,31:16.6,39:14.2,0 days 00:07:57.579618,group,TRUE,0.002892981,1.33E-05,TRUE,0.45,0.014686541,TRUE,0.8,2,group,FALSE,,9.39E-05,1,COMPLETE
26,0.961497585,0.8,20:02.1,27:59.7,0 days 00:07:57.598887,fpgm,FALSE,0.000597465,0.001042767,TRUE,0,0.001666094,FALSE,0.8,2,group,FALSE,,0.029889162,0,COMPLETE
90,0.961207729,0.8,07:33.8,16:12.9,0 days 00:08:39.108189,fpgm,FALSE,0.000260554,0.001042767,FALSE,,0.001666094,FALSE,0.8,2,group,FALSE,,0.009180313,1,COMPLETE
43,0.960821256,0.8,35:43.2,43:29.8,0 days 00:07:46.627287,lamp,FALSE,0.00042341,0.002625978,TRUE,0.05,0.000230421,FALSE,0.8,1,group,TRUE,0.4,0.008104794,0,COMPLETE
35,0.960676329,0.6,31:41.6,39:40.0,0 days 00:07:58.376785,group,FALSE,0.006016576,0.000247684,TRUE,0.2,0.000354217,TRUE,0.6,2,group,FALSE,,0.181291099,0,COMPLETE
65,0.960676329,0.6,32:19.5,40:43.3,0 days 00:08:23.861376,lamp,FALSE,0.006016576,0.000247684,TRUE,0.4,0.000213318,TRUE,0.6,2,bnscale,FALSE,,0.181291099,1,COMPLETE
70,0.96057971,0.5,13:58.4,22:14.0,0 days 00:08:15.603054,group,TRUE,3.90E-05,1.44E-05,TRUE,0.45,0.047774797,FALSE,0.5,1,base,TRUE,0.2,0.000312283,1,COMPLETE
44,0.960289855,0.6,43:29.8,51:38.6,0 days 00:08:08.782163,group,FALSE,2.25E-05,5.24E-05,TRUE,0.5,0.00100672,TRUE,0.6,3,base,FALSE,,0.015347456,0,COMPLETE
