number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
81,0.809333333,0.6,35:01.2,35:13.4,0 days 00:00:12.210203,group,TRUE,0.00048853,0.000748938,FALSE,,0.219979559,FALSE,0.6,2,base,FALSE,,0.001226733,1,COMPLETE
42,0.808333333,0.6,27:03.1,27:15.6,0 days 00:00:12.462978,lamp,FALSE,0.000784281,0.00507245,TRUE,0,0.000566005,FALSE,0.6,2,bnscale,TRUE,0.05,0.000947203,0,COMPLETE
80,0.808333333,0.6,34:49.1,35:01.2,0 days 00:00:12.133498,fpgm,TRUE,0.001403854,0.000825974,TRUE,0,4.64E-05,TRUE,0.6,2,bnscale,TRUE,0.5,1.18E-05,1,COMPLETE
6,0.807333333,0.6,19:44.1,19:56.4,0 days 00:00:12.299373,fpgm,TRUE,0.000352378,9.37E-05,TRUE,0.1,4.64E-05,TRUE,0.6,2,bnscale,FALSE,,1.18E-05,0,COMPLETE
44,0.806333333,0.5,27:28.8,27:45.3,0 days 00:00:16.475543,lamp,FALSE,0.000538498,0.007022959,FALSE,,1.02E-05,FALSE,0.5,3,bnscale,FALSE,,0.001296124,0,COMPLETE
66,0.806333333,0.7,32:04.2,32:13.9,0 days 00:00:09.707499,group,TRUE,0.000691151,0.000314366,FALSE,,0.00033429,FALSE,0.7,1,group,FALSE,,2.81E-05,1,COMPLETE
85,0.805666667,0.7,35:49.3,35:59.1,0 days 00:00:09.771977,fpgm,TRUE,0.00048853,0.000980103,FALSE,,0.001407964,TRUE,0.7,1,base,TRUE,0.2,2.81E-05,1,COMPLETE
96,0.805,0.5,37:58.6,38:11.6,0 days 00:00:13.022897,group,FALSE,0.000387896,0.00155628,TRUE,0,1.23E-05,TRUE,0.5,2,base,FALSE,,1.13E-05,1,COMPLETE
99,0.805,0.6,38:36.8,38:47.4,0 days 00:00:10.538662,group,FALSE,0.00114927,4.20E-05,FALSE,,0.21321529,FALSE,0.6,1,bnscale,TRUE,0.05,2.40E-05,1,COMPLETE
94,0.804333333,0.7,37:33.0,37:44.6,0 days 00:00:11.595245,group,TRUE,0.00125007,0.001222506,TRUE,0.15,4.64E-05,FALSE,0.7,2,bnscale,FALSE,,1.18E-05,1,COMPLETE
58,0.804,0.5,30:23.3,30:38.1,0 days 00:00:14.868974,lamp,TRUE,0.000538498,8.32E-05,FALSE,,1.02E-05,FALSE,0.5,3,base,FALSE,,4.33E-05,1,COMPLETE
23,0.803666667,0.5,23:15.0,23:29.9,0 days 00:00:14.878883,fpgm,FALSE,0.007362622,0.00013374,TRUE,0.05,0.00411649,TRUE,0.5,3,group,FALSE,,3.93E-05,0,COMPLETE
73,0.803333333,0.6,33:30.1,33:40.5,0 days 00:00:10.361519,group,TRUE,0.000352378,0.000314366,TRUE,0.5,0.004245492,TRUE,0.6,1,bnscale,FALSE,,1.18E-05,1,COMPLETE
86,0.803333333,0.6,35:59.1,36:13.0,0 days 00:00:13.926301,group,TRUE,0.008333876,0.000310488,TRUE,0.05,0.000540465,FALSE,0.6,3,group,FALSE,,0.000989228,1,COMPLETE
