number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
59,0.784333333,0.7,02:11.8,02:37.9,0 days 00:00:26.054473,group,TRUE,0.008864195,1.15E-05,FALSE,,4.10E-05,FALSE,0.7,3,base,FALSE,,1.94E-05,1,COMPLETE
10,0.777666667,0.6,42:34.7,43:05.2,0 days 00:00:30.558379,group,TRUE,0.003413118,4.03E-05,FALSE,,0.008105234,TRUE,0.6,3,base,FALSE,,9.78E-05,0,COMPLETE
91,0.774333333,0.5,14:49.1,15:18.0,0 days 00:00:28.926056,group,FALSE,0.002048679,0.00015683,FALSE,,0.000425461,TRUE,0.5,2,group,TRUE,0.35,2.17E-05,1,COMPLETE
99,0.774,0.7,18:06.3,18:33.0,0 days 00:00:26.759971,group,FALSE,0.000882121,6.83E-05,FALSE,,0.32642525,TRUE,0.7,3,bnscale,FALSE,,0.000227392,1,COMPLETE
64,0.772,0.7,04:09.6,04:29.2,0 days 00:00:19.644583,lamp,FALSE,0.002956523,0.001379889,TRUE,0.05,2.95E-05,TRUE,0.7,1,group,FALSE,,0.000166008,1,COMPLETE
86,0.771666667,0.8,12:47.0,13:07.4,0 days 00:00:20.443949,lamp,TRUE,0.001181918,2.61E-05,TRUE,0.4,0.022095612,FALSE,0.8,2,bnscale,TRUE,0,1.09E-05,1,COMPLETE
62,0.771333333,0.7,03:21.1,03:48.0,0 days 00:00:26.932945,group,TRUE,0.002002108,0.001638706,TRUE,0.5,0.003999656,TRUE,0.7,3,base,FALSE,,0.004895615,1,COMPLETE
31,0.770666667,0.8,51:17.3,51:34.7,0 days 00:00:17.468660,lamp,TRUE,0.002566542,1.96E-05,FALSE,,0.00626935,TRUE,0.8,1,base,FALSE,,0.000121313,0,COMPLETE
76,0.770333333,0.7,08:57.3,09:24.7,0 days 00:00:27.368883,group,FALSE,0.003413118,0.002282335,FALSE,,0.129811668,TRUE,0.7,3,group,TRUE,0.5,4.54E-05,1,COMPLETE
7,0.77,0.5,41:22.3,41:52.5,0 days 00:00:30.159948,lamp,FALSE,0.00035545,0.000278821,TRUE,0.05,9.51E-05,TRUE,0.5,2,base,TRUE,0.1,0.000418371,0,COMPLETE
16,0.77,0.5,45:17.7,45:49.7,0 days 00:00:31.955675,fpgm,FALSE,0.000882121,0.001141338,FALSE,,0.233717694,TRUE,0.5,3,bnscale,FALSE,,0.000227392,0,COMPLETE
73,0.769666667,0.5,07:31.4,08:02.3,0 days 00:00:30.888332,lamp,TRUE,0.000305627,0.000278821,TRUE,0.35,9.28E-05,TRUE,0.5,2,base,TRUE,0,0.000418371,1,COMPLETE
14,0.769,0.6,44:20.7,44:51.0,0 days 00:00:30.278257,group,TRUE,0.002150139,0.003797759,FALSE,,0.148315937,FALSE,0.6,3,bnscale,FALSE,,0.000203279,0,COMPLETE
39,0.768333333,0.8,54:21.9,54:45.8,0 days 00:00:23.886484,fpgm,TRUE,0.000808991,6.38E-05,FALSE,,0.018085596,FALSE,0.8,3,bnscale,TRUE,0.35,0.001896314,0,COMPLETE
54,0.766666667,0.5,00:12.8,00:47.9,0 days 00:00:35.085684,group,TRUE,0.000882121,0.001141338,FALSE,,0.233717694,TRUE,0.5,3,bnscale,FALSE,,0.000227392,1,COMPLETE
83,0.766333333,0.6,11:42.7,12:10.8,0 days 00:00:28.022569,group,TRUE,0.00020958,0.00015683,TRUE,0.3,0.039975813,TRUE,0.6,2,group,TRUE,0.15,6.84E-05,1,COMPLETE
90,0.765333333,0.6,14:18.7,14:49.1,0 days 00:00:30.388529,group,TRUE,0.002150139,4.03E-05,FALSE,,0.008105234,FALSE,0.6,3,base,FALSE,,0.000203279,1,COMPLETE
61,0.764333333,0.8,02:57.6,03:21.0,0 days 00:00:23.463449,group,TRUE,0.003413118,6.38E-05,FALSE,,0.008105234,TRUE,0.8,3,base,FALSE,,9.78E-05,1,COMPLETE
84,0.764333333,0.8,12:10.8,12:29.3,0 days 00:00:18.542021,fpgm,TRUE,0.002566542,1.96E-05,FALSE,,0.018085596,FALSE,0.8,1,bnscale,TRUE,0.45,0.000121313,1,COMPLETE
66,0.764,0.8,04:49.4,05:13.0,0 days 00:00:23.565125,fpgm,FALSE,0.000882121,0.000583829,TRUE,0.25,0.233717694,FALSE,0.8,3,bnscale,TRUE,0,0.018891964,1,COMPLETE
21,0.763666667,0.7,47:28.4,47:51.5,0 days 00:00:23.079966,lamp,FALSE,0.00058536,0.000103961,FALSE,,0.000109715,TRUE,0.7,2,base,TRUE,0.3,0.003461248,0,COMPLETE
85,0.763,0.8,12:29.4,12:46.9,0 days 00:00:17.584336,fpgm,TRUE,0.000808991,2.06E-05,FALSE,,0.00626935,FALSE,0.8,1,base,TRUE,0.4,0.001896314,1,COMPLETE
49,0.762666667,0.6,58:18.1,58:44.2,0 days 00:00:26.014809,group,FALSE,0.000425469,0.00015683,TRUE,0.1,0.039975813,TRUE,0.6,2,base,TRUE,0.1,6.84E-05,0,COMPLETE
41,0.761666667,0.5,55:07.5,55:38.7,0 days 00:00:31.161282,fpgm,FALSE,0.000576539,4.13E-05,FALSE,,0.010019589,FALSE,0.5,2,bnscale,FALSE,,0.000555322,0,COMPLETE
36,0.761333333,0.7,53:13.3,53:38.5,0 days 00:00:25.158577,group,FALSE,0.001159166,0.000474198,TRUE,0.4,0.003999656,TRUE,0.7,3,base,TRUE,0.05,0.000166008,0,COMPLETE
71,0.761333333,0.7,06:44.3,07:07.8,0 days 00:00:23.483076,group,TRUE,0.003586625,6.51E-05,FALSE,,0.32642525,FALSE,0.7,2,base,TRUE,0.5,0.000569205,1,COMPLETE
67,0.760666667,0.8,05:13.0,05:30.6,0 days 00:00:17.578142,fpgm,TRUE,0.000804851,0.000773889,FALSE,,0.012525101,FALSE,0.8,1,group,TRUE,0.05,4.83E-05,1,COMPLETE
58,0.759333333,0.9,01:53.1,02:11.8,0 days 00:00:18.651105,lamp,TRUE,0.004252602,1.07E-05,TRUE,0.45,0.000419786,TRUE,0.9,2,base,TRUE,0.15,0.000569205,1,COMPLETE
96,0.758333333,0.5,17:01.5,17:31.1,0 days 00:00:29.579671,lamp,FALSE,0.002048679,9.72E-05,FALSE,,0.010019589,TRUE,0.5,2,bnscale,FALSE,,0.013733655,1,COMPLETE
0,0.757333333,0.9,38:40.0,38:57.6,0 days 00:00:17.589464,lamp,TRUE,0.000338631,1.15E-05,TRUE,0.05,7.61E-05,FALSE,0.9,1,bnscale,FALSE,,0.00201379,0,COMPLETE
8,0.756,0.9,41:52.5,42:14.1,0 days 00:00:21.623452,lamp,FALSE,0.008864195,1.15E-05,FALSE,,0.000912633,FALSE,0.9,3,base,FALSE,,1.94E-05,0,COMPLETE
5,0.755333333,0.6,40:32.9,40:55.7,0 days 00:00:22.816063,lamp,FALSE,0.002956523,0.000190892,FALSE,,1.53E-05,FALSE,0.6,1,group,FALSE,,0.005042469,0,COMPLETE
2,0.755,0.8,39:18.8,39:40.3,0 days 00:00:21.519159,lamp,FALSE,0.002048679,9.72E-05,FALSE,,0.000425461,TRUE,0.8,2,group,FALSE,,2.17E-05,0,COMPLETE
57,0.754,0.8,01:29.9,01:53.1,0 days 00:00:23.236340,lamp,FALSE,0.000125443,2.88E-05,FALSE,,0.000425461,TRUE,0.8,1,group,FALSE,,4.83E-05,1,COMPLETE
12,0.753,0.5,43:31.6,43:57.4,0 days 00:00:25.843022,lamp,TRUE,0.001171219,0.000178729,FALSE,,0.210883436,TRUE,0.5,1,group,TRUE,0.25,0.014529708,0,COMPLETE
78,0.750333333,0.6,09:52.7,10:18.6,0 days 00:00:25.840985,group,FALSE,0.001536776,6.51E-05,FALSE,,0.001827022,FALSE,0.6,2,base,FALSE,,0.018891964,1,COMPLETE
18,0.749,0.8,46:20.0,46:41.4,0 days 00:00:21.312728,group,FALSE,0.001536776,0.000583829,TRUE,0.15,0.000104409,FALSE,0.8,2,base,TRUE,0.45,0.018891964,0,COMPLETE
89,0.730666667,0.8,13:53.5,14:18.7,0 days 00:00:25.197765,group,FALSE,0.000135124,0.005135654,FALSE,,0.233717694,TRUE,0.8,3,group,FALSE,,0.011610261,1,COMPLETE
82,0.712666667,0.9,11:25.2,11:42.7,0 days 00:00:17.516761,lamp,TRUE,0.000133973,2.88E-05,FALSE,,0.005386486,FALSE,0.9,1,group,FALSE,,4.83E-05,1,COMPLETE
88,0.708666667,0.8,13:26.9,13:53.4,0 days 00:00:26.488867,fpgm,FALSE,0.008864195,0.005135654,FALSE,,0.014058778,FALSE,0.8,3,group,FALSE,,1.94E-05,1,COMPLETE
44,0.7,0.9,56:22.7,56:41.4,0 days 00:00:18.760186,lamp,TRUE,0.000133973,0.001003127,TRUE,0.15,0.005386486,TRUE,0.9,2,base,FALSE,,7.75E-05,0,COMPLETE
80,0.665,0.9,10:38.9,11:00.6,0 days 00:00:21.736524,lamp,TRUE,0.000133973,0.001003127,FALSE,,0.005386486,TRUE,0.9,3,base,FALSE,,7.75E-05,1,COMPLETE
70,0.635666667,0.6,06:14.0,06:44.3,0 days 00:00:30.262098,lamp,FALSE,9.36E-05,1.15E-05,FALSE,,0.004511926,FALSE,0.6,3,bnscale,TRUE,0.05,1.94E-05,1,COMPLETE
56,0.633666667,0.8,01:09.4,01:29.9,0 days 00:00:20.403643,group,TRUE,0.000125443,2.88E-05,FALSE,,0.129811668,FALSE,0.8,2,group,TRUE,0.15,4.83E-05,1,COMPLETE
53,0.628666667,0.9,59:54.2,00:12.8,0 days 00:00:18.576869,group,FALSE,0.000447549,1.11E-05,FALSE,,0.05889672,TRUE,0.9,2,base,FALSE,,0.109489669,1,COMPLETE
34,0.610666667,0.5,52:11.5,52:41.8,0 days 00:00:30.332003,lamp,TRUE,7.75E-05,0.000694101,TRUE,0.5,0.003318902,FALSE,0.5,2,base,TRUE,0.05,0.000309638,0,COMPLETE
28,0.610333333,0.6,50:08.3,50:31.2,0 days 00:00:22.858031,lamp,TRUE,9.36E-05,1.47E-05,TRUE,0.4,0.004511926,FALSE,0.6,1,bnscale,TRUE,0,5.84E-05,0,COMPLETE
47,0.610333333,0.8,57:32.1,57:49.8,0 days 00:00:17.635161,fpgm,TRUE,0.000125443,2.88E-05,FALSE,,0.012525101,FALSE,0.8,1,group,TRUE,0.1,4.83E-05,0,COMPLETE
75,0.609333333,0.5,08:26.0,08:57.3,0 days 00:00:31.246116,group,TRUE,0.000521691,0.003797759,FALSE,,9.28E-05,FALSE,0.5,2,base,FALSE,,0.059574172,1,COMPLETE
51,0.592666667,0.7,59:10.9,59:30.5,0 days 00:00:19.580465,lamp,TRUE,6.12E-05,1.47E-05,TRUE,0.1,0.004511926,FALSE,0.7,1,base,FALSE,,7.75E-05,1,COMPLETE
60,0.592333333,0.7,02:37.9,02:57.6,0 days 00:00:19.675311,lamp,FALSE,5.45E-05,1.11E-05,FALSE,,0.32642525,TRUE,0.7,1,bnscale,FALSE,,0.000569205,1,COMPLETE
52,0.582333333,0.8,59:30.5,59:54.2,0 days 00:00:23.641136,fpgm,TRUE,0.000133973,1.11E-05,FALSE,,0.005386486,TRUE,0.8,3,base,TRUE,0,0.001896314,1,COMPLETE
95,0.580333333,0.5,16:27.2,17:01.5,0 days 00:00:34.297855,lamp,FALSE,4.72E-05,1.15E-05,FALSE,,3.47E-05,FALSE,0.5,3,base,FALSE,,1.94E-05,1,COMPLETE
74,0.58,0.7,08:02.3,08:26.0,0 days 00:00:23.686349,group,TRUE,0.002150139,0.006951631,FALSE,,0.148315937,TRUE,0.7,2,bnscale,FALSE,,0.054328062,1,COMPLETE
15,0.572333333,0.6,44:51.0,45:17.7,0 days 00:00:26.727007,group,TRUE,0.003586625,6.51E-05,FALSE,,0.001827022,FALSE,0.6,2,base,FALSE,,0.04433041,0,COMPLETE
19,0.570666667,0.8,46:41.4,47:05.3,0 days 00:00:23.934947,group,TRUE,0.002002108,0.001638706,TRUE,0.05,0.000855384,FALSE,0.8,3,base,FALSE,,0.031624716,0,COMPLETE
42,0.564333333,0.8,55:38.7,55:59.1,0 days 00:00:20.355439,lamp,TRUE,0.003261328,2.61E-05,TRUE,0.15,0.247529313,FALSE,0.8,2,group,TRUE,0.35,0.03933393,0,COMPLETE
98,0.559,0.9,17:47.4,18:06.2,0 days 00:00:18.836541,group,TRUE,0.000923461,0.00058091,FALSE,,0.000110448,FALSE,0.9,2,base,FALSE,,0.434181134,1,COMPLETE
79,0.557666667,0.8,10:18.6,10:38.8,0 days 00:00:20.232182,fpgm,FALSE,0.000135124,0.00058091,TRUE,0.4,0.014058778,TRUE,0.8,2,group,FALSE,,0.011610261,1,COMPLETE
20,0.548666667,0.7,47:05.3,47:28.4,0 days 00:00:23.049569,group,TRUE,7.97E-05,1.36E-05,TRUE,0.15,0.022095612,FALSE,0.7,2,bnscale,TRUE,0.35,1.09E-05,0,COMPLETE
1,0.548,0.7,38:57.7,39:18.7,0 days 00:00:21.080003,lamp,TRUE,0.000447549,1.11E-05,FALSE,,0.059880862,TRUE,0.7,1,bnscale,FALSE,,0.109489669,0,COMPLETE
