number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
26,0.807479619,0.5,00:40.0,01:33.0,0 days 00:00:53.015254,group,FALSE,0.000210564,0.000296504,FALSE,,0.878778772,FALSE,0.5,2,base,FALSE,,0.000174739,0,COMPLETE
23,0.806396443,0.6,58:43.6,59:27.8,0 days 00:00:44.141880,fpgm,FALSE,0.001670555,3.22E-05,FALSE,,0.001728942,TRUE,0.6,1,base,TRUE,0.5,7.09E-05,0,COMPLETE
40,0.805940368,0.7,09:33.3,10:10.8,0 days 00:00:37.553891,fpgm,FALSE,0.000367489,2.10E-05,FALSE,,0.001223757,TRUE,0.7,1,base,TRUE,0.45,9.96E-05,0,COMPLETE
48,0.805370275,0.7,14:04.2,14:45.8,0 days 00:00:41.599795,lamp,FALSE,0.001152832,1.35E-05,TRUE,0,5.30E-05,TRUE,0.7,3,bnscale,FALSE,,3.55E-05,0,COMPLETE
97,0.805142238,0.5,42:40.2,43:34.4,0 days 00:00:54.272362,group,TRUE,0.005275692,0.000251573,TRUE,0,0.000358217,TRUE,0.5,3,group,TRUE,0.2,1.58E-05,1,COMPLETE
2,0.805085229,0.6,45:03.3,45:47.7,0 days 00:00:44.376057,lamp,FALSE,0.000567196,2.32E-05,FALSE,,1.16E-05,FALSE,0.6,1,base,TRUE,0.3,0.000995027,0,COMPLETE
72,0.804914201,0.6,28:09.1,28:55.1,0 days 00:00:45.998267,group,FALSE,0.003299312,2.32E-05,TRUE,0.2,4.25E-05,TRUE,0.6,2,base,TRUE,0.3,0.000995027,1,COMPLETE
39,0.804800182,0.5,08:38.6,09:33.3,0 days 00:00:54.633669,group,FALSE,0.007833607,0.000251573,TRUE,0.05,0.608406675,TRUE,0.5,3,group,TRUE,0.3,1.58E-05,0,COMPLETE
92,0.804287099,0.5,39:20.7,40:15.4,0 days 00:00:54.692795,group,TRUE,0.000470572,0.007627347,TRUE,0.15,0.000197801,FALSE,0.5,3,group,TRUE,0.05,0.000330355,1,COMPLETE
77,0.80423009,0.6,31:23.0,32:07.4,0 days 00:00:44.417516,lamp,FALSE,0.000567196,0.00043165,FALSE,,1.16E-05,FALSE,0.6,1,base,TRUE,0.45,0.000995027,1,COMPLETE
78,0.80423009,0.7,32:07.4,32:44.9,0 days 00:00:37.509814,fpgm,FALSE,0.001670555,3.22E-05,FALSE,,0.000348111,TRUE,0.7,1,base,TRUE,0.2,7.09E-05,1,COMPLETE
36,0.804116071,0.6,06:43.3,07:31.2,0 days 00:00:47.947197,fpgm,TRUE,0.000158509,0.001342447,TRUE,0.2,1.20E-05,FALSE,0.6,3,base,FALSE,,0.000445606,0,COMPLETE
43,0.804116071,0.5,11:37.0,12:29.2,0 days 00:00:52.153088,group,FALSE,0.003299312,0.003652584,TRUE,0.4,4.25E-05,TRUE,0.5,2,base,TRUE,0.25,0.000445677,0,COMPLETE
22,0.804002052,0.5,57:49.1,58:43.6,0 days 00:00:54.557017,group,TRUE,0.000470572,0.007627347,TRUE,0.3,0.000197801,FALSE,0.5,3,group,TRUE,0.25,0.005960529,0,COMPLETE
98,0.803602987,0.5,43:34.5,44:25.3,0 days 00:00:50.830297,group,TRUE,0.000470572,0.007627347,TRUE,0.45,0.002090465,FALSE,0.5,1,base,TRUE,0.45,0.005960529,1,COMPLETE
71,0.803488969,0.7,27:29.9,28:09.1,0 days 00:00:39.178127,fpgm,TRUE,0.000239523,0.000142888,FALSE,,4.68E-05,TRUE,0.7,2,base,TRUE,0.35,0.000165598,1,COMPLETE
85,0.803317941,0.7,36:03.3,36:40.6,0 days 00:00:37.329948,group,FALSE,0.001271516,0.000723971,TRUE,0,5.30E-05,TRUE,0.7,1,group,FALSE,,1.61E-05,1,COMPLETE
61,0.802918876,0.6,21:43.7,22:27.5,0 days 00:00:43.822170,fpgm,FALSE,0.000178621,4.01E-05,TRUE,0.2,0.00818311,TRUE,0.6,1,bnscale,FALSE,,0.004703955,1,COMPLETE
41,0.801949718,0.7,10:10.9,10:48.5,0 days 00:00:37.655612,fpgm,TRUE,0.007204352,0.000142807,FALSE,,1.62E-05,TRUE,0.7,1,bnscale,TRUE,0.1,0.000487521,0,COMPLETE
32,0.801436634,0.6,04:23.4,05:07.1,0 days 00:00:43.720902,fpgm,TRUE,0.003683369,4.01E-05,TRUE,0.1,0.00818311,TRUE,0.6,1,bnscale,FALSE,,0.004703955,0,COMPLETE
14,0.801208597,0.5,52:52.5,53:42.9,0 days 00:00:50.493095,group,FALSE,0.000215277,5.86E-05,TRUE,0.4,0.002480116,TRUE,0.5,1,base,FALSE,,0.010980197,0,COMPLETE
56,0.801094578,0.7,18:39.3,19:16.6,0 days 00:00:37.290169,group,TRUE,0.009642061,0.000238234,FALSE,,4.68E-05,FALSE,0.7,1,group,TRUE,0.2,0.000165598,1,COMPLETE
30,0.800752523,0.8,03:28.1,04:00.2,0 days 00:00:32.087349,group,TRUE,0.001176799,0.00071253,TRUE,0.5,0.002187812,TRUE,0.8,2,group,FALSE,,0.002100128,0,COMPLETE
21,0.800638504,0.8,57:18.6,57:49.0,0 days 00:00:30.481147,lamp,FALSE,0.000233027,0.000723971,FALSE,,0.002731644,TRUE,0.8,1,group,FALSE,,1.61E-05,0,COMPLETE
37,0.800638504,0.7,07:31.2,08:08.3,0 days 00:00:37.106516,fpgm,TRUE,0.009642061,2.19E-05,FALSE,,4.68E-05,TRUE,0.7,1,base,TRUE,0,0.000165598,0,COMPLETE
59,0.800011402,0.5,20:15.0,21:09.1,0 days 00:00:54.142188,group,TRUE,0.007833607,0.00071253,TRUE,0.5,0.002187812,TRUE,0.5,3,group,FALSE,,0.002100128,1,COMPLETE
58,0.799783365,0.8,19:44.2,20:14.9,0 days 00:00:30.762942,lamp,TRUE,0.001176799,0.00071253,FALSE,,0.002187812,TRUE,0.8,1,group,FALSE,,1.61E-05,1,COMPLETE
83,0.799669346,0.5,34:46.9,35:37.7,0 days 00:00:50.787679,group,FALSE,0.000151734,5.86E-05,TRUE,0.3,0.008174159,FALSE,0.5,1,base,FALSE,,0.010980197,1,COMPLETE
3,0.799612337,0.6,45:47.7,46:32.0,0 days 00:00:44.326316,group,FALSE,0.00012875,1.72E-05,TRUE,0.25,2.75E-05,TRUE,0.6,1,group,FALSE,,0.012302426,0,COMPLETE
82,0.79858617,0.8,34:14.8,34:46.9,0 days 00:00:32.090289,fpgm,TRUE,0.00891189,8.82E-05,FALSE,,0.600434345,TRUE,0.8,2,group,FALSE,,8.91E-05,1,COMPLETE
62,0.79852916,0.8,22:27.5,22:57.7,0 days 00:00:30.198968,group,TRUE,0.000233027,0.000723971,FALSE,,9.91E-05,TRUE,0.8,1,bnscale,FALSE,,8.91E-05,1,COMPLETE
54,0.798016077,0.8,17:25.1,17:55.0,0 days 00:00:29.904215,group,FALSE,0.00093409,0.002230711,FALSE,,3.70E-05,TRUE,0.8,1,bnscale,FALSE,,0.010345609,1,COMPLETE
