number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
67,0.806396443,0.7,24:52.4,25:33.9,0 days 00:00:41.550341,lamp,FALSE,0.006268777,0.000145583,FALSE,,0.000164247,FALSE,0.7,3,base,TRUE,0.45,0.002355319,1,COMPLETE
44,0.805256257,0.6,11:49.8,12:29.7,0 days 00:00:39.879072,lamp,TRUE,0.002709133,0.005742748,FALSE,,0.003522255,TRUE,0.6,2,bnscale,TRUE,0.25,0.0058672,0,COMPLETE
84,0.804800182,0.8,35:09.3,35:40.5,0 days 00:00:31.191437,group,TRUE,0.002479602,3.22E-05,TRUE,0.25,0.051177244,FALSE,0.8,2,bnscale,FALSE,,0.004560864,1,COMPLETE
61,0.803203922,0.6,21:32.3,22:06.1,0 days 00:00:33.765215,fpgm,TRUE,0.002958182,9.58E-05,FALSE,,3.28E-05,TRUE,0.6,1,bnscale,TRUE,0.35,0.000108618,1,COMPLETE
81,0.803032894,0.7,33:21.7,33:56.0,0 days 00:00:34.349221,group,FALSE,0.002782317,8.12E-05,TRUE,0.1,0.000327793,FALSE,0.7,2,bnscale,TRUE,0.4,5.30E-05,1,COMPLETE
35,0.802975885,0.5,06:28.1,07:08.9,0 days 00:00:40.804505,group,TRUE,0.000818881,0.001449671,TRUE,0.35,0.006256927,FALSE,0.5,2,group,FALSE,,0.000192464,0,COMPLETE
83,0.802975885,0.7,34:36.0,35:09.3,0 days 00:00:33.261311,group,TRUE,0.006268777,0.000145583,FALSE,,0.000126817,TRUE,0.7,3,base,TRUE,0.25,0.002355319,1,COMPLETE
50,0.802633829,0.6,15:19.5,15:53.1,0 days 00:00:33.554806,group,FALSE,0.000914663,1.26E-05,FALSE,,0.38301001,FALSE,0.6,2,bnscale,TRUE,0.4,3.42E-05,1,COMPLETE
39,0.802405792,0.5,08:55.0,09:36.4,0 days 00:00:41.418881,fpgm,FALSE,0.001078442,0.000138448,FALSE,,0.013171211,FALSE,0.5,3,bnscale,TRUE,0,1.86E-05,0,COMPLETE
72,0.801607662,0.5,28:07.5,28:48.3,0 days 00:00:40.801458,lamp,FALSE,0.000630104,0.000576298,TRUE,0.3,2.08E-05,FALSE,0.5,1,base,FALSE,,0.002605555,1,COMPLETE
47,0.801094578,0.8,13:41.5,14:15.0,0 days 00:00:33.575265,lamp,FALSE,0.006268777,0.000145583,FALSE,,0.000164247,TRUE,0.8,3,group,TRUE,0.3,0.002355319,0,COMPLETE
80,0.801094578,0.6,32:48.2,33:21.6,0 days 00:00:33.426420,lamp,FALSE,0.001875138,0.001137753,TRUE,0.2,0.38301001,TRUE,0.6,1,base,FALSE,,2.27E-05,1,COMPLETE
82,0.800809532,0.6,33:56.0,34:36.0,0 days 00:00:39.966693,fpgm,TRUE,0.001909338,0.005742748,FALSE,,0.003522255,TRUE,0.6,2,bnscale,TRUE,0.3,0.0058672,1,COMPLETE
48,0.800524485,0.5,14:15.1,14:45.6,0 days 00:00:30.559064,group,TRUE,6.78E-05,0.000167776,TRUE,0.45,0.003600573,FALSE,0.5,1,bnscale,FALSE,,0.000350313,0,COMPLETE
60,0.800467476,0.5,21:01.7,21:32.3,0 days 00:00:30.581683,group,TRUE,0.000971805,0.000112273,FALSE,,0.003600573,TRUE,0.5,1,bnscale,FALSE,,0.000350313,1,COMPLETE
93,0.800353458,0.6,40:07.0,40:43.6,0 days 00:00:36.625111,lamp,FALSE,0.000991179,0.000315447,FALSE,,0.00192826,TRUE,0.6,1,group,FALSE,,3.16E-05,1,COMPLETE
6,0.800239439,0.6,49:23.4,50:05.3,0 days 00:00:41.893507,fpgm,TRUE,0.000398852,0.00175359,TRUE,0.45,0.051177244,TRUE,0.6,3,bnscale,FALSE,,5.05E-05,0,COMPLETE
49,0.80018243,0.6,14:45.6,15:19.5,0 days 00:00:33.859227,lamp,FALSE,0.000914663,0.001137753,FALSE,,0.38301001,TRUE,0.6,1,group,FALSE,,0.000492055,0,COMPLETE
22,0.80012542,0.8,58:58.4,59:30.1,0 days 00:00:31.671969,lamp,TRUE,0.0087791,1.86E-05,TRUE,0.4,0.080691566,FALSE,0.8,2,base,FALSE,,0.000198901,0,COMPLETE
91,0.800068411,0.8,39:00.9,39:36.5,0 days 00:00:35.631504,lamp,FALSE,0.006268777,0.001137753,FALSE,,0.38301001,TRUE,0.8,3,group,FALSE,,0.000492055,1,COMPLETE
64,0.799840374,0.8,23:15.2,23:46.9,0 days 00:00:31.701087,lamp,TRUE,0.006268777,0.000251531,FALSE,,0.00645938,TRUE,0.8,2,group,TRUE,0.3,0.000271527,1,COMPLETE
58,0.799783365,0.6,19:47.5,20:21.1,0 days 00:00:33.584130,group,FALSE,0.000192107,1.26E-05,FALSE,,0.38301001,FALSE,0.6,2,bnscale,TRUE,0.2,3.42E-05,1,COMPLETE
25,0.799726355,0.5,00:40.9,01:23.1,0 days 00:00:42.189236,fpgm,FALSE,0.000115014,2.15E-05,TRUE,0.4,0.021655133,TRUE,0.5,2,group,FALSE,,0.001020667,0,COMPLETE
