number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
24,0.727666667,0.5,52:10.4,52:23.9,0 days 00:00:13.448340,group,TRUE,0.008611985,0.001399462,FALSE,,1.55E-05,FALSE,0.5,3,bnscale,FALSE,,0.008101913,0,COMPLETE
94,0.723,0.9,05:44.6,05:57.8,0 days 00:00:13.185577,fpgm,FALSE,0.004141483,9.83E-05,TRUE,0.4,0.003935167,FALSE,0.9,3,group,FALSE,,0.008187425,1,COMPLETE
41,0.720333333,0.5,55:29.2,55:41.0,0 days 00:00:11.758652,lamp,FALSE,0.001624899,0.001482335,TRUE,0.45,8.19E-05,FALSE,0.5,2,base,FALSE,,0.013854715,0,COMPLETE
1,0.72,0.7,47:39.1,47:51.9,0 days 00:00:12.799325,group,FALSE,0.000143342,0.000273532,FALSE,,0.532069993,FALSE,0.7,2,bnscale,FALSE,,0.027892512,0,COMPLETE
59,0.72,0.5,59:07.6,59:19.3,0 days 00:00:11.704281,group,TRUE,0.008611985,0.001399462,FALSE,,1.55E-05,FALSE,0.5,2,bnscale,FALSE,,0.00497178,1,COMPLETE
13,0.715333333,0.6,49:53.7,50:03.7,0 days 00:00:09.975356,group,TRUE,0.00021759,8.07E-05,FALSE,,8.28E-05,TRUE,0.6,1,bnscale,FALSE,,0.005939115,0,COMPLETE
92,0.715333333,0.6,05:19.5,05:32.9,0 days 00:00:13.375243,group,FALSE,0.000422678,3.69E-05,FALSE,,0.88884616,FALSE,0.6,3,group,TRUE,0.1,0.005400851,1,COMPLETE
17,0.714333333,0.7,50:41.2,50:55.0,0 days 00:00:13.784474,group,FALSE,0.000422678,3.69E-05,TRUE,0.15,1.30E-05,FALSE,0.7,3,base,TRUE,0.1,0.005400851,0,COMPLETE
32,0.713333333,0.8,53:42.8,53:52.7,0 days 00:00:09.876440,lamp,FALSE,0.000398114,0.000929672,TRUE,0.3,7.99E-05,TRUE,0.8,1,group,FALSE,,0.003967694,0,COMPLETE
82,0.711,0.5,03:25.5,03:36.0,0 days 00:00:10.502274,lamp,TRUE,0.00021759,8.07E-05,FALSE,,8.28E-05,TRUE,0.5,1,bnscale,TRUE,0.3,0.00497178,1,COMPLETE
37,0.709333333,0.8,54:42.5,54:53.9,0 days 00:00:11.410458,lamp,TRUE,0.000279714,0.000948824,FALSE,,6.72E-05,FALSE,0.8,2,base,FALSE,,0.022671259,0,COMPLETE
80,0.708333333,0.6,03:02.3,03:14.0,0 days 00:00:11.638156,lamp,TRUE,0.00021759,2.67E-05,FALSE,,8.28E-05,FALSE,0.6,2,base,TRUE,0.05,0.005939115,1,COMPLETE
65,0.706666667,0.6,00:13.6,00:24.1,0 days 00:00:10.474002,group,TRUE,0.000101973,9.83E-05,FALSE,,0.01258588,FALSE,0.6,1,bnscale,FALSE,,0.005939115,1,COMPLETE
