number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
10,0.706,0.5,23:34.0,23:53.1,0 days 00:00:19.159070,lamp,FALSE,0.00161503,0.00233008,TRUE,0.45,0.319375697,FALSE,0.5,3,bnscale,FALSE,,0.718577119,0,COMPLETE
60,0.704333333,0.6,36:52.2,37:06.0,0 days 00:00:13.770248,fpgm,TRUE,0.000785411,0.000331381,TRUE,0.4,0.004218789,TRUE,0.6,1,base,FALSE,,0.83441224,1,COMPLETE
11,0.704,0.8,23:53.1,24:06.0,0 days 00:00:12.891474,lamp,TRUE,0.002164443,2.59E-05,TRUE,0.45,0.000535135,TRUE,0.8,1,base,FALSE,,0.612453901,0,COMPLETE
43,0.704,0.5,32:13.1,32:32.3,0 days 00:00:19.204099,fpgm,TRUE,0.000707108,1.21E-05,FALSE,,0.75623672,FALSE,0.5,3,base,FALSE,,0.165741722,0,COMPLETE
72,0.703333333,0.5,39:52.9,40:11.4,0 days 00:00:18.458609,fpgm,TRUE,0.000707108,1.21E-05,FALSE,,0.75623672,FALSE,0.5,3,bnscale,FALSE,,0.165741722,1,COMPLETE
16,0.702666667,0.6,25:07.0,25:20.5,0 days 00:00:13.475422,fpgm,TRUE,0.000785411,0.000331381,TRUE,0.05,9.95E-05,TRUE,0.6,1,base,FALSE,,0.83441224,0,COMPLETE
96,0.700333333,0.6,46:07.0,46:21.1,0 days 00:00:14.085926,fpgm,FALSE,0.000425659,0.009321507,TRUE,0.35,3.07E-05,FALSE,0.6,1,bnscale,FALSE,,0.233749568,1,COMPLETE
52,0.699666667,0.7,34:31.0,34:50.3,0 days 00:00:19.346882,fpgm,TRUE,0.006675588,1.21E-05,FALSE,,0.001036207,FALSE,0.7,3,bnscale,TRUE,0.2,0.165741722,1,COMPLETE
46,0.699333333,0.5,33:01.2,33:15.7,0 days 00:00:14.462167,fpgm,TRUE,0.006398897,0.003424831,TRUE,0.35,0.947509506,TRUE,0.5,1,base,TRUE,0.4,0.001266409,0,COMPLETE
55,0.699333333,0.7,35:23.7,35:41.4,0 days 00:00:17.658122,lamp,TRUE,0.006675588,0.001167489,FALSE,,0.001036207,FALSE,0.7,3,base,FALSE,,3.65E-05,1,COMPLETE
