number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
4,0.920392585,0.5,53:01.3,54:01.5,0 days 00:01:00.203487,fpgm,FALSE,0.000570033,1.03E-05,TRUE,0.5,0.130787504,TRUE,0.5,3,group,FALSE,,0.000145092,0,COMPLETE
81,0.918575064,0.6,05:07.8,06:06.7,0 days 00:00:58.888032,fpgm,FALSE,0.001955086,0.003979389,FALSE,,0.000359633,FALSE,0.6,3,base,TRUE,0.15,7.31E-05,1,COMPLETE
67,0.917848055,0.5,51:55.4,52:55.0,0 days 00:00:59.576667,group,FALSE,0.000570033,0.000356509,TRUE,0.2,0.005812341,FALSE,0.5,3,bnscale,FALSE,,0.000145092,1,COMPLETE
0,0.915182358,0.7,49:19.3,50:12.1,0 days 00:00:52.773357,fpgm,FALSE,0.000362141,0.000304427,FALSE,,0.024596351,FALSE,0.7,1,group,FALSE,,0.000317533,0,COMPLETE
15,0.912758997,0.7,03:22.0,04:15.2,0 days 00:00:53.190885,group,TRUE,0.001173283,0.000589289,TRUE,0.4,7.31E-05,TRUE,0.7,1,group,FALSE,,0.000231206,0,COMPLETE
78,0.911668484,0.6,02:14.8,03:13.8,0 days 00:00:58.974338,fpgm,TRUE,0.000202246,0.003979389,FALSE,,1.74E-05,FALSE,0.6,3,group,TRUE,0.15,3.13E-05,1,COMPLETE
59,0.911547316,0.5,44:30.5,45:29.7,0 days 00:00:59.221563,lamp,TRUE,0.006759481,1.03E-05,TRUE,0.2,0.130787504,TRUE,0.5,3,base,TRUE,0.45,0.000145092,1,COMPLETE
73,0.911426148,0.7,57:29.7,58:25.6,0 days 00:00:55.819353,lamp,FALSE,0.000939102,0.001109256,FALSE,,0.004516605,TRUE,0.7,2,group,TRUE,0.15,0.000111258,1,COMPLETE
25,0.91069914,0.6,12:32.4,13:31.2,0 days 00:00:58.806436,fpgm,TRUE,0.001955086,0.003979389,FALSE,,0.000359633,FALSE,0.6,3,base,TRUE,0.1,7.31E-05,0,COMPLETE
85,0.908881619,0.7,08:52.8,09:48.5,0 days 00:00:55.674039,lamp,FALSE,0.000939102,0.002387612,FALSE,,0.003731773,TRUE,0.7,2,bnscale,FALSE,,0.000131248,1,COMPLETE
3,0.908760451,0.7,52:05.6,53:01.3,0 days 00:00:55.711861,group,TRUE,0.009793104,0.007530016,TRUE,0.1,7.31E-05,FALSE,0.7,2,base,FALSE,,1.01E-05,0,COMPLETE
77,0.904277233,0.6,01:18.1,02:14.8,0 days 00:00:56.745703,group,TRUE,0.006821608,0.00149518,TRUE,0,0.016963079,FALSE,0.6,2,bnscale,FALSE,,5.19E-05,1,COMPLETE
84,0.903429056,0.8,07:57.7,08:52.8,0 days 00:00:55.145469,fpgm,TRUE,0.003823853,0.000118781,FALSE,,0.00022627,FALSE,0.8,2,base,FALSE,,1.84E-05,1,COMPLETE
37,0.902944384,0.5,23:56.3,24:53.7,0 days 00:00:57.382774,fpgm,TRUE,0.000208137,0.000280097,TRUE,0,0.089104772,FALSE,0.5,2,bnscale,TRUE,0.45,0.000854326,0,COMPLETE
70,0.897370653,0.7,54:45.6,55:38.7,0 days 00:00:53.048053,group,TRUE,0.000294386,4.00E-05,TRUE,0.5,7.31E-05,TRUE,0.7,1,group,FALSE,,0.000231206,1,COMPLETE
61,0.895189628,0.7,46:28.1,47:21.2,0 days 00:00:53.108595,group,TRUE,0.003833112,0.002806474,TRUE,0.4,7.31E-05,TRUE,0.7,1,group,FALSE,,0.000231206,1,COMPLETE
44,0.891554586,0.6,30:21.0,31:20.5,0 days 00:00:59.588842,lamp,FALSE,0.000448453,0.002387612,FALSE,,0.005812341,FALSE,0.6,3,bnscale,FALSE,,1.51E-05,0,COMPLETE
26,0.880649461,0.5,13:31.2,14:25.8,0 days 00:00:54.570847,group,FALSE,0.000148667,5.92E-05,TRUE,0.05,0.164683082,FALSE,0.5,1,group,TRUE,0.45,0.005303745,0,COMPLETE
54,0.879316612,0.5,39:54.2,40:51.7,0 days 00:00:57.445937,fpgm,TRUE,0.000208137,0.002387612,FALSE,,0.005812341,FALSE,0.5,2,bnscale,FALSE,,0.000854326,1,COMPLETE
10,0.879195444,0.7,58:38.2,59:36.7,0 days 00:00:58.504554,lamp,FALSE,0.000202246,0.003754549,TRUE,0.5,1.74E-05,FALSE,0.7,3,group,TRUE,0.25,3.13E-05,0,COMPLETE
60,0.877862595,0.7,45:29.7,46:28.1,0 days 00:00:58.401475,lamp,FALSE,0.000448453,0.002387612,FALSE,,0.006698165,FALSE,0.7,3,bnscale,FALSE,,1.51E-05,1,COMPLETE
87,0.861868411,0.7,10:44.4,11:43.0,0 days 00:00:58.558618,fpgm,TRUE,6.54E-05,0.000365542,TRUE,0.2,0.000507055,FALSE,0.7,3,base,FALSE,,5.19E-05,1,COMPLETE
62,0.861626075,0.5,47:21.3,48:16.0,0 days 00:00:54.765478,fpgm,FALSE,3.86E-05,0.00098259,TRUE,0.25,1.12E-05,FALSE,0.5,1,bnscale,TRUE,0.2,0.004070899,1,COMPLETE
51,0.859202714,0.5,37:01.3,38:01.4,0 days 00:01:00.065497,group,TRUE,0.000148667,0.003730602,TRUE,0.35,0.000115159,FALSE,0.5,3,group,FALSE,,0.005303745,1,COMPLETE
23,0.847812917,0.6,10:45.4,11:39.2,0 days 00:00:53.799597,fpgm,TRUE,9.93E-05,0.00039092,TRUE,0.35,1.26E-05,TRUE,0.6,1,bnscale,FALSE,,0.001335944,0,COMPLETE
6,0.846843572,0.5,54:57.5,55:52.8,0 days 00:00:55.260378,fpgm,FALSE,3.86E-05,0.001068527,FALSE,,1.12E-05,FALSE,0.5,1,group,TRUE,0.05,0.004070899,0,COMPLETE
13,0.842118018,0.5,01:28.7,02:23.1,0 days 00:00:54.410606,lamp,TRUE,4.91E-05,0.001786252,TRUE,0,0.007534506,FALSE,0.5,1,bnscale,TRUE,0.05,0.001021605,0,COMPLETE
96,0.841391009,0.7,19:08.5,20:06.8,0 days 00:00:58.348261,group,FALSE,0.000202246,1.07E-05,TRUE,0,1.74E-05,FALSE,0.7,3,bnscale,TRUE,0.4,0.001504572,1,COMPLETE
55,0.829880044,0.7,40:51.7,41:47.5,0 days 00:00:55.806037,group,FALSE,6.72E-05,1.07E-05,TRUE,0.45,2.45E-05,FALSE,0.7,2,bnscale,FALSE,,9.69E-05,1,COMPLETE
90,0.815461044,0.9,13:36.2,14:31.8,0 days 00:00:55.555570,lamp,FALSE,0.006821608,0.000365542,TRUE,0.05,0.008992891,TRUE,0.9,2,group,FALSE,,5.19E-05,1,COMPLETE
68,0.804555919,0.6,52:55.0,53:48.8,0 days 00:00:53.858143,lamp,TRUE,0.000478862,0.000439402,TRUE,0.5,0.015290088,TRUE,0.6,1,group,TRUE,0.25,0.006449693,1,COMPLETE
92,0.795468315,0.5,15:26.9,16:24.4,0 days 00:00:57.495223,fpgm,TRUE,0.000189418,0.001068527,FALSE,,1.12E-05,FALSE,0.5,2,bnscale,TRUE,0.5,0.032181417,1,COMPLETE
16,0.793771962,0.6,04:15.2,05:09.2,0 days 00:00:54.038351,lamp,TRUE,0.000478862,0.000439402,TRUE,0.3,0.0360163,TRUE,0.6,1,group,TRUE,0.05,0.006449693,0,COMPLETE
20,0.783472677,0.8,07:57.7,08:53.4,0 days 00:00:55.709106,group,FALSE,6.72E-05,1.07E-05,FALSE,,2.45E-05,FALSE,0.8,2,bnscale,FALSE,,9.69E-05,0,COMPLETE
