number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0.5613333333333334,0.6,2025-05-08 23:24:42.697479,2025-05-08 23:24:57.817720,0 days 00:00:15.120241,group,False,2.8680368092450404e-05,0.0011869427938472773,False,,0.005963583643798964,False,0.6,2,group,False,,0.005001072160574272,0,COMPLETE
1,0.8370000000000001,0.6,2025-05-08 23:24:57.838589,2025-05-08 23:25:09.231773,0 days 00:00:11.393184,fpgm,True,0.001005193314238168,0.0019074610051663422,True,0.35000000000000003,4.37769114453269e-05,False,0.6,1,base,False,,0.0009900555166158919,0,COMPLETE
2,0.15333333333333332,0.8,2025-05-08 23:25:09.248020,2025-05-08 23:25:21.009564,0 days 00:00:11.761544,lamp,False,1.1736829996240817e-05,0.0004815910228250664,True,0.15000000000000002,0.0015211393919864677,False,0.8,1,base,True,0.1,5.975448421883088e-05,0,COMPLETE
3,0.17066666666666666,0.9,2025-05-08 23:25:21.033786,2025-05-08 23:25:32.723257,0 days 00:00:11.689471,fpgm,True,0.00010907113858209816,0.0009455894638193026,False,,0.0694654755027541,True,0.9,1,base,True,0.15000000000000002,0.15616115798556157,0,COMPLETE
4,0.8216666666666667,0.8,2025-05-08 23:25:32.746845,2025-05-08 23:25:46.827831,0 days 00:00:14.080986,fpgm,True,0.005248134506468663,0.009547461256373908,True,0.1,0.5794660513483503,False,0.8,2,group,False,,0.00015223213492358836,0,COMPLETE
5,0.8370000000000001,0.6,2025-05-08 23:25:46.848654,2025-05-08 23:26:02.508579,0 days 00:00:15.659925,group,True,0.00048310433310190206,0.0006653273257717841,True,0.25,4.758203679636178e-05,True,0.6,3,bnscale,False,,0.0001768237277611276,0,COMPLETE
6,0.4673333333333334,0.6,2025-05-08 23:26:02.528972,2025-05-08 23:26:16.708066,0 days 00:00:14.179094,group,True,1.0277937647481992e-05,0.004703328984243195,False,,1.1416206611917108e-05,False,0.6,2,group,True,0.2,0.0006767545966007112,0,COMPLETE
7,0.6113333333333334,0.8,2025-05-08 23:26:16.731252,2025-05-08 23:26:28.541307,0 days 00:00:11.810055,lamp,False,6.077309093957998e-05,0.003394495090194662,True,0.45,0.008209298620424773,False,0.8,1,bnscale,False,,0.007274989451773424,0,COMPLETE
8,0.8283333333333333,0.6,2025-05-08 23:26:28.563464,2025-05-08 23:26:43.889837,0 days 00:00:15.326373,group,True,0.00021144717487972872,0.0012294062714133741,False,,7.342415030895565e-05,True,0.6,3,base,False,,0.001092362908108135,0,COMPLETE
9,0.14633333333333334,0.6,2025-05-08 23:26:43.910955,2025-05-08 23:26:59.307809,0 days 00:00:15.396854,group,False,1.9784843020214995e-05,9.652311989707434e-05,False,,0.021783442051737822,True,0.6,3,group,False,,0.1396573110076758,0,COMPLETE
10,0.12766666666666668,0.5,2025-05-08 23:26:59.331285,2025-05-08 23:27:10.610091,0 days 00:00:11.278806,group,True,0.00014699759639402637,0.0025274068371739923,True,0.30000000000000004,1.0886010099080076e-05,False,0.5,1,bnscale,True,0.30000000000000004,0.39883281245043883,0,COMPLETE
11,0.8323333333333333,0.7,2025-05-08 23:27:10.627723,2025-05-08 23:27:22.139865,0 days 00:00:11.512142,group,True,5.858633666657462e-05,0.007175263301509617,False,,2.1397521838705333e-05,False,0.7,1,group,False,,7.625797100479049e-05,0,COMPLETE
12,0.10466666666666667,0.7,2025-05-08 23:27:22.158390,2025-05-08 23:27:37.679331,0 days 00:00:15.520941,group,True,1.9634727008699683e-05,0.007283544233345023,True,0.45,0.007687894158530386,True,0.7,3,base,False,,0.04529598032042762,0,COMPLETE
13,0.304,0.7,2025-05-08 23:27:37.701214,2025-05-08 23:27:51.205281,0 days 00:00:13.504067,fpgm,True,0.0031599727195138956,8.036107417635683e-05,True,0.4,0.0001886432861603257,True,0.7,2,group,False,,0.08042169896056833,0,COMPLETE
14,0.294,0.8,2025-05-08 23:27:51.226490,2025-05-08 23:28:08.305956,0 days 00:00:17.079466,group,False,0.009038543835806188,0.0008467663254582168,False,,0.07944947990252327,True,0.8,3,group,False,,0.29986214131238487,0,COMPLETE
15,0.8226666666666667,0.7,2025-05-08 23:28:08.327105,2025-05-08 23:28:23.778915,0 days 00:00:15.451810,lamp,True,0.00020358547685145142,0.0007002221144844814,False,,0.007065415608236882,True,0.7,3,group,False,,0.007964649317476917,0,COMPLETE
16,0.12633333333333333,0.7,2025-05-08 23:28:23.801673,2025-05-08 23:28:39.439521,0 days 00:00:15.637848,group,True,3.5376697214674295e-05,0.004680849402212142,True,0.05,0.0023448510396358916,False,0.7,3,base,True,0.2,0.31183273804192413,0,COMPLETE
17,0.8433333333333333,0.5,2025-05-08 23:28:39.464288,2025-05-08 23:28:54.776066,0 days 00:00:15.311778,fpgm,True,0.000484607427611581,0.00040352733407153144,False,,0.2608018767495911,True,0.5,3,base,False,,0.0012770317650175947,0,COMPLETE
18,0.8213333333333334,0.8,2025-05-08 23:28:54.798388,2025-05-08 23:29:06.542319,0 days 00:00:11.743931,fpgm,True,0.0001295922686236208,0.0013273821748722263,False,,0.3368497751292189,False,0.8,1,group,True,0.45,0.0038234196415472084,0,COMPLETE
19,0.23033333333333336,0.7,2025-05-08 23:29:06.563187,2025-05-08 23:29:19.955790,0 days 00:00:13.392603,group,False,2.886890108026044e-05,0.0038847066918307744,True,0.2,3.857759752370331e-05,False,0.7,2,group,True,0.45,0.08516656357486257,0,COMPLETE
20,0.8193333333333334,0.8,2025-05-08 23:29:19.978528,2025-05-08 23:29:35.591315,0 days 00:00:15.612787,group,True,0.006969212249346767,0.0014782300766588133,False,,2.528598933764543e-05,True,0.8,3,bnscale,True,0.25,0.00035387022895974607,0,COMPLETE
21,0.8396666666666667,0.5,2025-05-08 23:29:35.614084,2025-05-08 23:29:51.324305,0 days 00:00:15.710221,lamp,False,0.00043641049760189847,1.4764737186028055e-05,False,,0.06353298689076954,False,0.5,3,bnscale,True,0.25,0.0052511514968400915,0,COMPLETE
22,0.823,0.9,2025-05-08 23:29:51.347608,2025-05-08 23:30:07.766947,0 days 00:00:16.419339,lamp,True,0.0015070710515256722,2.277417815724087e-05,False,,0.0921988206876131,True,0.9,3,group,True,0.45,4.620544837183191e-05,0,COMPLETE
23,0.828,0.6,2025-05-08 23:30:07.790547,2025-05-08 23:30:19.933423,0 days 00:00:12.142876,lamp,False,9.686115556410474e-05,0.0005797031167336938,False,,0.014690062946002277,False,0.6,1,base,True,0.15000000000000002,9.801210712497113e-05,0,COMPLETE
