number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
0,0.8166666666666668,0.7,2025-05-08 23:02:27.956207,2025-05-08 23:02:44.640377,0 days 00:00:16.684170,group,True,0.007346349861436275,0.0009293589851901402,False,,0.03205637227333323,False,0.7,3,bnscale,True,0.0,7.428695154613912e-05,0,COMPLETE
1,0.7873333333333333,0.5,2025-05-08 23:02:44.662861,2025-05-08 23:02:55.494192,0 days 00:00:10.831331,lamp,True,6.626858087113647e-05,0.0031694882677673034,True,0.25,0.020626988006341117,False,0.5,1,bnscale,False,,0.007937806508828173,0,COMPLETE
2,0.49300000000000005,0.8,2025-05-08 23:02:55.513173,2025-05-08 23:03:10.652938,0 days 00:00:15.139765,fpgm,False,1.385581845184494e-05,0.00036995593873408427,True,0.05,1.1420625591079933e-05,False,0.8,3,group,False,,7.696266999507813e-05,0,COMPLETE
3,0.7596666666666666,0.8,2025-05-08 23:03:10.677286,2025-05-08 23:03:23.646810,0 days 00:00:12.969524,group,True,0.00019498016487178482,0.00883777423335351,False,,0.00017902989382294086,False,0.8,2,group,False,,0.005714504632302734,0,COMPLETE
4,0.8233333333333333,0.5,2025-05-08 23:03:23.670870,2025-05-08 23:03:38.959061,0 days 00:00:15.288191,fpgm,True,0.001095975405995615,0.0008161414858047086,False,,3.69103731157579e-05,True,0.5,3,bnscale,True,0.05,0.0727435113348339,0,COMPLETE
5,0.803,0.6,2025-05-08 23:03:38.981309,2025-05-08 23:03:54.186671,0 days 00:00:15.205362,group,False,0.0007169704947021829,5.513575021987841e-05,False,,0.006942484857102518,True,0.6,3,base,False,,3.230886895407689e-05,0,COMPLETE
6,0.771,0.8,2025-05-08 23:03:54.210857,2025-05-08 23:04:07.134615,0 days 00:00:12.923758,group,True,0.0005635317259241016,0.00204050064752189,True,0.35000000000000003,0.08621254259605375,False,0.8,2,bnscale,True,0.0,2.5275935054040677e-05,0,COMPLETE
7,0.8209999999999998,0.6,2025-05-08 23:04:07.157259,2025-05-08 23:04:22.389220,0 days 00:00:15.231961,fpgm,True,0.0016566513052075171,0.00021971842722664467,True,0.45,3.268112256460199e-05,False,0.6,3,group,False,,0.007022904861870334,0,COMPLETE
8,0.773,0.9,2025-05-08 23:04:22.412596,2025-05-08 23:04:37.596086,0 days 00:00:15.183490,group,False,0.0009553030447300765,4.289260412404378e-05,False,,1.541126766924437e-05,False,0.9,3,base,True,0.30000000000000004,0.25181886985942936,0,COMPLETE
9,0.7033333333333335,0.6,2025-05-08 23:04:37.620974,2025-05-08 23:04:50.658848,0 days 00:00:13.037874,group,True,4.7518775544817685e-05,0.0012196472573227013,False,,0.01363124831526979,False,0.6,2,base,False,,0.0020451315368996787,0,COMPLETE
