number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
40,0.960105416,0.7,56:24.3,59:56.0,0 days 00:03:31.652817,group,TRUE,0.003230658,2.41E-05,FALSE,,1.15E-05,FALSE,0.7,1,group,TRUE,0,4.32E-05,0,COMPLETE
70,0.959832788,0.5,34:09.9,37:58.4,0 days 00:03:48.501683,fpgm,TRUE,0.005851642,0.000941211,TRUE,0.45,0.00021522,TRUE,0.5,2,bnscale,FALSE,,5.32E-05,1,COMPLETE
31,0.958378771,0.6,24:13.0,28:33.2,0 days 00:04:20.184961,lamp,FALSE,0.001213792,0.000579666,FALSE,,0.018659813,TRUE,0.6,3,base,FALSE,,0.00150636,0,COMPLETE
96,0.958197019,0.6,06:26.6,11:38.6,0 days 00:05:11.990312,group,FALSE,0.001213792,0.000579666,TRUE,0.05,0.018659813,TRUE,0.6,3,base,FALSE,,0.00150636,1,COMPLETE
61,0.958106143,0.7,05:59.5,09:29.7,0 days 00:03:30.168361,fpgm,TRUE,0.00126922,1.91E-05,FALSE,,0.012610476,TRUE,0.7,1,group,TRUE,0.05,2.40E-05,1,COMPLETE
98,0.958106143,0.6,14:40.6,18:25.9,0 days 00:03:45.327258,lamp,TRUE,0.000643681,0.000483114,TRUE,0.2,0.000439737,TRUE,0.6,1,group,FALSE,,1.54E-05,1,COMPLETE
7,0.957560887,0.5,56:25.9,00:17.8,0 days 00:03:51.877997,fpgm,TRUE,3.35E-05,0.000104259,TRUE,0.5,0.000390186,TRUE,0.5,2,bnscale,FALSE,,0.009756386,0,COMPLETE
17,0.957197383,0.5,33:40.8,37:19.3,0 days 00:03:38.544626,fpgm,TRUE,3.52E-05,3.43E-05,TRUE,0,4.23E-05,FALSE,0.5,1,base,TRUE,0,1.31E-05,0,COMPLETE
89,0.956924755,0.8,41:33.7,44:31.8,0 days 00:02:58.103209,group,TRUE,0.008854009,0.001549987,FALSE,,0.000763186,TRUE,0.8,1,base,TRUE,0.3,0.000757821,1,COMPLETE
4,0.95656125,0.8,47:13.4,50:14.9,0 days 00:03:01.521816,lamp,FALSE,0.000643681,0.000483114,TRUE,0.05,0.000796576,TRUE,0.8,2,base,FALSE,,1.54E-05,0,COMPLETE
99,0.95656125,0.7,18:25.9,22:16.5,0 days 00:03:50.587702,lamp,TRUE,0.000140083,9.08E-05,TRUE,0.25,0.02670397,FALSE,0.7,3,base,TRUE,0.5,0.008520034,1,COMPLETE
92,0.956470374,0.6,50:36.7,54:35.7,0 days 00:03:59.052937,lamp,FALSE,0.003230658,2.41E-05,FALSE,,0.018659813,TRUE,0.6,3,group,TRUE,0.45,4.32E-05,1,COMPLETE
41,0.956379498,0.5,59:56.0,03:49.0,0 days 00:03:52.976490,fpgm,FALSE,1.12E-05,2.99E-05,FALSE,,0.000504787,FALSE,0.5,2,base,TRUE,0,0.020560471,0,COMPLETE
78,0.956288622,0.5,04:15.5,08:14.3,0 days 00:03:58.794584,lamp,TRUE,3.35E-05,0.00155354,TRUE,0.05,0.000335872,TRUE,0.5,2,bnscale,FALSE,,0.009756386,1,COMPLETE
49,0.955834242,0.7,28:08.0,31:58.7,0 days 00:03:50.659502,lamp,FALSE,0.000374747,0.000410513,FALSE,,4.15E-05,TRUE,0.7,3,group,FALSE,,0.000890364,0,COMPLETE
22,0.95565249,0.7,51:57.7,55:38.6,0 days 00:03:40.916729,group,FALSE,0.008744191,9.08E-05,TRUE,0,0.002430612,FALSE,0.7,3,group,TRUE,0.15,0.008520034,0,COMPLETE
6,0.955561614,0.8,53:17.5,56:25.9,0 days 00:03:08.315276,lamp,TRUE,0.000862219,7.01E-05,FALSE,,0.063311446,TRUE,0.8,1,group,FALSE,,0.00326955,0,COMPLETE
72,0.955561614,0.5,40:45.3,44:49.9,0 days 00:04:04.650294,fpgm,FALSE,0.000366221,1.91E-05,FALSE,,0.012610476,FALSE,0.5,3,group,TRUE,0.1,0.006956239,1,COMPLETE
