number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
19,0.955337691,0.6,40:51.5,41:54.7,0 days 00:01:03.177451,lamp,TRUE,0.002829725,0.001129372,TRUE,0.4,3.33E-05,TRUE,0.6,2,group,FALSE,,0.000663587,0,COMPLETE
33,0.954248366,0.5,52:58.2,54:04.0,0 days 00:01:05.788106,lamp,TRUE,0.001683265,6.95E-05,TRUE,0,0.007275271,FALSE,0.5,1,base,TRUE,0.45,8.52E-05,0,COMPLETE
40,0.953812636,0.5,59:07.3,00:15.4,0 days 00:01:08.094139,fpgm,FALSE,0.000757714,0.000948876,FALSE,,0.0015974,FALSE,0.5,1,base,TRUE,0.25,0.0010337,0,COMPLETE
54,0.952069717,0.5,11:25.9,12:31.7,0 days 00:01:05.805517,lamp,TRUE,0.001683265,6.95E-05,TRUE,0.5,0.082671035,FALSE,0.5,1,base,FALSE,,0.000267463,1,COMPLETE
66,0.952069717,0.6,21:22.5,22:26.0,0 days 00:01:03.501564,fpgm,TRUE,0.000557063,5.06E-05,FALSE,,1.36E-05,TRUE,0.6,2,group,TRUE,0,0.001529341,1,COMPLETE
14,0.951198257,0.7,36:44.8,37:38.5,0 days 00:00:53.698988,fpgm,TRUE,0.000276796,0.000180569,FALSE,,0.02180876,TRUE,0.7,2,bnscale,FALSE,,0.00025035,0,COMPLETE
91,0.951198257,0.6,41:50.8,42:57.8,0 days 00:01:07.001014,fpgm,TRUE,0.009241877,0.001009852,FALSE,,0.000250919,TRUE,0.6,3,bnscale,TRUE,0.25,0.000190627,1,COMPLETE
71,0.950980392,0.5,25:19.8,26:34.0,0 days 00:01:14.198759,fpgm,TRUE,0.000757714,0.000948876,TRUE,0,0.022140361,FALSE,0.5,3,base,TRUE,0.5,3.14E-05,1,COMPLETE
74,0.950108932,0.5,28:12.2,29:22.8,0 days 00:01:10.691612,lamp,TRUE,0.002829725,0.000459031,TRUE,0.3,0.000147566,FALSE,0.5,2,group,FALSE,,0.000663587,1,COMPLETE
47,0.949891068,0.6,04:53.7,05:54.3,0 days 00:01:00.656219,lamp,TRUE,0.000557063,5.06E-05,FALSE,,0.094419442,TRUE,0.6,1,group,FALSE,,6.09E-05,0,COMPLETE
