number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
81,0.951633987,0.6,08:55.9,09:41.9,0 days 00:00:45.970935,fpgm,FALSE,0.002630164,0.002927026,TRUE,0.45,4.80E-05,FALSE,0.6,2,base,FALSE,,0.000568157,1,COMPLETE
93,0.950980392,0.6,18:25.4,19:07.5,0 days 00:00:42.139103,group,TRUE,0.001191484,6.09E-05,FALSE,,0.002874419,TRUE,0.6,1,group,TRUE,0.1,3.38E-05,1,COMPLETE
6,0.950762527,0.6,11:16.6,12:06.5,0 days 00:00:49.965481,group,TRUE,0.002796508,2.56E-05,FALSE,,0.020802328,TRUE,0.6,3,bnscale,TRUE,0,0.000215695,0,COMPLETE
43,0.950326797,0.6,40:01.1,40:47.1,0 days 00:00:45.983380,fpgm,TRUE,0.006695575,0.000311326,TRUE,0.5,0.000169847,TRUE,0.6,2,bnscale,TRUE,0.5,1.46E-05,0,COMPLETE
69,0.949673203,0.6,59:45.0,00:30.9,0 days 00:00:45.812262,group,TRUE,0.00147609,0.003675589,FALSE,,4.68E-05,FALSE,0.6,2,group,TRUE,0.1,3.86E-05,1,COMPLETE
72,0.949237473,0.6,01:57.9,02:48.2,0 days 00:00:50.272334,group,TRUE,0.001191484,6.09E-05,TRUE,0.1,0.002874419,FALSE,0.6,3,bnscale,TRUE,0.25,3.38E-05,1,COMPLETE
23,0.948801743,0.6,24:38.0,25:19.7,0 days 00:00:41.764379,group,FALSE,0.001191484,6.09E-05,TRUE,0,0.002874419,TRUE,0.6,1,base,TRUE,0.1,3.38E-05,0,COMPLETE
20,0.948801743,0.7,22:15.9,23:01.1,0 days 00:00:45.190296,group,FALSE,0.001450529,2.82E-05,TRUE,0.35,2.49E-05,TRUE,0.7,2,base,FALSE,,0.000280272,0,COMPLETE
15,0.948366013,0.7,18:19.3,19:05.2,0 days 00:00:45.886594,lamp,TRUE,0.000867659,2.42E-05,FALSE,,0.000108569,FALSE,0.7,2,base,TRUE,0.25,1.51E-05,0,COMPLETE
37,0.947058824,0.6,35:27.8,36:09.6,0 days 00:00:41.826421,fpgm,FALSE,0.002719379,1.15E-05,TRUE,0.35,0.000373786,FALSE,0.6,1,group,FALSE,,0.000954985,0,COMPLETE
99,0.947058824,0.6,22:57.0,23:38.8,0 days 00:00:41.807458,group,FALSE,0.001191484,0.002871582,FALSE,,0.002874419,TRUE,0.6,1,base,TRUE,0.5,3.38E-05,1,COMPLETE
13,0.946840959,0.6,16:51.5,17:33.6,0 days 00:00:42.023038,fpgm,TRUE,0.002630164,0.002927026,TRUE,0.25,4.80E-05,TRUE,0.6,1,group,TRUE,0.4,0.000568157,0,COMPLETE
14,0.946187364,0.6,17:33.6,18:19.3,0 days 00:00:45.653817,group,TRUE,0.00147609,0.00354039,FALSE,,4.68E-05,FALSE,0.6,2,base,FALSE,,5.59E-05,0,COMPLETE
68,0.946187364,0.7,58:59.5,59:45.0,0 days 00:00:45.496354,lamp,FALSE,0.000867659,2.42E-05,FALSE,,0.006505843,TRUE,0.7,2,bnscale,TRUE,0.15,0.000782302,1,COMPLETE
51,0.945969499,0.7,46:05.3,46:46.8,0 days 00:00:41.522267,fpgm,FALSE,0.002719379,1.15E-05,TRUE,0.2,0.000373786,TRUE,0.7,1,group,FALSE,,0.000954985,1,COMPLETE
80,0.945969499,0.7,08:06.1,08:55.9,0 days 00:00:49.765962,fpgm,FALSE,0.002719379,1.15E-05,TRUE,0,2.49E-05,TRUE,0.7,3,group,FALSE,,0.000954985,1,COMPLETE
30,0.945098039,0.6,30:10.5,30:56.2,0 days 00:00:45.729369,fpgm,TRUE,0.001139034,0.000534271,TRUE,0.15,0.195142451,TRUE,0.6,2,group,FALSE,,2.09E-05,0,COMPLETE
46,0.944444444,0.7,42:22.2,43:03.6,0 days 00:00:41.425758,fpgm,TRUE,0.005657003,0.001302457,FALSE,,0.589081729,FALSE,0.7,1,group,TRUE,0.05,1.91E-05,0,COMPLETE
56,0.944008715,0.6,49:58.4,50:42.4,0 days 00:00:44.054816,group,FALSE,0.000356969,6.09E-05,TRUE,0.15,0.537778523,FALSE,0.6,1,group,FALSE,,1.23E-05,1,COMPLETE
9,0.94379085,0.5,13:42.6,14:28.9,0 days 00:00:46.313054,lamp,TRUE,0.000613389,0.000160062,FALSE,,0.001473256,TRUE,0.5,2,group,TRUE,0.05,0.000781344,0,COMPLETE
57,0.94335512,0.7,50:42.5,51:28.0,0 days 00:00:45.519337,lamp,TRUE,0.001445892,2.82E-05,TRUE,0.45,2.49E-05,FALSE,0.7,2,group,FALSE,,0.000280272,1,COMPLETE
62,0.94291939,0.7,54:28.4,55:10.3,0 days 00:00:41.862568,fpgm,FALSE,0.003308705,0.002927026,TRUE,0.15,4.80E-05,TRUE,0.7,1,group,TRUE,0.5,8.57E-05,1,COMPLETE
76,0.94204793,0.7,04:58.6,05:43.8,0 days 00:00:45.249471,lamp,TRUE,0.000213194,0.009694323,TRUE,0.05,0.000122135,FALSE,0.7,2,group,TRUE,0,0.000263066,1,COMPLETE
44,0.939215686,0.7,40:47.1,41:36.6,0 days 00:00:49.465153,lamp,TRUE,0.000232143,8.22E-05,TRUE,0.5,0.000940742,FALSE,0.7,3,base,TRUE,0.3,0.000196198,0,COMPLETE
71,0.938779956,0.7,01:16.5,01:57.9,0 days 00:00:41.360439,fpgm,TRUE,0.002630164,0.000285836,TRUE,0.35,0.006505843,TRUE,0.7,1,group,TRUE,0.25,0.000782302,1,COMPLETE
78,0.935947712,0.5,06:29.8,07:16.1,0 days 00:00:46.370097,lamp,TRUE,4.83E-05,0.000145065,FALSE,,0.002076823,FALSE,0.5,2,base,TRUE,0.05,0.000781344,1,COMPLETE
34,0.934422658,0.6,33:10.0,33:56.1,0 days 00:00:46.089969,lamp,TRUE,6.28E-05,2.39E-05,FALSE,,0.00894182,FALSE,0.6,2,group,FALSE,,0.004646268,0,COMPLETE
32,0.931154684,0.7,31:38.6,32:27.9,0 days 00:00:49.269204,lamp,FALSE,0.0046607,0.000285836,TRUE,0.2,0.006505843,TRUE,0.7,3,bnscale,TRUE,0.25,0.000782302,0,COMPLETE
55,0.929847495,0.7,49:08.9,49:58.4,0 days 00:00:49.436095,lamp,FALSE,0.001191796,8.22E-05,TRUE,0.3,0.000940742,FALSE,0.7,3,base,TRUE,0.05,0.003764495,1,COMPLETE
49,0.928540305,0.8,44:36.4,45:18.9,0 days 00:00:42.517400,group,FALSE,0.000856273,1.24E-05,TRUE,0.4,0.000647661,TRUE,0.8,1,base,TRUE,0,0.000121991,0,COMPLETE
53,0.92745098,0.7,47:29.0,48:18.6,0 days 00:00:49.624773,lamp,TRUE,0.000232143,8.22E-05,TRUE,0.1,0.000940742,TRUE,0.7,3,base,TRUE,0.4,0.000568157,1,COMPLETE
18,0.926797386,0.8,20:38.4,21:24.8,0 days 00:00:46.338690,lamp,FALSE,0.000356969,0.002871582,TRUE,0.45,0.537778523,FALSE,0.8,2,group,FALSE,,1.23E-05,0,COMPLETE
66,0.925925926,0.6,57:32.2,58:18.0,0 days 00:00:45.822340,group,TRUE,4.83E-05,0.000145065,FALSE,,0.018626181,FALSE,0.6,2,base,TRUE,0.2,0.000495975,1,COMPLETE
58,0.905664488,0.6,51:28.0,52:18.2,0 days 00:00:50.153037,fpgm,TRUE,0.000462741,2.39E-05,FALSE,,0.00894182,TRUE,0.6,3,group,FALSE,,0.004646268,1,COMPLETE
86,0.904793028,0.8,12:50.7,13:37.3,0 days 00:00:46.558830,group,TRUE,0.000174404,0.009694323,TRUE,0.4,0.000122135,TRUE,0.8,2,base,FALSE,,0.000454783,1,COMPLETE
12,0.892156863,0.5,16:04.7,16:51.5,0 days 00:00:46.778586,group,TRUE,8.96E-05,2.78E-05,TRUE,0.45,9.59E-05,TRUE,0.5,2,group,TRUE,0.3,0.028427478,0,COMPLETE
52,0.890849673,0.9,46:46.8,47:29.0,0 days 00:00:42.173808,lamp,TRUE,0.002630164,0.001852656,FALSE,,4.80E-05,TRUE,0.9,1,group,TRUE,0.5,2.75E-05,1,COMPLETE
85,0.889978214,0.8,12:04.1,12:50.7,0 days 00:00:46.558866,group,TRUE,0.006695575,0.000311326,TRUE,0.4,0.000169847,TRUE,0.8,2,bnscale,TRUE,0.1,1.46E-05,1,COMPLETE
4,0.88540305,0.6,09:48.6,10:30.4,0 days 00:00:41.806814,fpgm,TRUE,5.72E-05,0.000978088,TRUE,0.25,0.009329637,TRUE,0.6,1,base,TRUE,0.4,0.002795018,0,COMPLETE
1,0.883660131,0.7,07:39.4,08:24.9,0 days 00:00:45.534228,lamp,TRUE,4.83E-05,0.000145065,FALSE,,0.018626181,FALSE,0.7,2,base,TRUE,0.2,0.000495975,0,COMPLETE
38,0.878213508,0.5,36:09.7,36:56.2,0 days 00:00:46.516690,fpgm,FALSE,0.000728904,8.86E-05,TRUE,0.3,1.04E-05,TRUE,0.5,2,group,FALSE,,0.009228513,0,COMPLETE
29,0.870152505,0.6,29:24.3,30:10.5,0 days 00:00:46.186531,fpgm,TRUE,2.01E-05,6.66E-05,TRUE,0.35,0.000653633,FALSE,0.6,2,base,TRUE,0,0.001075763,0,COMPLETE
11,0.826361656,0.7,15:19.2,16:04.7,0 days 00:00:45.564385,lamp,FALSE,1.79E-05,1.85E-05,TRUE,0.3,0.915019136,TRUE,0.7,2,bnscale,FALSE,,0.001087299,0,COMPLETE
50,0.824618736,0.8,45:19.0,46:05.2,0 days 00:00:46.276595,group,TRUE,0.000213194,0.009694323,TRUE,0.15,0.000122135,TRUE,0.8,2,base,TRUE,0.35,0.008907558,1,COMPLETE
25,0.802396514,0.8,26:10.8,26:57.2,0 days 00:00:46.462257,fpgm,FALSE,0.001191796,0.001523547,TRUE,0.3,0.000553585,FALSE,0.8,2,base,TRUE,0.1,0.003764495,0,COMPLETE
3,0.798474946,0.6,09:06.8,09:48.6,0 days 00:00:41.769393,group,FALSE,1.84E-05,2.09E-05,FALSE,,0.006916099,TRUE,0.6,1,bnscale,TRUE,0.35,4.88E-05,0,COMPLETE
42,0.785620915,0.8,39:14.6,40:01.1,0 days 00:00:46.497194,group,TRUE,0.000213194,0.009694323,TRUE,0.1,0.000122135,TRUE,0.8,2,base,TRUE,0.05,0.008907558,0,COMPLETE
70,0.770588235,0.7,00:30.9,01:16.5,0 days 00:00:45.616364,lamp,FALSE,0.00043796,8.22E-05,TRUE,0.15,0.000125676,TRUE,0.7,2,group,TRUE,0.15,0.041097079,1,COMPLETE
92,0.766884532,0.9,17:39.3,18:25.4,0 days 00:00:46.039576,group,FALSE,0.001450529,2.82E-05,TRUE,0.4,6.44E-05,TRUE,0.9,2,base,FALSE,,0.000280272,1,COMPLETE
59,0.756427015,0.8,52:18.2,53:04.5,0 days 00:00:46.270626,fpgm,TRUE,0.000213194,0.009694323,TRUE,0.25,0.000373786,TRUE,0.8,2,base,FALSE,,0.008907558,1,COMPLETE
