number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
6,0.974202899,0.6,03:11.5,04:50.4,0 days 00:01:38.823301,lamp,FALSE,0.000972293,0.006130742,TRUE,0.1,1.35E-05,TRUE,0.6,3,bnscale,FALSE,,5.05E-05,0,COMPLETE
56,0.973768116,0.5,23:19.0,25:08.5,0 days 00:01:49.470435,lamp,FALSE,0.009691673,0.000252619,FALSE,,0.013308124,FALSE,0.5,3,group,TRUE,0.2,2.40E-05,1,COMPLETE
36,0.972850242,0.5,50:09.0,51:48.3,0 days 00:01:39.320394,fpgm,TRUE,0.004788669,0.00055058,TRUE,0.25,0.228017293,TRUE,0.5,2,group,TRUE,0,0.000522573,0,COMPLETE
59,0.972801932,0.5,28:25.1,30:18.5,0 days 00:01:53.357904,fpgm,FALSE,0.003493735,0.000668455,TRUE,0.1,9.10E-05,FALSE,0.5,3,base,TRUE,0.05,4.26E-05,1,COMPLETE
95,0.972801932,0.5,27:06.4,28:31.0,0 days 00:01:24.594423,lamp,FALSE,0.00033238,0.000682756,TRUE,0.5,0.374339728,FALSE,0.5,1,bnscale,TRUE,0.2,0.000162438,1,COMPLETE
75,0.972560386,0.5,57:29.4,59:03.6,0 days 00:01:34.147357,lamp,FALSE,0.009691673,3.13E-05,FALSE,,0.024028978,TRUE,0.5,2,group,FALSE,,0.000116437,1,COMPLETE
18,0.972270531,0.7,21:17.6,22:49.1,0 days 00:01:31.517649,fpgm,TRUE,0.001214334,0.006510205,TRUE,0.25,0.002867004,TRUE,0.7,2,group,FALSE,,0.000378226,0,COMPLETE
54,0.972270531,0.5,19:55.8,21:35.6,0 days 00:01:39.874287,fpgm,TRUE,0.004788669,0.00055058,TRUE,0.5,0.228017293,TRUE,0.5,2,group,FALSE,,0.000522573,1,COMPLETE
17,0.972222222,0.5,19:53.5,21:17.6,0 days 00:01:24.081773,lamp,TRUE,0.000165108,0.001103744,FALSE,,0.000251323,FALSE,0.5,1,base,FALSE,,0.004237153,0,COMPLETE
98,0.972125604,0.5,31:32.0,33:08.9,0 days 00:01:36.920007,fpgm,FALSE,0.000102415,0.00055058,TRUE,0.15,0.013818702,TRUE,0.5,2,group,TRUE,0.2,0.000522573,1,COMPLETE
21,0.97178744,0.5,25:55.9,27:38.6,0 days 00:01:42.695487,fpgm,FALSE,5.84E-05,0.001472931,FALSE,,0.000100099,FALSE,0.5,3,bnscale,FALSE,,0.001429623,0,COMPLETE
74,0.97173913,0.6,55:56.3,57:29.4,0 days 00:01:33.108465,fpgm,FALSE,0.000102415,0.000198371,TRUE,0,0.013818702,TRUE,0.6,2,base,TRUE,0.45,0.000103631,1,COMPLETE
27,0.971690821,0.5,35:32.5,36:56.7,0 days 00:01:24.207452,lamp,FALSE,0.000863978,0.000132985,FALSE,,0.192712152,TRUE,0.5,1,base,TRUE,0.25,0.000129736,0,COMPLETE
25,0.971594203,0.5,32:11.5,33:57.2,0 days 00:01:45.709176,fpgm,FALSE,0.003493735,0.000682756,TRUE,0.15,0.374339728,FALSE,0.5,3,bnscale,TRUE,0.05,4.26E-05,0,COMPLETE
9,0.971545894,0.8,08:01.2,09:29.7,0 days 00:01:28.453500,lamp,FALSE,0.002607984,0.003217416,FALSE,,0.024028978,TRUE,0.8,2,bnscale,TRUE,0.15,0.000116437,0,COMPLETE
63,0.971545894,0.5,35:31.8,37:26.0,0 days 00:01:54.129971,lamp,TRUE,0.000863978,0.000132985,FALSE,,0.003189033,TRUE,0.5,3,group,TRUE,0.35,0.016571389,1,COMPLETE
43,0.971449275,0.6,02:39.0,04:05.7,0 days 00:01:26.702567,lamp,FALSE,0.00033238,0.000284617,TRUE,0.15,0.022659902,FALSE,0.6,1,group,TRUE,0.5,1.40E-05,0,COMPLETE
31,0.971352657,0.5,41:54.8,43:33.8,0 days 00:01:38.997748,group,TRUE,4.59E-05,0.000196729,FALSE,,0.007683054,TRUE,0.5,2,base,TRUE,0.3,0.00246887,0,COMPLETE
65,0.971352657,0.5,39:11.8,40:56.7,0 days 00:01:44.884349,group,TRUE,1.54E-05,6.37E-05,FALSE,,0.333122254,TRUE,0.5,2,bnscale,FALSE,,0.000528537,1,COMPLETE
28,0.971111111,0.7,36:56.7,38:34.4,0 days 00:01:37.642507,group,FALSE,8.39E-05,0.000909748,FALSE,,0.00013509,TRUE,0.7,3,base,FALSE,,0.001465737,0,COMPLETE
55,0.970724638,0.7,21:35.7,23:19.0,0 days 00:01:43.326550,group,TRUE,0.000100428,0.006130742,TRUE,0.45,0.000856173,FALSE,0.7,3,bnscale,FALSE,,5.05E-05,1,COMPLETE
0,0.970628019,0.7,54:06.0,55:40.3,0 days 00:01:34.340872,fpgm,TRUE,0.000336375,0.002066863,TRUE,0.25,0.000203504,FALSE,0.7,2,group,FALSE,,0.000488938,0,COMPLETE
33,0.97057971,0.5,45:06.8,46:45.6,0 days 00:01:38.760894,group,FALSE,1.54E-05,9.74E-05,FALSE,,0.047844733,TRUE,0.5,2,bnscale,FALSE,,0.000528537,0,COMPLETE
42,0.97057971,0.7,00:59.3,02:39.0,0 days 00:01:39.667574,lamp,TRUE,0.000259046,0.000190113,TRUE,0.45,0.044279946,TRUE,0.7,2,group,FALSE,,8.63E-05,0,COMPLETE
77,0.970483092,0.6,00:24.2,01:48.1,0 days 00:01:23.831548,fpgm,FALSE,7.68E-05,0.001591732,TRUE,0.15,7.72E-05,FALSE,0.6,1,base,TRUE,0.35,0.012845417,1,COMPLETE
4,0.970193237,0.7,00:09.2,01:34.1,0 days 00:01:24.916757,group,FALSE,0.000118255,0.001219156,TRUE,0.35,0.00943703,FALSE,0.7,1,group,TRUE,0.4,0.000256298,0,COMPLETE
3,0.969855072,0.8,58:32.9,00:09.2,0 days 00:01:36.285715,group,FALSE,0.000741012,0.000149666,FALSE,,5.07E-05,TRUE,0.8,3,bnscale,TRUE,0.1,0.01440382,0,COMPLETE
70,0.969855072,0.7,48:53.3,50:58.4,0 days 00:02:05.100442,lamp,TRUE,0.000972293,0.006130742,FALSE,,4.10E-05,TRUE,0.7,3,bnscale,FALSE,,3.18E-05,1,COMPLETE
11,0.969806763,0.7,10:49.9,12:27.5,0 days 00:01:37.562319,fpgm,FALSE,5.18E-05,0.002101777,TRUE,0.35,1.05E-05,FALSE,0.7,3,bnscale,TRUE,0.45,0.000395275,0,COMPLETE
