number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
65,0.970241546,0.6,09:29.6,17:20.0,0 days 00:07:50.408036,lamp,FALSE,0.006452728,1.68E-05,TRUE,0.4,0.004692959,FALSE,0.6,1,group,FALSE,,0.000209587,1,COMPLETE
83,0.969613527,0.5,34:13.3,42:28.3,0 days 00:08:14.975993,lamp,FALSE,0.005351039,0.000241023,TRUE,0.45,0.001206568,FALSE,0.5,3,base,FALSE,,0.000128691,1,COMPLETE
6,0.969468599,0.6,20:05.5,27:54.7,0 days 00:07:49.147932,group,FALSE,0.002915402,0.001182194,FALSE,,0.046906816,TRUE,0.6,1,group,TRUE,0.45,0.021078038,0,COMPLETE
36,0.96942029,0.7,18:26.3,26:27.1,0 days 00:08:00.809887,lamp,TRUE,0.003705931,0.009495594,TRUE,0.25,0.006818539,FALSE,0.7,2,group,TRUE,0.35,0.006566257,0,COMPLETE
38,0.969371981,0.5,34:17.4,42:19.7,0 days 00:08:02.267418,fpgm,FALSE,0.002135542,0.002358457,TRUE,0.1,0.862687614,FALSE,0.5,2,group,FALSE,,0.00546185,0,COMPLETE
81,0.968985507,0.6,18:13.0,26:07.8,0 days 00:07:54.777937,group,FALSE,0.006452728,0.000106699,FALSE,,9.00E-05,FALSE,0.6,1,group,FALSE,,0.000692072,1,COMPLETE
45,0.968888889,0.6,30:47.7,38:48.2,0 days 00:08:00.479772,group,TRUE,0.00209923,0.001250653,TRUE,0.3,0.462923685,TRUE,0.6,2,bnscale,FALSE,,2.10E-05,0,COMPLETE
16,0.968743961,0.6,39:44.7,47:34.0,0 days 00:07:49.300614,fpgm,FALSE,0.005025124,1.66E-05,FALSE,,3.49E-05,TRUE,0.6,1,base,FALSE,,0.000886702,0,COMPLETE
19,0.968695652,0.5,03:32.6,11:22.1,0 days 00:07:49.463965,fpgm,FALSE,0.004138153,0.009282562,FALSE,,0.001339923,FALSE,0.5,1,base,TRUE,0.3,0.002169501,0,COMPLETE
17,0.968599034,0.5,47:34.0,55:44.8,0 days 00:08:10.765306,fpgm,TRUE,0.000703802,0.000948921,FALSE,,0.00081788,FALSE,0.5,3,bnscale,FALSE,,0.000751431,0,COMPLETE
