number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
60,0.807333333,0.5,59:24.3,59:37.6,0 days 00:00:13.254598,fpgm,TRUE,0.002224507,0.000509085,TRUE,0.35,1.79E-05,TRUE,0.5,2,group,FALSE,,0.00012023,1,COMPLETE
3,0.806333333,0.8,48:36.3,48:47.9,0 days 00:00:11.658843,fpgm,TRUE,0.00052131,0.001107179,FALSE,,4.68E-05,TRUE,0.8,2,bnscale,FALSE,,0.000755446,0,COMPLETE
16,0.805333333,0.7,51:05.5,51:15.3,0 days 00:00:09.813630,fpgm,FALSE,0.000674756,0.000354881,TRUE,0.35,0.000526208,TRUE,0.7,1,bnscale,FALSE,,0.000155668,0,COMPLETE
17,0.805333333,0.5,51:15.3,51:28.4,0 days 00:00:13.103592,fpgm,TRUE,0.00061039,0.004244121,FALSE,,1.46E-05,TRUE,0.5,2,base,TRUE,0.05,0.003279553,0,COMPLETE
93,0.804666667,0.8,05:31.3,05:42.5,0 days 00:00:11.284918,fpgm,TRUE,0.002224507,0.001107179,TRUE,0.1,1.79E-05,TRUE,0.8,2,group,FALSE,,0.000549926,1,COMPLETE
95,0.804666667,0.6,05:55.8,06:06.3,0 days 00:00:10.487693,group,FALSE,0.000841341,1.83E-05,FALSE,,0.019304214,TRUE,0.6,1,bnscale,FALSE,,1.80E-05,1,COMPLETE
74,0.804333333,0.8,02:04.0,02:13.6,0 days 00:00:09.608726,lamp,TRUE,0.000396445,4.51E-05,TRUE,0.25,0.000198855,TRUE,0.8,1,base,FALSE,,0.001062625,1,COMPLETE
2,0.802333333,0.6,48:22.4,48:36.3,0 days 00:00:13.913742,lamp,TRUE,0.002030179,4.51E-05,TRUE,0.15,0.02461768,FALSE,0.6,3,base,FALSE,,0.000485951,0,COMPLETE
26,0.802,0.6,52:59.0,53:11.3,0 days 00:00:12.301519,group,FALSE,0.003389486,1.83E-05,FALSE,,0.000152455,TRUE,0.6,2,bnscale,FALSE,,1.80E-05,0,COMPLETE
34,0.801666667,0.7,54:38.6,54:50.2,0 days 00:00:11.624219,fpgm,TRUE,0.001646603,0.007374347,TRUE,0.15,2.79E-05,TRUE,0.7,2,base,TRUE,0.05,0.000306377,0,COMPLETE
49,0.801666667,0.5,57:26.4,57:39.7,0 days 00:00:13.270091,fpgm,FALSE,0.002224507,1.94E-05,TRUE,0.05,1.79E-05,TRUE,0.5,2,group,FALSE,,2.44E-05,0,COMPLETE
83,0.801666667,0.7,03:43.2,03:53.1,0 days 00:00:09.864350,fpgm,FALSE,0.000674756,0.000354881,TRUE,0.45,0.000526208,TRUE,0.7,1,bnscale,FALSE,,0.000155668,1,COMPLETE
98,0.801666667,0.6,06:34.8,06:47.3,0 days 00:00:12.527770,fpgm,FALSE,0.001396702,0.007156567,TRUE,0.35,0.097514781,TRUE,0.6,2,base,TRUE,0.5,2.67E-05,1,COMPLETE
45,0.801333333,0.8,56:45.3,56:55.0,0 days 00:00:09.709765,lamp,TRUE,0.000856952,1.19E-05,FALSE,,0.002965099,TRUE,0.8,1,group,FALSE,,0.000150748,0,COMPLETE
29,0.801,0.6,53:36.3,53:46.7,0 days 00:00:10.415542,fpgm,FALSE,0.001396702,0.007156567,TRUE,0.15,0.000245828,TRUE,0.6,1,bnscale,FALSE,,2.01E-05,0,COMPLETE
12,0.800333333,0.8,50:16.9,50:29.9,0 days 00:00:13.027947,lamp,FALSE,0.005599113,0.00296,TRUE,0.05,2.12E-05,FALSE,0.8,3,group,TRUE,0.05,0.000331122,0,COMPLETE
55,0.800333333,0.7,58:34.9,58:44.8,0 days 00:00:09.836623,group,TRUE,0.000271522,0.001078794,TRUE,0.25,1.29E-05,FALSE,0.7,1,bnscale,FALSE,,1.80E-05,1,COMPLETE
15,0.799666667,0.9,50:55.7,51:05.5,0 days 00:00:09.749120,group,TRUE,0.000841341,0.000509085,TRUE,0.5,0.019304214,TRUE,0.9,1,bnscale,FALSE,,0.00012023,0,COMPLETE
63,0.799333333,0.6,59:59.5,00:13.6,0 days 00:00:14.080331,lamp,TRUE,0.00072932,0.000308293,TRUE,0.1,0.144701293,TRUE,0.6,3,bnscale,TRUE,0.3,0.001350405,1,COMPLETE
38,0.799,0.9,55:22.9,55:32.5,0 days 00:00:09.654842,group,FALSE,0.00620977,0.000368918,TRUE,0.5,0.00011543,TRUE,0.9,1,bnscale,FALSE,,5.77E-05,0,COMPLETE
40,0.797666667,0.6,55:47.6,55:58.1,0 days 00:00:10.477133,group,FALSE,0.002947186,5.04E-05,FALSE,,0.14093539,FALSE,0.6,1,bnscale,FALSE,,0.001107511,0,COMPLETE
92,0.796666667,0.6,05:19.0,05:31.2,0 days 00:00:12.191880,group,FALSE,0.000256667,0.000336045,FALSE,,0.002093343,TRUE,0.6,2,bnscale,FALSE,,1.80E-05,1,COMPLETE
75,0.796333333,0.8,02:13.6,02:24.9,0 days 00:00:11.320206,fpgm,FALSE,0.002224507,1.94E-05,FALSE,,1.79E-05,TRUE,0.8,2,base,TRUE,0.45,2.67E-05,1,COMPLETE
