number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
21,0.779333333,0.5,15:34.8,16:02.9,0 days 00:00:28.104276,fpgm,FALSE,0.006715535,0.000171562,TRUE,0.25,6.94E-05,TRUE,0.5,1,base,TRUE,0.5,1.94E-05,0,COMPLETE
16,0.776,0.5,13:39.5,14:04.8,0 days 00:00:25.219756,lamp,FALSE,0.004902176,0.004192751,FALSE,,7.12E-05,FALSE,0.5,1,base,FALSE,,2.52E-05,0,COMPLETE
97,0.775333333,0.6,46:40.8,47:10.8,0 days 00:00:30.027402,group,FALSE,0.0024589,0.00016195,TRUE,0.35,6.94E-05,TRUE,0.6,3,bnscale,FALSE,,0.000140668,1,COMPLETE
12,0.773333333,0.8,12:06.6,12:24.3,0 days 00:00:17.731951,lamp,TRUE,0.00087195,0.000714318,TRUE,0.4,0.141329607,TRUE,0.8,1,group,TRUE,0.3,0.394507829,0,COMPLETE
80,0.772666667,0.5,39:27.4,40:02.5,0 days 00:00:35.078885,group,TRUE,8.11E-05,0.004038802,FALSE,,0.021268316,TRUE,0.5,3,group,FALSE,,0.013588486,1,COMPLETE
37,0.771666667,0.5,22:07.3,22:37.7,0 days 00:00:30.399637,group,TRUE,0.005921629,0.000100914,TRUE,0.35,0.060182758,TRUE,0.5,2,group,TRUE,0.1,0.006336332,0,COMPLETE
63,0.771666667,0.7,32:41.7,33:08.5,0 days 00:00:26.799399,lamp,TRUE,0.003216324,6.82E-05,FALSE,,3.53E-05,FALSE,0.7,3,group,TRUE,0.15,0.000168585,1,COMPLETE
98,0.770666667,0.5,47:10.8,47:37.2,0 days 00:00:26.394894,fpgm,TRUE,0.007998708,0.000208124,TRUE,0.5,6.94E-05,TRUE,0.5,1,base,TRUE,0.2,0.000158935,1,COMPLETE
75,0.770333333,0.5,37:33.7,37:59.0,0 days 00:00:25.285642,fpgm,FALSE,0.000200087,0.004192751,FALSE,,7.12E-05,TRUE,0.5,1,base,FALSE,,2.52E-05,1,COMPLETE
65,0.77,0.6,33:29.3,33:52.6,0 days 00:00:23.326481,group,FALSE,0.00087195,0.000714318,TRUE,0.1,0.536091271,TRUE,0.6,1,group,TRUE,0.45,0.394507829,1,COMPLETE
23,0.769666667,0.8,16:29.8,16:50.6,0 days 00:00:20.750964,lamp,FALSE,0.008740928,1.57E-05,FALSE,,0.70846218,FALSE,0.8,2,bnscale,TRUE,0.5,1.40E-05,0,COMPLETE
17,0.768666667,0.6,14:04.8,14:32.2,0 days 00:00:27.375359,fpgm,FALSE,0.001149942,1.89E-05,FALSE,,0.003020446,FALSE,0.6,2,group,FALSE,,2.21E-05,0,COMPLETE
